schema_version,stage3_source_id,candidate_program_id,institution_id,institution_name,claim_categories,exact_claim_supported,source_title,publisher,url,source_path,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,original_source_id,access_note
2.0,stage3src:6011d1ad5ee3c7a887c2,ca:dli:O19305471522:program:thesis-or-research-master-s:masc-in-systems-design-engineering,ca:dli:O19305471522,University of Waterloo,tuition|fees|funding,Spring 2026 international research-master's tuition and incidental-fee amounts for the 2026–27 fee schedule.,Master's and PhD program tuition — international students,University of Waterloo Finance,https://uwaterloo.ca/finance/masters-and-phd-program-tuition-spring-2026-international,data/raw/pass2/stage_03_reentry_11.json,official web page,official,2026-09-11,2026–27 schedule checked 2026-09-11,high,official page checked,stage3re11:waterloo:tuition,
2.0,stage3src:9f80b45a50c93b042a39,ca:dli:O19305471522:program:thesis-or-research-master-s:masc-in-systems-design-engineering,ca:dli:O19305471522,University of Waterloo,program|research|admissions|eligibility|language|deadline,"Current MASc, 24-month thesis route, degree and math requirements, standing, English rules, and deadlines.",Systems Design Engineering — MASc,University of Waterloo,https://uwaterloo.ca/future-graduate-students/programs/by-faculty/engineering/systems-design-engineering-master-applied-science-masc,data/raw/pass2/stage_03_reentry_11.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re11:waterloo:program,
2.0,stage3src:ce46b8f261894843adda,ca:dli:O19305471522:program:thesis-or-research-master-s:masc-in-systems-design-engineering,ca:dli:O19305471522,University of Waterloo,admissions|fees|funding|tuition|summer,"Mandatory supervisor, per-program fee and no-waiver rule, two-year CAD 18000 annual funding minimum, and personal-funds warning.",Future Students FAQ,University of Waterloo Systems Design Engineering,https://uwaterloo.ca/systems-design-engineering/graduate-studies/future-students/faq,data/raw/pass2/stage_03_reentry_11.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re11:waterloo:faq,
2.0,stage3src:74b7cc4142af5c67ae47,ca:dli:O19359011007:program:thesis-or-research-master-s:cybersecurity-engineering-masc,ca:dli:O19359011007,Concordia University,admissions|fees,"CAD 100 per-program fee, no-waiver rule, and separate complete application requirement.",Application Instructions,Concordia University Graduate Studies,https://www.concordia.ca/gradstudies/future-students/how-to-apply/instructions.html,data/raw/pass2/stage_03_reentry_11.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re11:concordia:apply,
2.0,stage3src:bb92cb57eb898f837be6,ca:dli:O19359011007:program:thesis-or-research-master-s:cybersecurity-engineering-masc,ca:dli:O19359011007,Concordia University,program|research|admissions|eligibility|language|deadline|funding,"Current 45-credit thesis MASc, accepted CS bachelor's, international deadline, advisor funding, and most-thesis-students package language.",Cybersecurity Engineering (MASc),Concordia University,https://www.concordia.ca/academics/graduate/cybersecurity-engineering-masc.html,data/raw/pass2/stage_03_reentry_11.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re11:concordia:program,
2.0,stage3src:fa1c6e416a3e5b84f9a1,ca:dli:O19359011007:program:thesis-or-research-master-s:cybersecurity-engineering-masc,ca:dli:O19359011007,Concordia University,tuition|fees|funding,2026–27 international thesis-program Engineering and Computer Science per-credit tuition and separate compulsory fees.,Graduate tuition and fees,Concordia University,https://www.concordia.ca/students/financial/tuition-fees/rates/grad.html,data/raw/pass2/stage_03_reentry_11.json,official web page,official,2026-09-11,2026–27 checked 2026-09-11,high,official page checked,stage3re11:concordia:tuition,
2.0,stage3src:8549b08abdd3e0064892,ca:dli:O19395164223:program:thesis-or-research-master-s:msc-in-applied-modelling-and-quantitative-methods-thesis-stream,ca:dli:O19395164223,Trent University,admissions|eligibility|deadline|fees,"Four-year degree, B+ recent-study threshold, February 1 fall close, per-program CAD 125 fee, and no-waiver rule.",Admission Requirements,Trent University Graduate Studies,https://www.trentu.ca/graduatestudies/admissions/admission-requirements,data/raw/pass2/stage_03_reentry_11.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re11:trent:requirements,
2.0,stage3src:b22e1889700fbaab2f3a,ca:dli:O19395164223:program:thesis-or-research-master-s:msc-in-applied-modelling-and-quantitative-methods-thesis-stream,ca:dli:O19395164223,Trent University,program|research|admissions|eligibility,"Current thesis-stream MSc, quantitative and programming preparation, and supervisor-guided research structure.",Applied Modelling and Quantitative Methods — Thesis Stream,Trent University,https://www.trentu.ca/graduatestudies/program/applied-modelling-quantitative-methods-ma-or-msc/thesis-stream,data/raw/pass2/stage_03_reentry_11.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re11:trent:program,
2.0,stage3src:dbb14be1dd81e291e938,ca:dli:O19395164223:program:thesis-or-research-master-s:msc-in-applied-modelling-and-quantitative-methods-thesis-stream,ca:dli:O19395164223,Trent University,admissions|eligibility|language,International degree review and U.S. postsecondary-study English exemption.,International Applicants,Trent University Graduate Studies,https://www.trentu.ca/graduatestudies/admissions/how-apply/international-applicants,data/raw/pass2/stage_03_reentry_11.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re11:trent:international,
2.0,stage3src:fa16b0d52ebea2c777d8,ca:dli:O19395164223:program:thesis-or-research-master-s:msc-in-applied-modelling-and-quantitative-methods-thesis-stream,ca:dli:O19395164223,Trent University,funding|tuition|fees|summer,"2026–27 guaranteed eligible master's package range, two-year duration, and limited international tuition offset.",Funding,Trent University Graduate Studies,https://www.trentu.ca/graduatestudies/funding-tuition/funding,data/raw/pass2/stage_03_reentry_11.json,official web page,official,2026-09-11,2026–27 checked 2026-09-11,high,official page checked,stage3re11:trent:funding,
