schema_version,stage3_source_id,candidate_program_id,institution_id,institution_name,claim_categories,exact_claim_supported,source_title,publisher,url,source_path,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,original_source_id,access_note
2.0,stage3src:4da7af0734164b6dc4dc,ca:dli:O19315945002:program:thesis-or-research-master-s:software-engineering-masc,ca:dli:O19315945002,Ontario Tech University,program|admissions|eligibility|language|funding,"Exact thesis MASc, relevant CS bachelor's route, B floor, mandatory supervisor, 24-month structure, and automatic internal funding consideration.",Software Engineering (MASc and MEng),Ontario Tech University School of Graduate and Postdoctoral Studies,https://gradstudies.ontariotechu.ca/future_students/programs/masters_programs/software_engineering/index.php,data/raw/pass2/stage_03_reentry_06.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re06:ontario-tech:program,
2.0,stage3src:7d8a4e834a516fa7a451,ca:dli:O19315945002:program:thesis-or-research-master-s:software-engineering-masc,ca:dli:O19315945002,Ontario Tech University,admissions|deadline,"February 1, 2027 international deadline for the September 2027 Software Engineering MASc intake.",Check Application Deadlines,Ontario Tech University School of Graduate and Postdoctoral Studies,https://gradstudies.ontariotechu.ca/future_students/application_process_and_requirement/step%202/index.php,data/raw/pass2/stage_03_reentry_06.json,official web page,official,2026-09-10,Fall 2027 explicitly published,high,official page checked,stage3re06:ontario-tech:deadline,
2.0,stage3src:9b4d95173a262c3291e0,ca:dli:O19315945002:program:thesis-or-research-master-s:software-engineering-masc,ca:dli:O19315945002,Ontario Tech University,admissions|fees,CAD 110 nonrefundable fee per program choice and concurrent-registration restriction.,Graduate Application Disclaimer,Ontario Tech University School of Graduate and Postdoctoral Studies,https://gradstudies.ontariotechu.ca/future_students/application_process_and_requirement/step%204/disclaimer.php,data/raw/pass2/stage_03_reentry_06.json,official web page,official,2026-09-10,Current policy checked 2026-09-10,high,official page checked,stage3re06:ontario-tech:fees,
2.0,stage3src:f911854565405881f967,ca:dli:O19315945002:program:thesis-or-research-master-s:software-engineering-masc,ca:dli:O19315945002,Ontario Tech University,funding|tuition|fees,"April 2026 faculty form requires a CAD 16,000 annual MASc minimum and verifies supervisor GRA funds, with TA and RA components allowed.",Agreement of Faculty Members to Supervise and Fund a Graduate Student,Ontario Tech University Faculty of Engineering and Applied Science,https://shared.ontariotechu.ca/shared/faculty/feas/documents/graduate/feas-form-1-supervisory-agreement-form.pdf,data/raw/pass2/stage_03_reentry_06.json,official web page,official,2026-09-10,Form updated April 2026,high,official page checked,stage3re06:ontario-tech:funding,
2.0,stage3src:0154acc3c256365e5ec4,ca:dli:O19332687812:program:thesis-or-research-master-s:electrical-and-computer-engineering-masc-software-engineering-concentration,ca:dli:O19332687812,Carleton University,admissions|fees,"CAD 125 fee, separate application and fee for each additional program, and no general waiver stated.",Apply,Carleton University Graduate Studies,https://graduate.carleton.ca/apply-online/,data/raw/pass2/stage_03_reentry_06.json,official web page,official,2026-09-10,Current policy checked 2026-09-10,high,official page checked,stage3re06:carleton:fees,
2.0,stage3src:01a3fd6fb9e943fcf543,ca:dli:O19332687812:program:thesis-or-research-master-s:electrical-and-computer-engineering-masc-software-engineering-concentration,ca:dli:O19332687812,Carleton University,funding|tuition|fees,"Automatic admissions-funding consideration, limited international availability, TA value, research support types, and offer-specific award conditions.",Admissions Funding,Carleton University Graduate Studies,https://graduate.carleton.ca/financial-assistance/admissions-funding/,data/raw/pass2/stage_03_reentry_06.json,official web page,official,2026-09-10,Current funding guidance checked 2026-09-10,high,official page checked,stage3re06:carleton:funding,
2.0,stage3src:186a054f81bcdecf1fa6,ca:dli:O19332687812:program:thesis-or-research-master-s:electrical-and-computer-engineering-masc-software-engineering-concentration,ca:dli:O19332687812,Carleton University,admissions|eligibility|language,"Four-year master's-entry degree, B+ major and B- overall guidelines, international equivalency review, and English evidence rules.",Minimum Requirements and International Admission Requirements,Carleton University Graduate Studies,https://graduate.carleton.ca/apply-online/minimum-requirements/,data/raw/pass2/stage_03_reentry_06.json,official web page,official,2026-09-10,Current requirements checked 2026-09-10,high,official page checked,stage3re06:carleton:requirements,International equivalency details cross-checked at https://graduate.carleton.ca/international/admission-requirements/.
2.0,stage3src:e0af565dfe0fac15d8ec,ca:dli:O19332687812:program:thesis-or-research-master-s:electrical-and-computer-engineering-masc-software-engineering-concentration,ca:dli:O19332687812,Carleton University,program|admissions|eligibility|deadline|tuition,"Current ECE thesis MASc, software-engineering research area, March 1 deadline, one-to-two-year length, and domestic-only tuition estimate.",Electrical and Computer Engineering,Carleton University Graduate Studies,https://graduate.carleton.ca/program/electrical-and-computer-engineering-masters-programs/,data/raw/pass2/stage_03_reentry_06.json,official web page,official,2026-09-10,Current program checked 2026-09-10,high,official page checked,stage3re06:carleton:program,
2.0,stage3src:740c6469e96bc9141cc3,ca:dli:O19358946722:program:thesis-or-research-master-s:electrical-engineering-masc,ca:dli:O19358946722,University of Windsor,admissions|eligibility|language|fees,"General 70% master's floor, CAD 125 application fee, international English exemptions including Nigeria, and supervisor-capacity caveat.",Graduate Admission Requirements,University of Windsor Faculty of Graduate Studies,https://www.uwindsor.ca/graduate-studies/346/admission-requirements,data/raw/pass2/stage_03_reentry_06.json,official web page,official,2026-09-10,Current requirements checked 2026-09-10,high,official page checked,stage3re06:windsor:admissions,
2.0,stage3src:7dd7e7b0e51fc1548c38,ca:dli:O19358946722:program:thesis-or-research-master-s:electrical-engineering-masc,ca:dli:O19358946722,University of Windsor,funding|deadline|tuition|fees,"International research-master's eligibility at 80% equivalent, CAD 7,500 three-term entrance award, May 1 fall scholarship deadline, and competitive assistantship and RA routes.",Scholarships and Awards,University of Windsor Faculty of Graduate Studies,https://www.uwindsor.ca/graduate-studies/456/scholarships-and-awards,data/raw/pass2/stage_03_reentry_06.json,official web page,official,2026-09-10,Current funding policy checked 2026-09-10,high,official page checked,stage3re06:windsor:funding,
2.0,stage3src:b77fdbcaed570ca01b66,ca:dli:O19358946722:program:thesis-or-research-master-s:electrical-engineering-masc,ca:dli:O19358946722,University of Windsor,program|admissions|eligibility|language|deadline|funding,"Current two-year thesis MASc, advisor requirement, recurring deadlines, English thresholds, and competitive scholarship and assistantship availability.",Electrical Engineering,University of Windsor Faculty of Graduate Studies,https://www.uwindsor.ca/graduate-studies/320/electrical-engineering,data/raw/pass2/stage_03_reentry_06.json,official web page,official,2026-09-10,Current program checked 2026-09-10,high,official page checked,stage3re06:windsor:program,
2.0,stage3src:251806d656f86652f397,ca:dli:O19397188593:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,ca:dli:O19397188593,University of Ottawa,funding|tuition|fees,"International master's funding menu includes special merit awards, TA/RA work, and limited international OGS; no ECE MASc minimum is promised and UHIP remains compulsory.",Awards and Financial Support,University of Ottawa Graduate Studies,https://www.uottawa.ca/study/graduate-studies/awards-financial-support,data/raw/pass2/stage_03_reentry_06.json,official web page,official,2026-09-10,Current funding guidance checked 2026-09-10,high,official page checked,stage3re06:uottawa:funding,
