schema_version,source_id,institution_id,program_name,discovery_path,evidence_role,title,publisher,url,accessed_date,evidence_summary,limitations
2.0,reentry10:oregon-cs:program,us:ipeds:209551,PhD in Computer Science,official_program_or_department_signal,exact doctorate and research structure,PhD in Computer Science,University of Oregon,https://scds.uoregon.edu/cs/graduate-programs/cs-phd,2026-09-11,"Official program page confirms the Computer Science PhD, directed research, milestones, and that a master's degree is not required.",Program existence does not establish applicant admission or advisor capacity.
2.0,reentry10:oregon-cs:funding,us:ipeds:209551,PhD in Computer Science,research_masters_or_scholarship_search,doctoral support mechanisms,Graduate Funding,University of Oregon,https://scds.uoregon.edu/cs/graduate-programs/funding,2026-09-11,Official department page says most PhD students are supported through research or teaching appointments and describes graduate-employee tuition and stipend benefits.,"Most students is not a universal award; appointment, duration, fees, and Fall 2027 terms require verification."
2.0,reentry10:uga-cs:program,us:ipeds:139959,Doctor of Philosophy in Computer Science,official_program_or_department_signal,"exact doctorate, entry route, and research fit",Doctor of Philosophy in Computer Science,University of Georgia,https://www.cs.uga.edu/doctor-philosophy-computer-science,2026-09-11,"Official department page confirms the PhD, bachelor's- and master's-entry pathways, dissertation research, and relevant systems and software coverage.",The page does not establish applicant eligibility or a current supervisor opening.
2.0,reentry10:uga-cs:funding,us:ipeds:139959,Doctor of Philosophy in Computer Science,research_masters_or_scholarship_search,assistantship priority and funding boundary,Graduate Financial Assistance,University of Georgia,https://www.cs.uga.edu/graduate-financial-assistance,2026-09-11,Official department page describes teaching and research assistantships and states that PhD students receive priority consideration.,Priority consideration is not a funding guarantee or applicant-specific offer.
2.0,reentry10:gsu-cs:program,us:ipeds:139940,Computer Science PhD,official_program_or_department_signal,exact doctorate and preliminary funding signal,"Computer Science, Ph.D.",Georgia State University,https://graduate.gsu.edu/program/computer-science-phd/,2026-09-11,"Official program page confirms the research doctorate, foundation-course boundary, and competitive funding with tuition-waiver language for top candidates.",Competitive consideration is not a universal award and foundation needs are transcript-specific.
2.0,reentry10:gsu-cs:assistantships,us:ipeds:139940,Computer Science PhD,research_masters_or_scholarship_search,central assistantship coverage boundary,Graduate Assistantships,Georgia State University,https://graduate.gsu.edu/funding/graduate-assistantships/,2026-09-11,Official Graduate School page describes assistantship mechanisms and variable stipend and tuition-waiver coverage.,"Central policy does not prove a Computer Science appointment, amount, or renewal."
2.0,reentry10:usc-cs:program,us:ipeds:218663,Doctor of Philosophy in Computer Science,official_program_or_department_signal,exact doctoral route and research boundary,Computer Science Ph.D.,University of South Carolina-Columbia,https://cse.sc.edu/graduate/phd,2026-09-11,Official department page confirms the Computer Science PhD and its research and dissertation structure.,"Program existence does not establish admission, funding, or advisor capacity."
2.0,reentry10:usc-cs:funding,us:ipeds:218663,Doctor of Philosophy in Computer Science,research_masters_or_scholarship_search,assistantship consideration and benefits,Financial Support,University of South Carolina-Columbia,https://cse.sc.edu/content/financial-support,2026-09-11,"Official department page describes automatic teaching-assistantship consideration, stipends, and tuition supplements.",Assistantships are limited and continuation is contingent; the page is not an applicant-specific offer.
2.0,reentry10:unr-cse:program,us:ipeds:182290,Ph.D. in Computer Science and Engineering,official_program_or_department_signal,"exact doctorate, direct entry, and research fit",Computer Science and Engineering Graduate Program,University of Nevada-Reno,https://www.unr.edu/cse/graduate-program,2026-09-11,"Official department page confirms the PhD, direct bachelor's entry conditions, relevant research areas, and automatic assistantship consideration.","Consideration does not establish appointment, admission, or a current advisor opening."
2.0,reentry10:unr-cse:assistantships,us:ipeds:182290,Ph.D. in Computer Science and Engineering,research_masters_or_scholarship_search,central assistantship benefits,Graduate Assistantships,University of Nevada-Reno,https://www.unr.edu/grad/funding/assistantships,2026-09-11,"Official Graduate School page describes graduate-assistant stipend, health-insurance, tuition, and nonresident-waiver benefits.",A department-sponsored appointment is required and some fees remain student-paid.
2.0,reentry10:upei-mcsc:program,ca:dli:O19220071452,Master of Science in Mathematical and Computational Sciences,official_program_or_department_signal,exact research master's and entry boundary,Master of Science in Mathematical and Computational Sciences,University of Prince Edward Island,https://www.upei.ca/programs/master-science-mathematical-and-computational-sciences,2026-09-11,"Official program page confirms the thesis-based research MSc, relevant four-year degree route, and required supervisor.","Degree equivalency, project fit, and supervisor willingness are applicant-specific."
2.0,reentry10:upei-mcsc:funding,ca:dli:O19220071452,Master of Science in Mathematical and Computational Sciences,research_masters_or_scholarship_search,graduate financing mechanisms and non-guarantee,Financing Graduate Studies,University of Prince Edward Island,https://www.upei.ca/graduate-studies/future-students/financing-graduate-studies,2026-09-11,"Official Graduate Studies page lists scholarships, assistantships, and research support while making clear that funding is not guaranteed.","No applicant-specific award, full international tuition coverage, or net-cost result is established."
2.0,reentry10:uwinnipeg-acs:program,ca:dli:O19147986012,MSc in Applied Computer Science and Society — Thesis-Based,official_program_or_department_signal,exact thesis master's and entry boundary,Thesis-Based MSc in Applied Computer Science and Society,University of Winnipeg,https://acs.uwinnipeg.ca/graduate_thesis_based,2026-09-11,"Official program page confirms the thesis stream, four-year relevant-degree expectation, supervisor route, and original research requirement.","Transcript equivalency, supervisor willingness, and applicant admission remain unresolved."
2.0,reentry10:uwinnipeg-acs:scholarship,ca:dli:O19147986012,MSc in Applied Computer Science and Society — Thesis-Based,research_masters_or_scholarship_search,competitive scholarship signal,President's Distinguished Graduate Student Scholarship,University of Winnipeg,https://www.uwinnipeg.ca/graduate-studies/funding/presidents-distinguished-gss.html,2026-09-11,Official Graduate Studies page confirms a competitive graduate scholarship route and its central eligibility boundary.,The scholarship is selective and does not establish full tuition or living-cost coverage.
2.0,reentry10:queens-computing:program,ca:dli:O19376023352,PhD in Computing,official_program_or_department_signal,exact research doctorate and normal entry boundary,PhD in Computing,Queen’s University,https://www.cs.queensu.ca/graduate/phd/,2026-09-11,Official school page confirms the fully research-based PhD and states that the normal entry route requires an MSc.,The normal MSc prerequisite may make the applicant ineligible; Stage 3 must resolve exceptions or direct-entry policy.
2.0,reentry10:queens-computing:funding,ca:dli:O19376023352,PhD in Computing,research_masters_or_scholarship_search,doctoral funding signal and published minimum,Graduate Finances,Queen’s University,https://www.cs.queensu.ca/graduate/finances/,2026-09-11,Official school page describes funded doctoral study and publishes current international support minimums and renewal years.,"Published current terms must be refreshed for Fall 2027 and do not resolve fees, net cost, or entry eligibility."
2.0,reentry10:uppsala-cs:program,ror:048a87296,Master's Programme in Computer Science,official_program_or_department_signal,"exact master's, prerequisites, and research fit",Master's Programme in Computer Science,Uppsala University,https://www.uu.se/en/study/programme/masters-programme-computer-science,2026-09-11,"Official program page confirms the 120-credit English master's, CS and mathematics prerequisites, systems and software coverage, and degree project.",Course equivalency and applicant selection require transcript-level review.
2.0,reentry10:uppsala-cs:scholarships,ror:048a87296,Master's Programme in Computer Science,research_masters_or_scholarship_search,tuition scholarship selectivity and living-cost boundary,Uppsala University Scholarships,Uppsala University,https://www.uu.se/en/study/masters-studies/scholarships/uppsala-university-scholarships,2026-09-11,Official scholarship page describes highly competitive tuition awards and states that living expenses are not covered.,A scholarship application is not an award and does not produce a viable living-cost plan.
2.0,reentry10:lund-mlsc:program,ror:012a77v79,"Master's Programme in Machine Learning, Systems and Control",official_program_or_department_signal,"exact master's, prerequisites, and degree project","Machine Learning, Systems and Control — Master's Programme",Lund University,https://www.lunduniversity.lu.se/lubas/i-uoh-lu-TAMSR,2026-09-11,"Official program page confirms the two-year English master's, prerequisite areas, systems and machine-learning focus, and degree project.",Applicant-specific transcript equivalency and selection are unresolved.
2.0,reentry10:lund-mlsc:scholarship,ror:012a77v79,"Master's Programme in Machine Learning, Systems and Control",research_masters_or_scholarship_search,competitive tuition scholarship boundary,Lund University Global Scholarship,Lund University,https://www.lunduniversity.lu.se/study/admission-degree-studies/scholarships-and-awards/lund-university-global-scholarship,2026-09-11,Official scholarship page describes selective partial or full tuition awards and excludes living costs.,No award or living-cost coverage is established for the applicant.
2.0,reentry10:luxembourg-mics:program,ror:036x5ad56,Master in Information and Computer Sciences,official_program_or_department_signal,exact research master's and fit,Master in Information and Computer Sciences,University of Luxembourg,https://www.uni.lu/fstm-en/study-programs/master-in-information-and-computer-sciences/,2026-09-11,"Official program page confirms the 120-ECTS English master's, reliable-software and security content, research involvement, thesis, and listed semester fee.","Degree equivalency, admission, research placement, and Fall 2027 terms remain unresolved."
2.0,reentry10:luxembourg-mics:scholarship,ror:036x5ad56,Master in Information and Computer Sciences,research_masters_or_scholarship_search,limited scholarship and coverage boundary,Guillaume Dupaix International Scholarship,University of Luxembourg,https://www.uni.lu/life-en/financial-support/scholarships/guillaume-dupaix-international-scholarship/,2026-09-11,Official page describes a limited international scholarship with annual living and accommodation support and no tuition waiver.,Only a small number of awards are available and applicant selection and net cost are unknown.
2.0,reentry10:dtu-cse:program,ror:04qtj9h94,MSc Eng in Computer Science and Engineering,official_program_or_department_signal,exact master's and research fit,MSc Eng in Computer Science and Engineering,Technical University of Denmark,https://www.dtu.dk/english/education/graduate/msc-programmes/computer-science-and-engineering,2026-09-11,"Official program page confirms the 120-ECTS MSc Eng, safe and secure software and distributed-systems content, and thesis route.","Detailed prerequisite equivalency, admission, and thesis-supervisor fit remain applicant-specific."
2.0,reentry10:dtu-cse:waivers,ror:04qtj9h94,MSc Eng in Computer Science and Engineering,research_masters_or_scholarship_search,tuition-waiver scarcity and coverage boundary,Tuition Fee Waivers,Technical University of Denmark,https://www.dtu.dk/english/education/graduate/fees-and-funding/tuition_fee_waivers,2026-09-11,Official DTU page describes a very limited two-year tuition-waiver route for non-EU/EEA master's students.,"A waiver is highly selective, does not cover living costs, and is not an applicant-specific award."
