schema_version,stage3_source_id,candidate_program_id,institution_id,institution_name,claim_categories,exact_claim_supported,source_title,publisher,url,source_path,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,original_source_id,access_note
2.0,stage3src:a7c707415b241cf5feca,ca:dli:O18886830282:program:thesis-or-research-master-s:msc-thesis-based-in-computer-science-software-engineering-specialization,ca:dli:O18886830282,University of Calgary,program|admissions|eligibility|language,"Exact thesis Software Engineering specialization, 3.0 GPA, four-year CS degree, and mandatory three years of relevant industry experience after the bachelor's degree.",Computer Science MSc — Software Engineering Specialization Admissions,University of Calgary Academic Calendar,https://calendar.ucalgary.ca/programs/CPSCSEMSCT/admissions-cMwRI,data/raw/pass2/stage_03_reentry_05.json,official web page,official,2026-09-11,Current calendar checked 2026-09-11,high,official page checked,stage3re05:calgary:program,
2.0,stage3src:dea07178ae7a3ae596f8,ca:dli:O18886830282:program:thesis-or-research-master-s:msc-thesis-based-in-computer-science-software-engineering-specialization,ca:dli:O18886830282,University of Calgary,admissions|deadline|fees|funding,"CAD 145 fee, international July deadlines, supervisor review, CAD 24,000 annual two-year guarantee, and international differential-fee award.",Graduate Admission Requirements,University of Calgary Department of Computer Science,https://science.ucalgary.ca/computer-science/future-students/graduate/admission-requirements,data/raw/pass2/stage_03_reentry_05.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re05:calgary:funding,
2.0,stage3src:6cc2ddd9a51c3365d685,ca:dli:O19359011007:program:thesis-or-research-master-s:software-engineering-masc,ca:dli:O19359011007,Concordia University,admissions|fees,"CAD 100 application fee, no waiver, and separate completed application and fee per program.",Application Instructions,Concordia University School of Graduate Studies,https://www.concordia.ca/gradstudies/future-students/how-to-apply/instructions.html,data/raw/pass2/stage_03_reentry_05.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re05:concordia:fees,
2.0,stage3src:8c35d0d7476d9d8f8e18,ca:dli:O19359011007:program:thesis-or-research-master-s:software-engineering-masc,ca:dli:O19359011007,Concordia University,program|admissions|eligibility|deadline|funding,"Exact 45-credit two-year thesis MASc, relevant-degree entry, recurring March 1 deadline, and non-universal funding language for most thesis students.",Software Engineering MASc,Concordia University,https://www.concordia.ca/academics/graduate/software-engineering-masc.html,data/raw/pass2/stage_03_reentry_05.json,official web page,official,2026-09-11,Current recurring dates checked 2026-09-11,high,official page checked,stage3re05:concordia:program,
2.0,stage3src:afd4e8ca2c53991adfd3,ca:dli:O19359011007:program:thesis-or-research-master-s:software-engineering-masc,ca:dli:O19359011007,Concordia University,admissions|eligibility|language,"United States and Nigeria are listed for the three-year English-proficiency exemption route, subject to university review.",English-Language Proficiency Exempt Countries,Concordia University School of Graduate Studies,https://www.concordia.ca/gradstudies/future-students/how-to-apply/english-language-proficiency/exempt-countries.html,data/raw/pass2/stage_03_reentry_05.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re05:concordia:language,
2.0,stage3src:d4f95245456911dfb067,ca:dli:O19359011007:program:thesis-or-research-master-s:software-engineering-masc,ca:dli:O19359011007,Concordia University,funding,"The graduate handbook documents MASc award and scholarship processes, while the program page remains the source for the non-universal admission-time package claim.",Graduate Student Handbook,Concordia University Gina Cody School,https://www.concordia.ca/content/dam/ginacody/cme/docs/Digital_Graduate_Student_Handbook_12_September_2025.pdf.pdf,data/raw/pass2/stage_03_reentry_05.json,official PDF,official,2026-09-11,2025 handbook checked 2026-09-11,high,official page checked,stage3re05:concordia:funding,
2.0,stage3src:53bafd2cc8a6106c5b1d,ca:dli:O19395535729:program:thesis-or-research-master-s:software-engineering-masc,ca:dli:O19395535729,McMaster University,admissions|eligibility|language|deadline|funding,"Supervisor-acceptance model, international timing, English evidence, and twenty-month funding statement for full-time MASc and MSc students.",Graduate Application FAQ — Computing and Software,McMaster University Faculty of Engineering,https://www.eng.mcmaster.ca/app/uploads/2024/03/Application_FAQ_Graduate_Computing-and-Software.pdf,data/raw/pass2/stage_03_reentry_05.json,official PDF,official,2026-09-11,Current FAQ checked 2026-09-11,high,official page checked,stage3re05:mcmaster:faq,
2.0,stage3src:9225f496c15a03f7a612,ca:dli:O19395535729:program:thesis-or-research-master-s:software-engineering-masc,ca:dli:O19395535729,McMaster University,fees|funding,Graduate tuition and supplementary fees vary by international research-master's status and term; exact future net cost remains offer-specific.,Graduate Tuition and Fees,McMaster University Registrar,https://registrar.mcmaster.ca/fees/graduate/,data/raw/pass2/stage_03_reentry_05.json,official web page,official,2026-09-11,Current fee framework checked 2026-09-11,high,official page checked,stage3re05:mcmaster:tuition,
2.0,stage3src:b302b7449763760c3bcc,ca:dli:O19395535729:program:thesis-or-research-master-s:software-engineering-masc,ca:dli:O19395535729,McMaster University,program|admissions|eligibility,"Exact research Software Engineering MASc, four-year degree route, B+ threshold, and research areas.",Software Engineering MASc,McMaster University Faculty of Engineering,https://www.eng.mcmaster.ca/cas/degree-options/software-engineering-masc/,data/raw/pass2/stage_03_reentry_05.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re05:mcmaster:program,
2.0,stage3src:d2cd46fc25cf84160527,ca:dli:O19395535729:program:thesis-or-research-master-s:software-engineering-masc,ca:dli:O19395535729,McMaster University,admissions|fees,Current CAD 150 graduate application fee.,Application Instructions,McMaster University School of Graduate Studies,https://gs.mcmaster.ca/how-to-apply/application-instructions/,data/raw/pass2/stage_03_reentry_05.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re05:mcmaster:fee,
2.0,stage3src:3ceab1d962e42bfa063b,ca:dli:O19425660270:program:thesis-or-research-master-s:master-of-applied-science-in-software-systems-engineering,ca:dli:O19425660270,University of Regina,funding|deadline,"Entrance awards, Graduate Scholarship Base Fund, teaching assistantships, and fellowships are competitive; admission does not imply funding, and GAP competitions have September, February, and May windows.",Financial Support and Graduate Scholarships,University of Regina Faculty of Graduate Studies and Research,https://www.uregina.ca/graduate-studies-research/graduate-calendar/financial-support.html,data/raw/pass2/stage_03_reentry_05.json,official web page,official,2026-09-11,Current calendar guidance checked 2026-09-11,high,official page checked,stage3re05:regina:funding,
