schema_version,program_id,institution_id,institution_name,country,region,regional_admissions_model,program_name,degree_type,relevant_degree_route,discovery_paths,research_topic_clusters,exact_research_fit_signal,preliminary_international_eligibility,preliminary_funding_signal,official_program_url,official_institution_url,evidence_confidence,affiliation_normalization_status,seed_adjacency,funnel_status,proposed_next_action,exclusion_reason,unresolved_fields,source_record_paths,source_ids,reentry_id
2.0,us:ipeds:209551:program:phd:phd-in-computer-science,us:ipeds:209551,University of Oregon,United States,us,US program or committee admission; faculty role requires program-specific verification,PhD in Computer Science,PhD,"Computer science research doctorate with directed research, doctoral milestones, and dissertation",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|distributed_systems|systems_security,"The doctoral route supports faculty-directed research across software, systems, networking, security, and related computer-science areas.","A master's degree is not required, but degree preparation, English evidence, prerequisites, and the Fall 2027 cycle require Stage 3 review.",The department says most PhD students receive research or teaching support and graduate employees receive tuition and stipend benefits; awards are competitive and not guaranteed.,https://scds.uoregon.edu/cs/graduate-programs/cs-phd,https://www.uoregon.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|transcript and prerequisite mapping|English evidence|assistantship award and duration|fees and insurance|current supervisor capacity,data/processed/pass2/stage_02_reentry_10_candidates.csv|data/processed/pass2/stage_02_reentry_10_sources.csv,reentry10:oregon-cs:program|reentry10:oregon-cs:funding,stage_02_reentry_10
2.0,us:ipeds:139959:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:139959,University of Georgia,United States,us,US program or committee admission; faculty role requires program-specific verification,Doctor of Philosophy in Computer Science,PhD,"Computer science research doctorate with advanced coursework, original research, and dissertation",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record,software_quality|distributed_systems|systems_security,"The curriculum and research coverage include software engineering, compilers, operating systems, networks, and distributed systems.","Applicants may enter with a bachelor's or master's degree; preparation, English evidence, and Fall 2027 requirements remain for Stage 3.","The department prioritizes PhD students for teaching and research assistantships, but does not publish a universal award.",https://www.cs.uga.edu/doctor-philosophy-computer-science,https://www.uga.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,"Fall 2027 cycle|transcript preparation|English evidence|assistantship selection|tuition, fees, and insurance|current supervisor capacity",data/processed/pass2/stage_02_reentry_10_candidates.csv|data/processed/pass2/stage_02_reentry_10_sources.csv,reentry10:uga-cs:program|reentry10:uga-cs:funding,stage_02_reentry_10
2.0,us:ipeds:139940:program:phd:computer-science-phd,us:ipeds:139940,Georgia State University,United States,us,US program or committee admission; faculty role requires program-specific verification,Computer Science PhD,PhD,"Research doctorate with advanced computer-science study, faculty-guided research, and dissertation",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,ai_for_se|software_quality|distributed_systems,"The program is research centered and includes systems, software, data, artificial intelligence, and related computer-science work.","The program accepts doctoral applications and may assign foundation remediation; transcript preparation, English evidence, and Fall 2027 terms require Stage 3 review.","Top candidates may receive competitive assistantship support with a tuition waiver, while central assistantship coverage varies and is not universal.",https://graduate.gsu.edu/program/computer-science-phd/,https://www.gsu.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|foundation-course assessment|English evidence|assistantship selection and renewal|fee and insurance coverage|current supervisor capacity,data/processed/pass2/stage_02_reentry_10_candidates.csv|data/processed/pass2/stage_02_reentry_10_sources.csv,reentry10:gsu-cs:program|reentry10:gsu-cs:assistantships,stage_02_reentry_10
2.0,us:ipeds:218663:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:218663,University of South Carolina-Columbia,United States,us,US program or committee admission; faculty role requires program-specific verification,Doctor of Philosophy in Computer Science,PhD,"Computer science research doctorate requiring advanced study, original research, and dissertation defense",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record,software_quality|systems_security|distributed_systems,"The department covers software engineering, security, systems, networking, data, and artificial intelligence research.","International applicants may apply, but degree preparation, English evidence, prerequisites, and the Fall 2027 cycle require Stage 3 verification.","Doctoral applicants are automatically considered for limited teaching assistantships, which pair a stipend with tuition supplementation; no universal package is stated.",https://cse.sc.edu/graduate/phd,https://www.sc.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|degree and prerequisite mapping|English evidence|assistantship award and renewal|net tuition and fees|current supervisor capacity,data/processed/pass2/stage_02_reentry_10_candidates.csv|data/processed/pass2/stage_02_reentry_10_sources.csv,reentry10:usc-cs:program|reentry10:usc-cs:funding,stage_02_reentry_10
2.0,us:ipeds:182290:program:phd:ph-d-in-computer-science-and-engineering,us:ipeds:182290,University of Nevada-Reno,United States,us,US program or committee admission; faculty role requires program-specific verification,Ph.D. in Computer Science and Engineering,PhD,"Computer science and engineering doctorate with direct bachelor's entry, advanced research, and dissertation",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|distributed_systems|ai_for_se,"The program covers data and software systems, computing systems, networking, security, and intelligent systems.","Direct entry from a bachelor's degree is possible under distinct GPA standards; transcript, English, and Fall 2027 requirements need Stage 3 review.","Applicants are considered for assistantships, and central policy lists stipend, insurance, tuition, and nonresident-waiver benefits; an appointment and remaining fees are unresolved.",https://www.unr.edu/cse/graduate-program,https://www.unr.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|direct-entry transcript standard|English evidence|assistantship sponsorship and renewal|remaining fees|current supervisor capacity,data/processed/pass2/stage_02_reentry_10_candidates.csv|data/processed/pass2/stage_02_reentry_10_sources.csv,reentry10:unr-cse:program|reentry10:unr-cse:assistantships,stage_02_reentry_10
2.0,ca:dli:O19220071452:program:thesis-or-research-master-s:master-of-science-in-mathematical-and-computational-sciences,ca:dli:O19220071452,University of Prince Edward Island,Canada,canada,Canadian program admission with potentially supervisor-dependent research route,Master of Science in Mathematical and Computational Sciences,Thesis or research master's,Research-intensive master's with supervisor-led work and thesis in computational sciences,official_program_or_department_signal|research_masters_or_scholarship_search|underrepresented_route_search,software_quality|ai_for_se|distributed_systems,The interdisciplinary research MSc admits computational-science projects and requires a research supervisor and thesis.,"A relevant four-year degree and willing supervisor are required; equivalency, course preparation, English evidence, and Fall 2027 terms need Stage 3 review.","The university lists assistantships, scholarships, and supervisor support as possible financing, while explicitly avoiding a universal funding guarantee.",https://www.upei.ca/programs/master-science-mathematical-and-computational-sciences,https://www.upei.ca,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|four-year degree equivalency|course and English requirements|willing supervisor|funding package and international tuition|net cost,data/processed/pass2/stage_02_reentry_10_candidates.csv|data/processed/pass2/stage_02_reentry_10_sources.csv,reentry10:upei-mcsc:program|reentry10:upei-mcsc:funding,stage_02_reentry_10
2.0,ca:dli:O19147986012:program:thesis-or-research-master-s:msc-in-applied-computer-science-and-society-thesis-based,ca:dli:O19147986012,University of Winnipeg,Canada,canada,Canadian program admission with potentially supervisor-dependent research route,MSc in Applied Computer Science and Society — Thesis-Based,Thesis or research master's,Thesis-based applied computer science master's with faculty supervision and original research,official_program_or_department_signal|research_masters_or_scholarship_search|underrepresented_route_search,software_quality|ai_for_se|data_systems,The thesis stream supports applied computer-science research and culminates in supervised thesis work.,"A four-year degree in computer science, engineering, mathematics, or a related discipline and supervisor alignment are required; equivalency and English evidence remain unresolved.","A competitive President's Distinguished Graduate Student Scholarship exists, but no universal MSc package was found.",https://acs.uwinnipeg.ca/graduate_thesis_based,https://www.uwinnipeg.ca,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|four-year degree equivalency|course and English requirements|willing supervisor|scholarship selection|international tuition and net cost,data/processed/pass2/stage_02_reentry_10_candidates.csv|data/processed/pass2/stage_02_reentry_10_sources.csv,reentry10:uwinnipeg-acs:program|reentry10:uwinnipeg-acs:scholarship,stage_02_reentry_10
2.0,ca:dli:O19376023352:program:phd:phd-in-computing,ca:dli:O19376023352,Queen’s University,Canada,canada,Canadian program admission with potentially supervisor-dependent research route,PhD in Computing,PhD,"Fully research-based computing doctorate with faculty supervision, original research, and dissertation",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record,software_quality|ai_for_se|systems_security,"The research doctorate sits in a computing school with software engineering, systems, security, data, and artificial-intelligence research.","The normal entry route requires an MSc, so direct eligibility from the applicant's current degree profile is unresolved and must be treated as a Stage 3 hard check.","The school describes the PhD as funded and publishes current international minimum support, but Fall 2027 values, conditions, fees, and applicant eligibility need verification.",https://www.cs.queensu.ca/graduate/phd/,https://www.queensu.ca,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,direct-entry eligibility without MSc|Fall 2027 cycle|English evidence|supervisor alignment|funding renewal and net cost|current supervisor capacity,data/processed/pass2/stage_02_reentry_10_candidates.csv|data/processed/pass2/stage_02_reentry_10_sources.csv,reentry10:queens-computing:program|reentry10:queens-computing:funding,stage_02_reentry_10
2.0,ror:048a87296:program:thesis-or-research-master-s:master-s-programme-in-computer-science,ror:048a87296,Uppsala University,Sweden,europe,"European program, supervisor, studentship, or employed-position model; verify by country",Master's Programme in Computer Science,Thesis or research master's,Two-year English-taught computer science master's with advanced study and independent degree project,official_program_or_department_signal|research_masters_or_scholarship_search|european_registry_followup,software_quality|distributed_systems|real_time_systems,"The program covers software, programming, parallel and real-time systems and culminates in a substantial degree project.","The published route requires 90 credits in computer science and 30 in mathematics; course mapping, English evidence, and Fall 2027 terms need Stage 3 review.","University tuition scholarships are highly competitive and generally do not cover living costs, so no viable funding result is established.",https://www.uu.se/en/study/programme/masters-programme-computer-science,https://www.uu.se/en,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|90-credit CS and 30-credit mathematics mapping|English evidence|tuition liability|scholarship selection|living-cost plan,data/processed/pass2/stage_02_reentry_10_candidates.csv|data/processed/pass2/stage_02_reentry_10_sources.csv,reentry10:uppsala-cs:program|reentry10:uppsala-cs:scholarships,stage_02_reentry_10
2.0,ror:012a77v79:program:thesis-or-research-master-s:master-s-programme-in-machine-learning-systems-and-control,ror:012a77v79,Lund University,Sweden,europe,"European program, supervisor, studentship, or employed-position model; verify by country","Master's Programme in Machine Learning, Systems and Control",Thesis or research master's,Two-year English-taught technical master's with advanced coursework and independent degree project,official_program_or_department_signal|research_masters_or_scholarship_search|european_registry_followup,ai_for_se|cyber_physical_systems|formal_verification,"The program integrates machine learning, systems, control, modelling, and a research-oriented degree project.","A relevant engineering or science degree plus specified mathematics, programming, and systems preparation is required; transcript mapping remains for Stage 3.","The Lund Global Scholarship can provide partial or full tuition competitively but excludes living costs, so funding viability is unresolved.",https://www.lunduniversity.lu.se/lubas/i-uoh-lu-TAMSR,https://www.lunduniversity.lu.se,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|prerequisite course mapping|English evidence|tuition liability|scholarship selection|living-cost plan,data/processed/pass2/stage_02_reentry_10_candidates.csv|data/processed/pass2/stage_02_reentry_10_sources.csv,reentry10:lund-mlsc:program|reentry10:lund-mlsc:scholarship,stage_02_reentry_10
