schema_version,candidate_program_id,verified_program_id,institution_id,institution_name,country,region,candidate_funnel_status,verification_status,status_reason,exact_degree_program_name,degree_type,research_requirement,department,current_program_status,bachelors_entry_eligibility,international_student_eligibility,language_of_instruction,english_requirement_and_waiver,minimum_gpa,minimum_gpa_application,prerequisite_coursework,admissions_model,faculty_contact_expectation,fall_2027_deadline,deadline_cycle_label,application_fee,fee_currency,fee_waiver_rules,simultaneous_application_rules,separate_fees_required,tuition,mandatory_fees,funding_model,funding_status,funding_duration,funding_conditions,funding_international_eligibility,stipend_amount,stipend_currency,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_coverage,named_scholarships,scholarship_deadlines,largest_unresolved_question,relevant_route_gate,eligibility_gate,funding_gate,degree_structure_gate,same_university_dominance_gate,faculty_review_ready,application_positioning,official_program_url,program_source_ids,admissions_source_ids,funding_source_ids,evidence_confidence,source_record_paths,verified_at
2.0,us:ipeds:212054:program:phd:phd-in-computer-science,us:ipeds:212054:program:phd:phd-in-computer-science,us:ipeds:212054,Drexel University,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",PhD in Computer Science,PhD,"Course qualifying, candidacy exam, thesis proposal, original dissertation, and thesis defense","Department of Computer Science, Nick Howley College of Engineering and Computing",Current official program page includes the semester curriculum launching in Fall 2027,"Yes; 90 credits are required without a prior related master's, compared with 45 post-master's credits","Yes, subject to transcript and English requirements",English,TOEFL 90 or IELTS accepted; the test can be waived after completion of a U.S.-based undergraduate or graduate degree,No numeric doctoral minimum published on the official SCIS pages checked,Applicant's 3.35 GPA is reviewable; no unsupported GPA conversion applied,"Object-oriented programming, algorithms, data structures, discrete mathematics, calculus, linear algebra, architecture, systems programming, and two advanced CS courses",Doctoral Committee review; full-time applicants are considered for assistantships,Prior supervisor commitment is not published as mandatory; faculty fit should be identified in the statement,"Not yet published; latest cycle priority December 15, 2025 and rolling review through February 15, 2026",Latest published doctoral cycle checked 2026-09-11; Fall 2027 deadline requires reconfirmation,65,USD,No applicant-applicable waiver verified,Applicants may apply to only one Drexel program,One application fee for the selected program,Fall 2027 doctoral tuition not separately relied upon because tuition remission is published for supported PhD students,Not published as included in the assistantship,"Research, teaching, or combined assistantship",All PhD students are stated to be fully supported,Offer-specific; doctoral program maximum is seven years,"Full-time doctoral enrollment, assigned assistantship duties, and satisfactory progress",No international exclusion is published for doctoral assistantships,Not published on the doctoral admissions page,USD,Tuition remission,Not published,Not published,Not published,Research and teaching assistantships,No separate application; use doctoral admission priority deadline,"What stipend, fee, insurance, summer, and renewal terms will appear in the Fall 2027 assistantship offer?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://drexel.edu/cci/academics/doctoral-programs/phd-computer-science/,stage3src:98c9f5edceaece0f3e8e|stage3src:9ca01da2602c45b08a44,stage3src:6b716e2f69938fe888a9|stage3src:9ca01da2602c45b08a44,stage3src:6b716e2f69938fe888a9,high,data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_17.json,2026-09-11
2.0,us:ipeds:213543:program:phd:phd-in-computer-science,us:ipeds:213543:program:phd:phd-in-computer-science,us:ipeds:213543,Lehigh University,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",PhD in Computer Science,PhD,"Doctoral coursework, qualifying examination, and dissertation research","Department of Computer Science and Engineering, P.C. Rossin College of Engineering and Applied Science",Current official program and admissions pages checked 2026-09-11,Bachelor's degree in computer science or a related field is accepted,"Yes, with English proficiency and immigration requirements",English,"TOEFL, IELTS, Duolingo, Cambridge, or PTE required for international applicants unless a defined waiver applies",2.75/4.0 required; 3.5/4.0 major GPA preferred,Applicant's 3.35 cumulative GPA exceeds the minimum but is below the stated preferred major GPA unless the major-only calculation differs,Computer science or related bachelor's preparation; exact transcript fit is reviewed by the department,Departmental Graduate Admissions Committee review,Prior faculty commitment is not required; research objectives and faculty fit should be clear,"December 15, 2026 for full financial-aid consideration",Recurring PhD funding-priority deadline; applications open September 1,50,USD,No applicable waiver verified,An unrelated application cannot be used to transfer into Computer Science; multiple-application rules otherwise not published,Not published,Offer-specific; all Rossin PhDs are published as fully funded,Not published as covered,"Research assistantship, teaching assistantship, or fellowship",All Rossin College PhDs are stated to be 100 percent fully funded,Offer-specific; no universal duration stated on the program page,"Merit, satisfactory progress, and up to 20 hours per week of duties for RA or TA appointments",No categorical international exclusion is published,Monthly stipend; amount not published,USD,Tuition included,Not published,Not published,Not published,"RA, TA, fellowships, and Pasteur PHD Partners Fellowship",December 15 for full financial-aid consideration,"What duration, summer, insurance, and mandatory-fee terms will Lehigh include in the actual funding offer?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://engineering.lehigh.edu/academics/graduate/phd/phd-computer-science,stage3src:2e44f9891e72f654af9d,stage3src:2e44f9891e72f654af9d|stage3src:a07d8a11d2f01ac36bfa,stage3src:2e44f9891e72f654af9d|stage3src:594c659b2971d7d39f62,high,data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_17.json,2026-09-11
2.0,us:ipeds:131469:program:phd:phd-in-computer-science,us:ipeds:131469:program:phd:phd-in-computer-science,us:ipeds:131469,George Washington University,United States,us,advance_to_stage_3,conditional,"The applicant clears the published bachelor's-entry GPA and coursework gate, but GW awards doctoral assistantships selectively and publishes no universal duration, summer, insurance, or full-fee commitment.",PhD in Computer Science,PhD,Doctoral coursework and original dissertation supervised by an eligible Computer Science faculty advisor,"Department of Computer Science, School of Engineering and Applied Science","Current official program, bulletin, funding, and 2026-27 fee pages checked 2026-09-11",Yes; a relevant bachelor's with at least 3.3/4.0 is accepted,"Yes, subject to English and visa requirements",English,"IELTS 6.5 with no band below 6.0, TOEFL 81, or PTE 53; a completed U.S. bachelor's can support an exemption",3.3/4.0 for bachelor's-only applicants,Applicant's 3.35 cumulative GPA exceeds the published bachelor's-entry floor,"Two mathematics courses beyond pre-calculus, structured programming, discrete structures, and data structures",Departmental doctoral review; funding selection is made directly by faculty,Early faculty contact is recommended to improve funding prospects but is not an admission prerequisite,"January 15, 2027",Current recurring Fall deadline checked 2026-09-11,80,USD,No applicant-applicable waiver verified,Not published,One program application fee; no separate funding application,"2026-27 on-campus graduate rate is 2,195 per credit","495 matriculation, up to 45 per semester student association, and 60 per semester international student fee in 2026-27",Competitive GRA or GTA selected by a faculty member,"All doctoral applicants are generally considered, but an award is not guaranteed",Not universally published,"Faculty selection, 9-credit enrollment each fall and spring, assigned duties, and English 100 TOEFL or IELTS 7.0 for international GTAs",International students can receive GRA support and can receive GTA support subject to the higher spoken-English threshold,Monthly stipend; amount varies and is not published,USD,18 credits per academic year for funded GRA or GTA appointments,Not published,Not published,Not published,Graduate research and teaching assistantships,No separate application; use the January 15 admission deadline,"Will a CS faculty member select the applicant for a renewable package covering all tuition, living costs, fees, insurance, and summers?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://graduate.engineering.gwu.edu/phd-computer-science,stage3src:93bdb2f1443cb9da105d,stage3src:93bdb2f1443cb9da105d|stage3src:296df59b23250c7f7d6f|stage3src:035c324a240b41f9b310,stage3src:88560b25e9ccf9373569,high,data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_17.json,2026-09-11
2.0,us:ipeds:196060:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:196060:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:196060,University at Albany,United States,us,advance_to_stage_3,conditional,"The applicant can complete the bachelor's before enrollment and meets the general entry frame, but the department only publishes an assistantship-consideration deadline—not a universal package, amount, duration, or coverage commitment.",Doctor of Philosophy in Computer Science,PhD,"Minimum 60 graduate credits, qualifying examination, original dissertation, and defense","Department of Computer Science, College of Nanotechnology, Science, and Engineering",Current program page and Fall 2025-effective Graduate Bulletin requirements checked 2026-09-11,A bachelor's degree must be completed before enrollment; no master's prerequisite is published for this PhD,"Yes, subject to degree, English, and visa requirements",English,"TOEFL 79 or 4.0, IELTS 6.5, Duolingo 110, or PTE 53; waiver possible after four full-time U.S. semesters with at least a B average",No numeric admission minimum published on the CS program page; 3.0 is required in degree-applicable doctoral coursework after admission,Applicant's 3.35 record is reviewable; no admission cutoff beyond the general completed-bachelor rule was found,Admissions committee considers CS course history and alignment with an ABET-style CS bachelor's curriculum,Computer Science PhD Admissions Committee review,No prior supervisor commitment is published as mandatory,"March 15, 2027 for departmental assistantship consideration; rolling without assistantship consideration",Recurring Fall assistantship date checked 2026-09-11,75,USD,"Some central waivers exist, but the CS department says it cannot provide fee waivers",Separate recommendations are required for each application,A fee is required for each degree application,Exact Fall 2027 doctoral tuition not verified,Not verified as covered by an assistantship,Competitive departmental graduate assistantship,Assistantship consideration exists for applicants meeting the priority deadline; no universal award is published,Not published,"Availability, department selection, assigned duties, satisfactory progress, and teaching-English readiness where applicable",International students may be considered; UAlbany publishes no general international scholarship program,Not published,USD,Not published for the CS assistantship,Not published,Not published,Not published,Departmental assistantship consideration,March 15 for Fall departmental assistantship consideration,"Does the Fall 2027 CS assistantship cover full tuition, fees, insurance, summer support, and multiple years at a livable stipend?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.albany.edu/computer-science/programs/phd-computer-science,stage3src:690d1573b35cc8dee934,stage3src:690d1573b35cc8dee934|stage3src:037ac5379c042521c99d|stage3src:822d60243ba5edc6092d,stage3src:690d1573b35cc8dee934|stage3src:822d60243ba5edc6092d,high,data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_17.json,2026-09-11
2.0,us:ipeds:168421:program:phd:phd-in-computer-science,us:ipeds:168421:program:phd:phd-in-computer-science,us:ipeds:168421,Worcester Polytechnic Institute,United States,us,advance_to_stage_3,conditional,"WPI accepts a prepared CS bachelor's applicant and publishes Fall 2027 dates, but funding is automatic consideration rather than a universal package and its duration, fee, insurance, and summer terms remain offer-specific.",PhD in Computer Science,PhD,"Advanced coursework, research, dissertation, and defense",Department of Computer Science,Current program page and 2026-27 catalog checked 2026-09-11,Yes; applicants may enter after a bachelor's and complete the master's stage within the PhD,"Yes, subject to graduate admission and English requirements",English,Official current threshold and waiver treatment for a U.S. bachelor's were not fully published on the pages checked,No numeric CS PhD minimum published,Applicant's 3.35 GPA is reviewed holistically with CS preparation and research evidence,"Theoretical and applied CS, significant programming, and college mathematics; a CS or closely related bachelor's is normally adequate",Rolling graduate admission with automatic funding consideration,No pre-application supervisor commitment is published as mandatory,"January 14, 2027 priority for funding; August 6, 2027 latest application date",Published 2027-28 graduate dates,70,USD,Applicants may email Graduate Admissions to request consideration for a fee waiver,Not published,No separate funding application,Fall 2027 tuition not verified,Not published as covered,Competitive research or teaching assistantship and institutional funding,All applicants receive automatic consideration; post-priority applicants remain eligible while funds are available,Not universally published,"Selection, funding availability, assigned duties, and satisfactory progress",No categorical international exclusion is published,"FY26 research-assistant institutional rate is 42,450; an individual offer may differ",USD,Not established as universal on the admissions page,Not published,Not published,Not published,Research and teaching assistantships,"Automatic consideration by the January 14, 2027 priority date","Will WPI issue a multi-year full package covering tuition, fees, health insurance, and summers in addition to stipend?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.wpi.edu/academics/study/computer-science-phd,stage3src:8f8d9edc546ba7a57d26|stage3src:1c102ddf34e1c1bc478d,stage3src:5288b15fdf1fcb950bfa|stage3src:1c102ddf34e1c1bc478d,stage3src:5288b15fdf1fcb950bfa|stage3src:4e30e6156262c1032927,high,data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_17.json,2026-09-11
2.0,us:ipeds:171571:program:phd:doctor-of-philosophy-in-computer-science-and-informatics,us:ipeds:171571:program:phd:doctor-of-philosophy-in-computer-science-and-informatics,us:ipeds:171571,Oakland University,United States,us,advance_to_stage_3,monitor,"A master's is normally required and direct bachelor's admission is reserved for outstanding records; the applicant's 3.35 GPA does not establish that exception, while the university publishes no universal doctoral funding package.",Doctor of Philosophy in Computer Science and Informatics,PhD,"80 credits including at least 24 dissertation-research credits, qualifying examinations, proposal, publication, and dissertation defense","Department of Computer Science and Engineering, School of Engineering and Computer Science",Current official catalog and department pages checked 2026-09-11,Normally a master's is required; outstanding undergraduate applicants may apply directly at the program's discretion,International applicants are accepted subject to earlier deadlines and graduate requirements,English,Current program-specific threshold and U.S.-degree waiver treatment require confirmation,3.5/4.0 master's GPA for regular admission; direct bachelor's entry uses an undefined outstanding-record standard,Applicant's 3.35 undergraduate GPA does not itself satisfy the published 3.5 master's benchmark or resolve the outstanding-record exception,Computer science or equivalent preparation; mathematics or physical-science entrants may need remedial computing coursework,Selective program review with an exceptional direct-bachelor route,Statement must explain alignment with specific faculty; students typically enter with an assigned advisor,"February 15, 2027 early funding deadline; April 15 regular and July 15 late",Current recurring Fall dates checked 2026-09-11,Not verified,USD,Not verified,Not published,Not published,Fall 2027 doctoral tuition not verified,Not verified,"Competitive GA, TA, or position-specific research support","Funded positions can be advertised, but no universal program commitment for Fall 2027 is published",Not published,"Position availability, advisor match, assigned duties, enrollment, and 3.0 good standing",Not verified for a Fall 2027 package,Not published,USD,Not published,Not published,Not published,Not published,Graduate assistantships and position-specific funded PhD openings,Use February 15 early deadline pending a position-specific call,Will Oakland approve direct bachelor's entry for this record and pair it with a renewable full-cost Fall 2027 assistantship?,pass,resolvable_question,unverified,pass,pass,no,Monitor — Not Faculty-Review Ready,https://graduatecatalog.oakland.edu/programs/RiD4RoYOIfoKUJ6fRCKU/requirements-QhMWt,stage3src:aed65370c7f7e206ca9b|stage3src:7b9b564977d73ca36308,stage3src:aed65370c7f7e206ca9b,stage3src:aed65370c7f7e206ca9b|stage3src:2fb6a3abeb94555a83dc,high,data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_17.json,2026-09-11
2.0,ca:dli:O19330231062:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,ca:dli:O19330231062:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,ca:dli:O19330231062,University of British Columbia,Canada,canada,advance_to_stage_3,conditional,"Computer Science can qualify as a closely related field only when the transcript has significant ECE overlap; UBC publishes a credible RA route and funding medians, but the department must confirm this applicant's course equivalency before application spending.",Master of Applied Science in Electrical and Computer Engineering,Thesis or research master's,24-month coursework-plus-thesis research program under faculty supervision,"Department of Electrical and Computer Engineering, Faculty of Applied Science",September 2027 application and program profile are current,Requires an accredited four-year Electrical or Computer Engineering degree or a closely related field with significant course overlap,Yes; the program reports admissions from around the world,English,"TOEFL 100, IELTS 7.0, or DET 130 with section thresholds; a recent degree completed in the United States qualifies for the listed waiver",UBC-wide minimum usually B+ or 76 percent; ECE prefers first-class standing,Applicant's 3.35 cumulative and greater-than-3.5 recent GPA need official UBC interpretation; no conversion applied,Transcript must show significant overlap with Electrical or Computer Engineering; Computer and Software Systems fit is transcript-specific,Central and departmental review followed by faculty position and supervisor matching,"List faculty of interest; prior commitment is not required, but contact is encouraged","January 15, 2027; transcripts and references due January 31, 2027",Published September 2027 intake,168.25,CAD,Waived only for qualifying applicants whose citizenship and correspondence address are in a UN least-developed country; Nigeria is not assumed eligible,A non-refundable fee applies to each program and intake,Separate fee for each program and intake; housing has a separate fee,"2026-27 international first-year tuition 10,081.65, subject to annual increase","Approximately 1,203.20 yearly in the current profile","Supervisor research assistantship, teaching assistantship, major scholarship, or award","Most MASc and PhD students without major awards receive supervisor RAs; 50 percent of MASc students receive at least 32,575 gross annual funding in the first two years",Funding distribution published for the first two years; individual offer governs,"Supervisor position, research project, award terms, enrollment, and satisfactory progress",RAs are open to all research students; current profile separately states international tuition award where eligible,"Median threshold 32,575 gross per year for 50 percent of students in first two years",CAD,"Not universally waived; funding profile reports 22,970 median net after tuition and fees for 50 percent of students",Not universally guaranteed,Not published as universally included,Annual funding statistic implies year-round totals but offer-specific timing is unresolved,"Graduate Support Initiative, Affiliated Fellowships, RA, TA, and major external awards",December 1 application and December 31 completion for selected award hopefuls; January 15 admission deadline,Will ECE treat the applicant's CS curriculum as sufficiently overlapping with ECE and issue a two-year net-positive funding package?,pass,resolvable_question,pass,pass,pass,yes,Outreach Before Decision,https://www.grad.ubc.ca/prospective-students/graduate-degree-programs/master-of-applied-science-electrical-computer-engineering,stage3src:d8ec8a702b6675a32cd5|stage3src:8fa097d96c8cb1f2da81,stage3src:d8ec8a702b6675a32cd5|stage3src:8fa097d96c8cb1f2da81|stage3src:95a250c8ca568e0ac8b6,stage3src:d8ec8a702b6675a32cd5|stage3src:37f895152248e6a0d513,high,data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_17.json,2026-09-11
2.0,ca:dli:O19332746152:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,ca:dli:O19332746152:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,ca:dli:O19332746152,University of Toronto,Canada,canada,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",Master of Applied Science in Electrical and Computer Engineering,Thesis or research master's,Two-year funded research program combining graduate coursework with a faculty-supervised thesis,Edward S. Rogers Sr. Department of Electrical & Computer Engineering,Fall 2027 research-stream deadline and program are current,A bachelor's in Computer Science is explicitly welcomed as a related field; course alignment remains part of review,Yes; the same research-stream deadline applies to domestic and international applicants,English,Applicants must satisfy SGS English rules at application; exact waiver treatment of the applicant's not-yet-completed U.S. bachelor's should be confirmed,At least a mid-B standing in the final year under SGS requirements; competitive review considers overall and final-year performance,Applicant's greater-than-3.5 recent two-year GPA supports the final-year threshold; official transcript calculation controls,Related Computer Science degrees are accepted when courses align with the intended ECE field,Departmental research-stream review and subsequent supervisor match,No supervisor is required before an on-time application; contact is welcome and may strengthen visibility,"January 7, 2027 for Fall 2027 or Winter 2028 MASc entry",Published 2027-28 research-stream deadline,135,CAD,No applicant-applicable waiver verified,Application fee is non-transferable; program-specific supplemental fees may apply,SGS and ECE applications are both required; only the confirmed SGS fee is recorded,Offer-specific funded-program budget; Fall 2027 tuition amount not verified here,Not separately verified for Fall 2027,"Guaranteed research-stream funding from research funding, TA, fellowship, and scholarship components",All MASc students in satisfactory standing receive guaranteed funding for the normal degree period,Two years for MASc,"Full-time registration, satisfactory academic and research progress, and offer-specific component rules",The package applies to international MASc students and adjusts for international tuition,Annual amount varies by funding year and package composition,CAD,"Package is adjusted for tuition, including international tuition treatment",Offer-specific; not independently verified,Not verified as a separate package component,Guaranteed period is stated as two years; exact summer payment schedule is offer-specific,"Research fellowship, TA, major awards, and donor-funded scholarships","Program deadline January 7, 2027; award-specific dates vary","What exact 2027-28 net funding, ancillary-fee, insurance, and summer payment terms apply to an international MASc offer?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://www.ece.utoronto.ca/graduates/degree-programs/masc/,stage3src:46b5a59eeede534c4c5a|stage3src:65947954bd47548ac12f,stage3src:46b5a59eeede534c4c5a|stage3src:37f28f8015b820ce57be,stage3src:46b5a59eeede534c4c5a|stage3src:b99c3cdf8cd4f194f1db,high,data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_17.json,2026-09-11
2.0,ca:dli:O19359011033:program:thesis-or-research-master-s:electrical-engineering-thesis-m-sc,ca:dli:O19359011033:program:thesis-or-research-master-s:electrical-engineering-thesis-m-sc,ca:dli:O19359011033,McGill University,Canada,canada,advance_to_stage_3,conditional,"The applicant meets the published GPA routes and Computer Science can be treated as closely related, but ECE funding is supervisor- and award-dependent and no universal net amount or duration is published.",Electrical Engineering (Thesis) (M.Sc.),Thesis or research master's,45-credit thesis option with 27 research credits and faculty supervision,"Department of Electrical and Computer Engineering, Faculty of Engineering",Current Fall and Winter program and admission pages checked 2026-09-11,"Bachelor's in Electrical, Computer, or Software Engineering or a closely related field; Computer Science relevance is evaluated by ECE",Yes; an international Fall deadline is published,English,English proficiency required unless an official exemption applies; applicant's U.S. degree completion timing should be confirmed,3.0/4.0 cumulative or 3.2/4.0 over the last two full-time years,Applicant's 3.35 cumulative and greater-than-3.5 recent record exceed both published alternatives,"Close relationship to Electrical, Computer, or Software Engineering is judged from degree and coursework",Departmental review for a thesis program followed by supervisor assignment,A research supervisor is required for the degree; contact expectations before application are not stated as mandatory,"December 15, 2026 for international Fall 2027 applicants",Current recurring Fall deadline checked 2026-09-11,Not verified on the official pages checked,CAD,No applicant-applicable waiver verified,A separate fee applies to each submitted McGill program application,Per-application fee; no separate graduate assistantship form,Fall 2027 international thesis-master's tuition not verified,Not verified as covered,"Supervisor research funding, graduate assistantship, TA work, fellowship, scholarship, or external award",Thesis master's students receive a funding letter with admission and typically receive some supervisor funding; amount is not universal,Offer-specific; program time limit is three years,"Supervisor resources, research duties, award criteria, full-time status, and satisfactory progress","Graduate assistantships consider applicants who request support; several government awards are domestic-only, while external and McCall MacBain routes can include international applicants",Not universally published,CAD,Not universally guaranteed on the ECE funding page,Not published,Not published,Not published,"Graduate assistantship, TA, McCall MacBain Scholarship, and award-specific support",Admission deadline December 15; award-specific deadlines vary,"What guaranteed net funding, tuition, fees, insurance, summer coverage, and renewal terms will an international ECE MSc offer contain?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.mcgill.ca/gradapplicants/program/electrical-engineering-msc,stage3src:f8a842f0eac158a59c3e,stage3src:f8a842f0eac158a59c3e|stage3src:ed4230f6403c0764001d,stage3src:19c3dc2db620dc949039|stage3src:4128332fa8b345801549,high,data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_17.json,2026-09-11
2.0,ror:05xg72x27:program:thesis-or-research-master-s:erasmus-mundus-joint-master-in-cybersecurity-and-assurance-cybersure,ror:05xg72x27:program:thesis-or-research-master-s:erasmus-mundus-joint-master-in-cybersecurity-and-assurance-cybersure,ror:05xg72x27,Norwegian University of Science and Technology,Norway,europe,advance_to_stage_3,excluded,"The Fall 2027 CYBERSURE call requires applicants outside the EU/EEA to submit final bachelor's degree documents by January 4, 2027; this applicant's degree is expected in May 2027, so the published rule creates a hard cycle-specific eligibility failure.",Erasmus Mundus Joint Master in Cybersecurity and Assurance (CYBERSURE),Thesis or research master's,Two-year 120-ECTS joint master's with 30-ECTS jointly supervised thesis and mandatory mobility,CYBERSURE consortium coordinated by Norwegian University of Science and Technology,Fall 2027 application round is published for 25 to 35 students,Relevant bachelor's required; only EU/EEA final-year students may apply before completion for the 2027 round,"All nationalities are generally welcomed, but non-EU applicants must submit final degree documents by the application deadline",English,IELTS 6.5 with writing 6.0 or TOEFL thresholds; a physically attended English-medium U.S. degree can qualify for exemption only after degree completion,No numeric threshold; selection demands excellent academic performance,Applicant's 3.35 GPA is not the disqualifier; degree-completion timing is,"Bachelor's in mathematics, CS/informatics, computer engineering, IT, information systems, or a closely related field",Consortium document eligibility check and competitive academic ranking,No supervisor contact requirement is published for admission,"January 4, 2027 at 23:59 GMT+1; English results January 18, 2027",Published 2027 intake,No application fee published,EUR,Not applicable; no application fee published,Applicants rank all six second-year specializations in one application,No separate scholarship application fee published,Participation costs are waived for scholarship recipients; self-funded terms are offer-specific,Not fully published across all mobility universities,Competitive full or partial Erasmus Mundus scholarship,"Full scholarships cover tuition, travel, and a monthly living allowance; awards are competitive",Two-year program,"Selection rank, scholarship rules, full-time participation, mobility, and satisfactory progress",Open to all nationalities,Monthly allowance; exact amount not displayed on the admission page checked,EUR,Covered by a full scholarship,Not fully published,Not explicitly itemized on the admission page,Program includes a summer school; scholarship payment schedule not itemized,CYBERSURE full and partial Erasmus Mundus scholarships,"January 4, 2027 with the admission application",None for the gate: the applicant cannot supply a completed bachelor's by the published non-EU deadline.,pass,fail,pass,pass,pass,no,Do Not Advance,https://www.cybersure-master.eu/admission,stage3src:9b355cafdada89c8c835|stage3src:04180248722f50134c75,stage3src:9b355cafdada89c8c835,stage3src:9b355cafdada89c8c835|stage3src:c1eb771580a2ce76283b,high,data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_17.json,2026-09-11
