schema_version,candidate_program_id,verified_program_id,institution_id,institution_name,country,region,candidate_funnel_status,verification_status,status_reason,exact_degree_program_name,degree_type,research_requirement,department,current_program_status,bachelors_entry_eligibility,international_student_eligibility,language_of_instruction,english_requirement_and_waiver,minimum_gpa,minimum_gpa_application,prerequisite_coursework,admissions_model,faculty_contact_expectation,fall_2027_deadline,deadline_cycle_label,application_fee,fee_currency,fee_waiver_rules,simultaneous_application_rules,separate_fees_required,tuition,mandatory_fees,funding_model,funding_status,funding_duration,funding_conditions,funding_international_eligibility,stipend_amount,stipend_currency,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_coverage,named_scholarships,scholarship_deadlines,largest_unresolved_question,relevant_route_gate,eligibility_gate,funding_gate,degree_structure_gate,same_university_dominance_gate,faculty_review_ready,application_positioning,official_program_url,program_source_ids,admissions_source_ids,funding_source_ids,evidence_confidence,source_record_paths,verified_at
2.0,us:ipeds:133669:program:phd:doctor-of-philosophy-with-major-in-computer-science,us:ipeds:133669:program:phd:doctor-of-philosophy-with-major-in-computer-science,us:ipeds:133669,Florida Atlantic University,United States,us,advance_to_stage_3,conditional,"The department publishes direct BS-to-PhD admission, but a central Graduate College page says international applicants need a master's; written resolution is required before application spending.",Doctor of Philosophy with Major in Computer Science,PhD,"Advanced computer science study, qualifying milestones, original dissertation research, and dissertation defense","Department of Electrical Engineering and Computer Science, College of Engineering and Computer Science",Current official department and Graduate College pages checked 2026-09-11; their international entry statements conflict,Department page says BS-to-PhD direct admission is available; central Graduate College page says international admission requires a master's,"Potentially eligible, but the published bachelor's-versus-master's conflict must be resolved in writing",English,TOEFL 79 or IELTS 6.0 is published; treatment of the applicant's U.S. bachelor's as a waiver basis must be confirmed,Department describes 3.3 over the last 60 undergraduate credits as desirable; central page lists 3.0 undergraduate and 3.3 graduate thresholds,"The applicant's 3.35 cumulative GPA is above the published desirable undergraduate figure, subject to official last-60 calculation","Calculus II, statistics, programming, data structures and algorithms, operating systems, and computer architecture are listed","Departmental doctoral review with research statement identifying two or three potential faculty, subject to Graduate College eligibility",Identify two or three relevant faculty in the research statement; an advance commitment is not published as mandatory,February 15 is the current recurring Fall deadline; Fall 2027 is not explicitly published,Current recurring deadline checked 2026-09-11; reconfirm for Fall 2027,Not verified on the official pages checked,USD,Not verified,Not published,Not published,Exact Fall 2027 doctoral tuition not verified,Assistantship template indicates mandatory and program fees can remain the student's responsibility,Traditional doctoral support through teaching or research assistantships,"College states traditional doctoral students are supported with stipend, tuition waiver, and health insurance, contingent on positions and advisor support",Not published as a universal duration,"Available appointment, advisor support, assigned duties, enrollment, and satisfactory progress",No categorical international exclusion is published for ordinary TA or RA support,Not published on the program funding page,USD,Tuition waiver published for supported traditional PhD students,Not included in the general commitment; confirm offer-specific charges,Included in the college's stated traditional PhD support model,Not published,Teaching and research assistantships; no separate guaranteed scholarship relied upon,No separate scholarship deadline verified; use the recurring February 15 admission deadline pending Fall 2027 publication,Does FAU permit this international applicant with a U.S. computer science bachelor's but no master's to enter the direct BS-to-PhD route?,pass,resolvable_question,pass,pass,pass,yes,Outreach Before Decision,https://www.fau.edu/engineering/eecs/graduate/phd/computer-science/,stage3src:4a024cefdcdcab5c0e09,stage3src:4a024cefdcdcab5c0e09|stage3src:39aa428af30cad4d083a,stage3src:e72c8ab386bf2dd9dc84,high,data/processed/pass2/stage_02_reentry_16_candidates.csv|data/processed/pass2/stage_02_reentry_16_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_16.json,2026-09-11
2.0,us:ipeds:187967:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:187967:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:187967,New Mexico Institute of Mining and Technology,United States,us,advance_to_stage_3,conditional,"The post-baccalaureate doctorate and applicant's GPA fit the formal route, but assistantships remain competitive and the current package, fees, insurance, summer support, and renewal terms require confirmation.",Doctor of Philosophy in Computer Science,PhD,"Sixty post-baccalaureate graduate credits including doctoral research, dissertation, and defense",Department of Computer Science and Engineering,"Current official program, admissions, and graduate-funding pages checked 2026-09-11",Yes — the program explicitly defines a 60-credit post-baccalaureate PhD route,"Yes, subject to credential, financial, and English requirements",English,International English evidence is required under Graduate Studies rules; exact waiver treatment of a U.S. bachelor's must be confirmed,Graduate Studies publishes 3.0 as the normal admission guideline,The applicant's 3.35 cumulative GPA exceeds the published 3.0 guideline,Computer science preparation is expected; exact deficiency or transfer-credit decisions are transcript-specific,Departmental graduate review with assistantship interest indicated in the application,No prior supervisor commitment is published as mandatory; faculty fit affects research and RA availability,January 15 is the recurring Fall deadline for full assistantship consideration; April 1 is the current international Fall no-funding deadline; Fall 2027 is not published,Recurring/current dates checked 2026-09-11; reconfirm for Fall 2027,60,USD,No applicable waiver verified,Not published,Not published,"Current sample remission value is 8,004 for two semesters; Fall 2027 tuition not verified",Exact mandatory fees and waiver status not verified,Competitive graduate teaching and research assistantships and fellowships,Assistantships are available until funds are exhausted; appointment is not guaranteed,Appointment-specific; no universal doctoral duration published,"Appointment fraction, assigned duties, full-time enrollment, available funds, and satisfactory progress",International graduate students may hold assistantships subject to employment and English rules,2026-27 appointment rates are published separately; exact offered fraction and annual total are unresolved,USD,A 0.5 FTE appointment receives full tuition remission and 0.25 FTE receives 50 percent under the published policy,Not published,Not published,Not published,Graduate assistantships and Graduate Studies fellowships,January 15 recurring deadline for full assistantship consideration,"Will NMT issue a renewable 0.5 FTE appointment whose stipend and tuition remission also cover fees, insurance, and summer needs?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.nmt.edu/academics/compsci/graduate.php,stage3src:7ef4c39f3da16a08514c,stage3src:7ef4c39f3da16a08514c|stage3src:033c103dc2a8f2b43e1f,stage3src:5527b96165f9b1db4fc8,high,data/processed/pass2/stage_02_reentry_16_candidates.csv|data/processed/pass2/stage_02_reentry_16_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_16.json,2026-09-11
2.0,us:ipeds:149222:program:phd:computer-science-doctor-of-philosophy,us:ipeds:149222:program:phd:computer-science-doctor-of-philosophy,us:ipeds:149222,Southern Illinois University-Carbondale,United States,us,advance_to_stage_3,conditional,The catalog normally requires a related master's and permits only exceptional bachelor's entrants; the applicant's 3.35 GPA does not by itself resolve that discretionary standard.,"Computer Science, Doctor of Philosophy",PhD,"Advanced computer science study, candidacy examination, original dissertation, and defense","School of Computing, College of Engineering, Computing, Technology, and Mathematics",Current official program and 2026-27 graduate catalog pages checked 2026-09-11,Normally requires a master's in computer science or related field; exceptional bachelor's applicants may enter and must complete 15 graduate credits at 3.25 or higher,Yes if Graduate School credential and English rules and the program's entry standard are satisfied,English,International English rules apply; exact waiver treatment of the applicant's U.S. bachelor's requires Graduate School confirmation,3.25 graduate GPA for ordinary master's entry and for the first 15 graduate credits of exceptional bachelor's entry,The applicant's 3.35 undergraduate GPA does not establish that the program will deem the record exceptional,Computer science or closely related preparation; exact deficiency mapping is admission-specific,Program review with discretionary exceptional bachelor's-entry decision,No prior faculty commitment is published as mandatory; research and assistantship fit remain material,December 31 is the current recurring priority date; later applications may be reviewed while space remains; Fall 2027 is not labeled,Current recurring priority date checked 2026-09-11; reconfirm for Fall 2027,65,USD,Current general admissions materials identify limited waivers such as McNair or Fulbright; applicant applicability is unverified,Not published,Not published,Exact Fall 2027 doctoral tuition not verified,Not verified as waived,Competitive teaching and research assistantships for qualified doctoral students,Program reports many qualified doctoral students receive stipend-bearing assistantships with tuition waiver,Reappointment is tied to satisfactory progress; universal duration not published,"Appointment availability, assigned duties, and satisfactory academic and work performance",No categorical international exclusion is published; employment and English conditions may apply,Not published on the program page,USD,Tuition waiver accompanies the assistantships described by the program,Not published,Not published,Not confirmed for the current cycle,"Teaching assistantships, research assistantships, and limited Graduate School fellowships",Use December 31 priority date pending a published Fall 2027 cycle,Will SIU classify this 3.35-GPA bachelor's applicant as exceptional and admit them directly without a master's?,pass,resolvable_question,pass,pass,pass,yes,Outreach Before Decision,https://academics.siu.edu/computing-and-technology/computer-science/doctoral/,stage3src:be59df2a4d0f995cadab|stage3src:aa00b69e588c42e157db,stage3src:aa00b69e588c42e157db|stage3src:5166c417af3a27fe88e5,stage3src:be59df2a4d0f995cadab|stage3src:aa00b69e588c42e157db,high,data/processed/pass2/stage_02_reentry_16_candidates.csv|data/processed/pass2/stage_02_reentry_16_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_16.json,2026-09-11
2.0,us:ipeds:156125:program:phd:phd-in-electrical-engineering-and-computer-science,us:ipeds:156125:program:phd:phd-in-electrical-engineering-and-computer-science,us:ipeds:156125,Wichita State University,United States,us,advance_to_stage_3,conditional,Bachelor's entry requires both an exceptional record and a willing faculty advisor from the beginning; neither discretionary condition is established before outreach.,PhD in Electrical Engineering and Computer Science,PhD,"Computer science track coursework, qualifying and candidacy requirements, faculty-supervised dissertation research, and defense",Department of Electrical and Computer Engineering,"Current official graduate catalog, program, international-admissions, and assistantship pages checked 2026-09-11",Possible only for an exceptional bachelor's applicant with minimum 3.25 GPA and a faculty member willing to advise from the beginning,"Yes, subject to credential, English, deadline, and direct-advisor conditions",English,International checklist publishes English evidence rules; exact U.S.-degree waiver treatment must be confirmed,3.25 for the bachelor's-entry exception,The applicant's 3.35 meets the numeric floor but does not establish the additional exceptional-record finding,Computer science track preparation is required; exact transcript mapping and possible deficiencies are department-specific,Departmental review with a willing advisor required from the outset for bachelor's-entry applicants,Mandatory willing faculty advisor from the beginning for the applicant's bachelor's-entry route,"Latest published international Fall cycle uses March 1 priority, April 30 secondary, and later review with escalating fees; Fall 2027 dates are not published",2026 Fall international schedule checked 2026-09-11; Fall 2027 requires confirmation,"75 by priority date, 135 by secondary date, and 175 after the secondary date in the latest published international Fall schedule",USD,No applicable waiver verified,Not published,Not published,Exact Fall 2027 doctoral tuition not verified,Graduate School states fees are not covered by tuition discounts,Competitive graduate assistantships with stipend and tuition waiver,Assistantships are available and may waive up to 100 percent of tuition; appointment is not guaranteed,Appointment-specific; no universal duration published,"Admission, faculty or unit selection, assigned duties, available funds, and satisfactory progress",International students may receive assistantships subject to employment and spoken-English requirements,Not published for this program,USD,Up to 100 percent tuition waiver is published for qualifying assistantships,Fees are explicitly not waived by the tuition benefit,Not published,Not published,Graduate teaching and research assistantships and university fellowships,No separate Fall 2027 funding deadline verified; use priority admission timing pending update,Will a CS-track faculty member commit to advise this bachelor's applicant and certify the record as exceptional?,pass,resolvable_question,pass,pass,pass,yes,Outreach Before Decision,https://catalog.wichita.edu/graduate/engineering/electrical-computer-engineering/phd-in-eecs/,stage3src:236f9856d42c40757d14,stage3src:236f9856d42c40757d14|stage3src:d7cc75ac7cae8a0d6918|stage3src:4cfd7eac389962a05ea1,stage3src:4cfd7eac389962a05ea1,high,data/processed/pass2/stage_02_reentry_16_candidates.csv|data/processed/pass2/stage_02_reentry_16_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_16.json,2026-09-11
2.0,us:ipeds:171128:program:phd:computer-science-phd,us:ipeds:171128:program:phd:computer-science-phd,us:ipeds:171128,Michigan Technological University,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.","Computer Science, PhD",PhD,"BS-to-PhD route requiring 60 credits, research milestones, original dissertation, and defense","Department of Computer Science, College of Computing","Current official program, admissions, assistantship, and 2026-27 stipend pages checked 2026-09-11",Yes — a four-year bachelor's in computer science or a similar field supports the 60-credit BS-to-PhD route,"Yes, subject to credential and English requirements",English,International English rules apply; the applicant's U.S. bachelor's may affect English and GRE evidence but exact waivers must be confirmed,Typical minimum expectation is 3.0 or higher,The applicant's 3.35 cumulative GPA exceeds the published typical 3.0 expectation,Four-year computer science or similar preparation; exact similarity and deficiency review are transcript-specific,"Graduate program review; all applicants are automatically considered for assistantships, with department and faculty award decisions",No prior advisor commitment is published as mandatory; research alignment remains important,January 15 is the recurring Fall application date and February 1 is the full-funding consideration date; Fall 2027 is not explicitly labeled,Current recurring program dates checked 2026-09-11; reconfirm for Fall 2027,10 for international applicants on the current admissions page,USD,No applicable waiver verified,Not published,Not published,Full tuition is covered by a full assistantship; exact Fall 2027 sticker tuition is not needed for the funding gate and remains unverified,Exact fee coverage is not published on the assistantship page,Graduate teaching and research assistantships; funding is typically reserved for PhD students and every applicant is automatically considered,"Credible official doctoral route with full tuition and a published minimum stipend, although an individual appointment is not guaranteed",Appointment and renewal specific; no universal duration published,"Department or faculty appointment, duties, enrollment, milestone status, available funds, and satisfactory progress",No categorical international exclusion is published; employment and TA language conditions may apply,"8,778 per semester minimum for 2026-27 PhD students without an MS, with higher rates after milestones",USD,Full tuition for a full appointment,Not published,Not published on the assistantship page checked,A summer assistantship carries one-credit summer tuition; appointment and stipend availability are not guaranteed,Graduate teaching and research assistantships; no separate guaranteed award relied upon,February 1 recurring full-funding consideration date; confirm Fall 2027 cycle,Will the actual assistantship offer provide renewable academic-year and summer support after fees and insurance?,pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://www.mtu.edu/gradschool/programs/degrees/computer-science/,stage3src:c728582d18045f46ef17,stage3src:c728582d18045f46ef17,stage3src:531aab87028070b77192|stage3src:58857bdfe5cbece02004,high,data/processed/pass2/stage_02_reentry_16_candidates.csv|data/processed/pass2/stage_02_reentry_16_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_16.json,2026-09-11
2.0,us:ipeds:207971:program:phd:computer-science-ph-d,us:ipeds:207971:program:phd:computer-science-ph-d,us:ipeds:207971,University of Tulsa,United States,us,advance_to_stage_3,conditional,"The university permits comparable bachelor's entry generally, but the current program page does not publish a complete CS doctoral entry and prerequisite rule for this applicant.","Computer Science, Ph.D.",PhD,Faculty-guided original computer science research culminating in a doctoral dissertation,"Tandy School of Computer Science, College of Engineering and Computer Science","Current official program, graduate-admission, deadline, funding, and 2026-27 cost pages checked 2026-09-11","General graduate admission accepts a comparable U.S. bachelor's, but the current CS PhD page does not publish complete program-specific entry rules","Yes, subject to comparable credential, program preparation, and English requirements",English,International English evidence rules apply; treatment of the applicant's U.S. bachelor's requires confirmation,"General graduate admission states at least 3.0 in the major, while programs may impose higher expectations",The applicant's 3.35 exceeds the published general floor; program-specific review remains unresolved,Exact CS doctoral prerequisite and deficiency rules were not published on the program page checked,Graduate application and Tandy School review; faculty fit affects research and RA placement,No prior advisor commitment is published as mandatory,February 1 is the recurring Fall assistantship priority and February 3 the recurring scholarship date; Fall 2027 is not labeled,Current recurring dates checked 2026-09-11; reconfirm for Fall 2027,60,USD,No applicable waiver verified,Not published,Not published,"1,610 per credit for 2026-27 before assistantship remission",658 full-time university fee per semester plus 206 international-student-services fee per semester in 2026-27,Competitive doctoral teaching and research assistantships,"Open to admitted full-time doctoral students and includes a published minimum stipend, full tuition, and health insurance; award is competitive",Nine-month stipend basis; renewal duration not published,"Admission, full-time enrollment, competitive selection, assigned duties, available funds, and satisfactory progress",No categorical international exclusion is published for ordinary doctoral assistantships,"At least 19,000 over nine months for doctoral assistantships",USD,100 percent tuition per semester for a doctoral assistantship,Not published; current mandatory fees remain an offer-level question,Included in the published doctoral assistantship package,Not included in the published nine-month minimum and not otherwise verified,Doctoral assistantships and university graduate scholarships,"February 1 assistantship priority and February 3 scholarship date, recurring; confirm Fall 2027",Will Tandy confirm direct bachelor's eligibility and the applicant's exact prerequisite fit for the CS PhD?,pass,resolvable_question,pass,pass,pass,yes,Outreach Before Decision,https://utulsa.edu/programs/computer-science/,stage3src:33ac07ab4dcec39780d1,stage3src:1be43e893486ffc685a2,stage3src:853c54adc6958817a7b2,high,data/processed/pass2/stage_02_reentry_16_candidates.csv|data/processed/pass2/stage_02_reentry_16_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_16.json,2026-09-11
2.0,ca:dli:O19375892122:program:thesis-or-research-master-s:master-of-engineering-science-mesc-in-electrical-and-computer-engineering,ca:dli:O19375892122:program:thesis-or-research-master-s:master-of-engineering-science-mesc-in-electrical-and-computer-engineering,ca:dli:O19375892122,Western University,Canada,canada,advance_to_stage_3,conditional,"The program accepts engineering or similar four-year degrees, but the applicant's computer science degree must be confirmed as sufficiently similar and a supervisor must approve admission.",Master of Engineering Science (MESc) in Electrical and Computer Engineering,Thesis or research master's,"Six-term research master's with faculty supervision, thesis research, and oral examination","Department of Electrical and Computer Engineering, Faculty of Engineering","Current official degree, application, MESc funding, and 2026-27 fee pages checked 2026-09-11",Four-year engineering bachelor's or similar program with at least 78 percent over the final two years; CS degree similarity requires review,Yes; the MESc funding page explicitly includes international students,English,Graduate English requirements apply; exact waiver treatment of the applicant's U.S. bachelor's must be confirmed,78 percent over the final two years of the bachelor's degree,The applicant's 3.35 cumulative GPA requires Western's own final-two-year conversion,Engineering or similar preparation; exact CS-to-ECE subject equivalency is unresolved,Supervisor-dependent departmental admission,A faculty supervisor must be available and approve admission,Fall 2027 application deadline not published on the official pages checked,Current process checked 2026-09-11; exact Fall 2027 cycle unresolved,Not verified for this program,CAD,Not verified,Not published,Not published,"2026-27 full-time international ECE MESc tuition is 6,986.67 per term","2026-27 total billed amount is 8,441.09 per term, including tuition and ancillary charges","Research grants, scholarships, contracts, and teaching assistantships supporting eligible research MESc students","Published minimum package of 14,200 plus tuition for eligible MESc students, excluding ancillary fees",Two years or six terms,"Eligible full-time research enrollment, supervisor support, and maintenance of at least 78 percent","Canadian, permanent-resident, and international MESc students are listed as eligible","Minimum 14,200 plus tuition over the published two-year funding period",CAD,Tuition is included in addition to the minimum support amount,Ancillary fees are explicitly excluded,Not separately published as covered,"Six-term/two-year model implies continuous program terms, but cash-flow details require offer confirmation","Western graduate funding package, research grants, contracts, scholarships, and teaching assistantships",No separate Fall 2027 scholarship deadline verified,Will ECE accept the applicant's computer science bachelor's as similar preparation and identify a fundable supervisor?,pass,resolvable_question,pass,pass,pass,yes,Outreach Before Decision,https://www.eng.uwo.ca/graduate/future-students/Graduate-Degree-Programs/electrical-computer.html,stage3src:9bab19ae6b3cbc4aa6d3,stage3src:9bab19ae6b3cbc4aa6d3|stage3src:6793ffd88595ffbcba0d|stage3src:e066ac2fdc740cb6580f,stage3src:6793ffd88595ffbcba0d,high,data/processed/pass2/stage_02_reentry_16_candidates.csv|data/processed/pass2/stage_02_reentry_16_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_16.json,2026-09-11
2.0,ca:dli:O19361109242:program:thesis-or-research-master-s:masc-in-electrical-and-computer-engineering,ca:dli:O19361109242:program:thesis-or-research-master-s:masc-in-electrical-and-computer-engineering,ca:dli:O19361109242,York University,Canada,canada,advance_to_stage_3,conditional,"The listed background is electrical, computer, or software engineering or equivalent; the applicant's computer science degree and senior-project preparation need an equivalency decision.",MASc in Electrical and Computer Engineering,Thesis or research master's,"Five-term research master's with graduate courses, supervised research, thesis, and defense","Department of Electrical Engineering and Computer Science, Lassonde School of Engineering","Current official program, admissions, and funding pages checked 2026-09-11","Honours degree in electrical, computer, or software engineering or equivalent with B+ over the last two years; CS equivalency remains unresolved","Yes, subject to credential and English requirements",English,Current program page publishes English thresholds; applicability or waiver from the applicant's U.S. bachelor's must be confirmed,B+ over the final two years,The applicant's 3.35 cumulative GPA requires York's final-two-year equivalency calculation,Engineering-equivalent preparation and normally a senior project or thesis; exact CS transcript equivalency is unresolved,Departmental admission with a supervisor required before admission is finalized,A supervisor is required before admission; advance outreach is therefore material,"December 1, 2026 is the current published Fall deadline on the 2027-28 graduate program view",Fall 2027 application cycle page checked 2026-09-11,Not verified on the official program pages checked,CAD,Not verified,Not published,Not published,Exact 2027-28 international tuition not published,Exact 2027-28 ancillary fees not published,"Five-term package combining teaching assistantships, research assistantships, and other university support",Full-time thesis and project master's students are automatically considered; program also permits self-funded admission,First five terms,"Full-time eligible status, assigned duties, satisfactory progress, and available department or supervisor funds",International students are included; international bursary components may supplement the package,"A current-year program funding sheet shows 47,394 annual package for international MASc students; 2027-28 value is not published",CAD,Package value incorporates university funding and assistantships; exact net tuition deduction is offer-specific,Not published,Not published,RA support is described for the summer term within the five-term package,"Teaching assistantship, research assistantship, international bursary, and university funding components",Automatic package consideration with the December 1 admission deadline; confirm 2027-28 award values,Will York treat the applicant's CS bachelor's and senior project as equivalent to the listed engineering preparation?,pass,resolvable_question,pass,pass,pass,yes,Outreach Before Decision,https://futurestudents.yorku.ca/graduate/programs/electrical-engineering-and-computer-science,stage3src:bad9d53e2380b3517e2b,stage3src:bad9d53e2380b3517e2b|stage3src:30f4de2da0961f24bc5c,stage3src:1975377867f1e52759ab,high,data/processed/pass2/stage_02_reentry_16_candidates.csv|data/processed/pass2/stage_02_reentry_16_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_16.json,2026-09-11
2.0,ca:dli:O19425660421:program:thesis-or-research-master-s:electrical-engineering-master-of-science-m-sc-thesis,ca:dli:O19425660421:program:thesis-or-research-master-s:electrical-engineering-master-of-science-m-sc-thesis,ca:dli:O19425660421,University of Saskatchewan,Canada,canada,advance_to_stage_3,monitor,"A relevant four-year degree and supervisor approval are required, while CS-to-ECE equivalency is unresolved and the typical competitive stipend does not establish full international tuition and living-cost coverage.","Electrical Engineering, Master of Science (M.Sc.) — Thesis",Thesis or research master's,"Two-year research-intensive master's requiring faculty supervision, thesis research, and defense","Department of Electrical and Computer Engineering, College of Engineering",Current official program and 2026-27 catalogue pages checked 2026-09-11,Relevant four-year honours degree or equivalent with at least 70 percent in the final two years; CS relevance requires program review,"Yes, subject to degree equivalency, English, and supervisor approval",English,English proof may be required; exact waiver treatment of the applicant's U.S. bachelor's is not verified,70 percent over the final two undergraduate years,The applicant's 3.35 cumulative GPA requires the university's final-two-year conversion,Relevant engineering preparation; exact CS-to-ECE course mapping is unresolved,Supervisor-dependent admission; supervisor approval is required,Identify and secure an approving supervisor before admission,Exact Fall 2027 international deadline not verified on the current page,Current program page checked 2026-09-11; Fall 2027 cycle unresolved,145,CAD,No applicable waiver verified,Not published,Not published,"Current international thesis-program tuition is 4,279 per term or 12,837 per year","Current listed fees are 617.36 Fall, 854.96 Winter, and 46.75 Spring/Summer","Competitive supervisor, department, and scholarship funding for thesis students","Most thesis-based engineering students receive some funding, but amounts and awards are competitive and not guaranteed",Typical program length is two years; funding duration is award-specific,"Supervisor funding, departmental competition, research progress, and award-specific terms",No categorical international exclusion is published for ordinary supervisor support,"Typical MSc funding range is 14,000 to 18,000",CAD,No universal tuition waiver is published; typical funding must be evaluated against international tuition,Not published,Not published,Not published,Departmental scholarships considered after admission plus supervisor and university awards,Not verified for Fall 2027,"Can a supervisor confirm both CS-to-ECE eligibility and funding that covers international tuition, fees, insurance, living costs, and summer?",pass,resolvable_question,resolvable_inquiry,pass,pass,no,Monitor — Not Faculty-Review Ready,https://grad.usask.ca/programs/electrical-computer-engineering.php,stage3src:90cd9b219df592ca9088|stage3src:d1fa552ef4cacc77940e,stage3src:90cd9b219df592ca9088,stage3src:90cd9b219df592ca9088,high,data/processed/pass2/stage_02_reentry_16_candidates.csv|data/processed/pass2/stage_02_reentry_16_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_16.json,2026-09-11
2.0,ror:01nffqt88:program:thesis-or-research-master-s:master-s-degree-in-computer-science-and-engineering,ror:01nffqt88:program:thesis-or-research-master-s:master-s-degree-in-computer-science-and-engineering,ror:01nffqt88,Politecnico di Milano,Italy,europe,advance_to_stage_3,monitor,"The applicant has the named computer science background, but only competitive merit scholarships are published and the Fall 2027 award cycle, selection, living-cost sufficiency, and thesis placement remain unresolved.",Master's Degree in Computer Science and Engineering,Thesis or research master's,"English-taught two-year, 120-credit degree including a 20-credit thesis",School of Industrial and Information Engineering,"Current official program, foreign-qualification deadline, scholarship, and tuition pages checked 2026-09-11","Yes — a foreign bachelor's in computer science and engineering has a stated route, subject to transcript evaluation",Yes through the foreign-qualification application route,English,Program is English taught; exact accepted evidence and treatment of a U.S. bachelor's must be confirmed for Fall 2027,No simple numeric minimum is published on the program page; foreign records undergo merit and curricular evaluation,The applicant's 3.35 GPA proceeds to institutional merit and curriculum review,"Computer science, science, and engineering foundations are expected; CS graduates are the named primary background",Central international evaluation followed by programme admission and later thesis placement,No pre-application supervisor commitment is published as mandatory,"Not published; latest 2026-27 September intake calls ran October 1 to December 1, 2025 and January 13 to February 26, 2026",2026-27 foreign-qualification cycle checked 2026-09-11; Fall 2027 cycle not published,50 in the latest early call or 150 in the latest later call,EUR,No applicable waiver verified,A foreign applicant may apply to at most two programmes and may accept only one,Single call fee covers the published at-most-two programme choices; exact Fall 2027 rule must be reconfirmed,2026-27 international students may owe the full annual contribution absent an exemption; exact individual amount and Fall 2027 schedule remain unresolved,Exact charges not verified for Fall 2027,Competitive international merit scholarships with full tuition waiver and possible allowance,No universal package; scholarship selection is competitive and Fall 2027 terms are not published,Award-specific and not verified for Fall 2027,"Early application, merit ranking, enrollment, and award-specific continuation rules",International applicants are eligible for the published merit competition,"Some 2026-27 awards advertise allowance up to 10,000 per year; no Fall 2027 amount is verified",EUR,Full tuition waiver is possible only through competitive award,Not published,Not published,Not published,Politecnico di Milano international merit scholarships,Latest awards required the Early Bird application window; Fall 2027 dates are not published,Can the applicant win a Fall 2027 scholarship whose waiver and allowance cover total tuition and living costs?,pass,pass,unverified,pass,pass,no,Monitor — Not Faculty-Review Ready,https://www.polimi.it/en/education/laurea-programmes/programme-detail/computer-science-and-engineering,stage3src:07a6508c8800ac3b8c33,stage3src:07a6508c8800ac3b8c33|stage3src:a026da540f6979b0b44e|stage3src:bd0a63e34150a816f884,stage3src:bd0a63e34150a816f884,high,data/processed/pass2/stage_02_reentry_16_candidates.csv|data/processed/pass2/stage_02_reentry_16_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_16.json,2026-09-11
