schema_version,source_id,institution_id,program_name,discovery_path,evidence_role,title,publisher,url,accessed_date,evidence_summary,limitations
2.0,reentry05:auburn:program,us:ipeds:100858,PhD in Computer Science and Software Engineering,official_program_or_department_signal,exact doctorate and degree structure,PhD in Computer Science and Software Engineering,Auburn University,https://www.eng.auburn.edu/program/phd-computer-science-software-engineering.html,2026-09-10,"Official program page confirms the doctorate, bachelor's and master's entry routes, four-year study structure, and dissertation requirement.","Degree structure does not establish admission, advisor capacity, or funding."
2.0,reentry05:auburn:research,us:ipeds:100858,PhD in Computer Science and Software Engineering,official_program_or_department_signal,current research-area fit,Computer Science and Software Engineering Research,Auburn University,https://eng.auburn.edu/csse/research/,2026-09-10,"Official department page lists software engineering, programming languages, security and privacy, distributed systems, and AI research.",Area-level fit does not establish an available supervisor.
2.0,reentry05:auburn:funding,us:ipeds:100858,PhD in Computer Science and Software Engineering,underrepresented_route_search,preliminary assistantship and fellowship mechanisms,Tuition and Funding,Auburn University,https://graduate.auburn.edu/admissions/tuition-funding/index.php,2026-09-10,Official Graduate School page documents tuition support for qualifying assistantships and competitive presidential fellowships with stipend and tuition.,Neither mechanism is a program-wide guarantee or an individual offer.
2.0,reentry05:msstate:program,us:ipeds:176080,PhD in Computer Science,official_program_or_department_signal,exact doctorate and direct-entry structure,Ph.D. in Computer Science,Mississippi State University,https://www.cse.msstate.edu/grad/phd-cs/,2026-09-10,"Official department page confirms direct entry after a bachelor's, no required prior master's, research milestones, and dissertation expectations.",Program availability does not establish admission or a major professor.
2.0,reentry05:msstate:graduate,us:ipeds:176080,PhD in Computer Science,official_program_or_department_signal,research-area and graduate-route fit,Graduate Programs,Mississippi State University,https://www.cse.msstate.edu/grad/,2026-09-10,"Official page identifies software engineering, systems and security, and AI as graduate research areas.",Research-area coverage does not establish current advisor capacity.
2.0,reentry05:msstate:assistantships,us:ipeds:176080,PhD in Computer Science,underrepresented_route_search,preliminary assistantship support,Assistantships,Mississippi State University,https://www.cse.msstate.edu/assistantships/,2026-09-10,Official department page describes teaching-assistant stipend and tuition-waiver support and faculty-selected research assistantships.,"Assistantships are competitive and coverage, fees, renewal, and duration remain unverified."
2.0,reentry05:uark:catalog,us:ipeds:106397,Ph.D. in Computer Science,official_program_or_department_signal,"exact doctorate, entry route, and dissertation",Computer Science and Computer Engineering Graduate Programs,University of Arkansas,https://catalog.uark.edu/graduatecatalog/programsofstudy/computerscienceandcomputerengineeringcsce/,2026-09-10,"Official catalog confirms the Computer Science PhD, qualifying bachelor's entry, minimum GPA, doctoral research, and dissertation requirements.",Catalog requirements must be checked against the target cycle and applicant transcript.
2.0,reentry05:uark:graduate,us:ipeds:106397,Ph.D. in Computer Science,official_program_or_department_signal,departmental graduate and research context,Electrical Engineering and Computer Science Graduate Programs,University of Arkansas,https://engineering.uark.edu/electrical-engineering-computer-science/graduate.php,2026-09-10,Official department page confirms its graduate research environment and admissions route.,Department-level context does not establish individual supervisor availability.
2.0,reentry05:uark:funding,us:ipeds:106397,Ph.D. in Computer Science,underrepresented_route_search,preliminary fellowship and assistantship support,Tuition and Aid,University of Arkansas,https://engineering.uark.edu/tuition-and-aid/,2026-09-10,"Official college page publishes doctoral fellowships and assistantship mechanisms, including a Computer Science PhD monthly assistantship rate.","Published mechanisms and rates are not an award, complete net-cost calculation, or renewal commitment."
2.0,reentry05:uab:program,us:ipeds:100663,Ph.D. in Computer Science,official_program_or_department_signal,exact doctorate and direct-entry research structure,Doctoral Program,University of Alabama at Birmingham,https://www.uab.edu/cas/computerscience/graduate-programs/doctoral-program,2026-09-10,"Official department page confirms bachelor's entry, doctoral research, dissertation, and program duration.",The route does not establish individual admission or funding.
