schema_version,candidate_program_id,verified_program_id,institution_id,institution_name,country,region,candidate_funnel_status,verification_status,status_reason,exact_degree_program_name,degree_type,research_requirement,department,current_program_status,bachelors_entry_eligibility,international_student_eligibility,language_of_instruction,english_requirement_and_waiver,minimum_gpa,minimum_gpa_application,prerequisite_coursework,admissions_model,faculty_contact_expectation,fall_2027_deadline,deadline_cycle_label,application_fee,fee_currency,fee_waiver_rules,simultaneous_application_rules,separate_fees_required,tuition,mandatory_fees,funding_model,funding_status,funding_duration,funding_conditions,funding_international_eligibility,stipend_amount,stipend_currency,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_coverage,named_scholarships,scholarship_deadlines,largest_unresolved_question,relevant_route_gate,eligibility_gate,funding_gate,degree_structure_gate,same_university_dominance_gate,faculty_review_ready,application_positioning,official_program_url,program_source_ids,admissions_source_ids,funding_source_ids,evidence_confidence,source_record_paths,verified_at
2.0,us:ipeds:201885:program:phd:ph-d-in-computer-science-and-engineering,us:ipeds:201885:program:phd:ph-d-in-computer-science-and-engineering,us:ipeds:201885,University of Cincinnati-Main Campus,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",Doctor of Philosophy in Computer Science and Engineering,PhD,Research doctorate with advanced coursework and original faculty-supervised dissertation research,"Department of Electrical Engineering and Computing Systems, College of Engineering and Applied Science",Current official doctoral page; Fall 2027 GRE policy is published but the target-year deadline is not separately labeled,"Yes — a bachelor's in computer science, engineering, or a related preparation is an available doctoral entry route",Yes — CEAS publishes international graduate requirements and an international application fee,English,"TOEFL 92, IELTS 6.5, Duolingo 110, or Pearson 54 under current CEAS guidance; degree-based exceptions require formal confirmation",3.0/4.0 in the highest degree earned,"Applicant 3.35 clears the published 3.0 floor, subject to credential conversion",Computer science or related engineering preparation; Fall 2027 CSE PhD applicants must submit GRE unless covered by the stated U.S. ABET exemption,CEAS graduate application and departmental doctoral review,Prior faculty commitment is not published as mandatory; research-area alignment remains important,"January 15, 2027 inferred from the currently published recurring PhD priority date; target year not separately labeled","Current CEAS guidance checked 2026-09-10; Fall 2027 GRE rules explicit, deadline recurring",80,USD,CEAS states that it does not offer application fee waivers,Multiple UC programs are allowed through separate applications,Yes — CEAS states that each program requires a separate application and fee,Full tuition Graduate Incentive Award is published for first-year full-time PhD admits,Exact mandatory-fee burden was not published on the program pages checked,First-year assistantship plus full tuition Graduate Incentive Award for full-time PhD admits; later support may use departmental or research funds,Credible program-level first-year doctoral support; later-year offer terms remain unresolved,First year explicitly published; later years and renewal conditions not verified,"Full-time PhD admission, assistantship appointment, satisfactory progress, assigned duties, and continuing funds",The CEAS statement applies to full-time PhD admits and does not exclude international students,Not published for the ordinary CSE PhD assistantship on the pages checked,USD,Full first-year tuition Graduate Incentive Award,Not verified,Not verified for the ordinary CSE assistantship,Not verified,Graduate assistantship; Graduate Incentive Award; competitive CEAS fellowships,January 15 recurring priority date for financial-aid consideration,"Will a Fall 2027 offer extend assistantship, tuition, insurance, fee, and summer support beyond the explicitly published first year?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://www.ceas.uc.edu/academics/departments/electrical-computer-engineering/degrees-programs/computer-science-engineering-phd.html,stage3src:1ebd7a3c8bdb18548bd0,stage3src:1ebd7a3c8bdb18548bd0|stage3src:a6a18d18134f5e5a5a46|stage3src:3ff9e4bafa169b386740,stage3src:a6a18d18134f5e5a5a46,high,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_08.json,2026-09-11
2.0,us:ipeds:234030:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:234030:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:234030,Virginia Commonwealth University,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",Doctor of Philosophy in Computer Science,PhD,"Post-baccalaureate or post-master's research doctorate with qualifying work, original research, dissertation, and defense","Department of Computer Science, College of Engineering",Current official graduate bulletin and current College of Engineering doctoral admissions guidance,Yes — the bulletin publishes a 72-credit post-baccalaureate doctoral structure,Yes — international doctoral application and English-proficiency guidance is published,English,TOEFL iBT 80 or IELTS 6.5 under current Engineering international guidance; approved exemptions require VCU confirmation,3.0/4.0 graduate-study baseline; program admission remains competitive,"Applicant 3.35 clears the published graduate baseline, subject to international credential equivalency","Computer science preparation including data structures, operating systems, software engineering, and automata theory is used to assess non-CS or uneven backgrounds",VCU graduate completeness review followed by Computer Science and College of Engineering approval,Doctoral admission is typically contingent on identifying a faculty advisor; applicants are encouraged to contact aligned faculty,"June 1, 2027 preferred fall international date inferred from current recurring Engineering guidance; program-specific target date not separately labeled",Current recurring international guidance checked 2026-09-10; Fall 2027 confirmation required,70,USD,A competitive College of Engineering fee-waiver request exists; approval is not guaranteed,A separate application is required if an unsuccessful PhD applicant also wants master's consideration,Yes — the current university fee applies to each graduate program application,A full College of Engineering assistantship covers standard full-time tuition and any out-of-state differential,Covered by a full assistantship; student health-insurance premiums are excluded,Graduate teaching or research assistantship through the program or faculty advisor,Doctoral applicants are automatically considered and current guidance states that admitted doctoral students are funded by a faculty advisor or program,Assistantship awards are issued for defined award periods and renewed subject to performance and available funds,"Full-time enrollment, faculty or program support, work authorization, satisfactory progress, GPA, and assigned duties","International doctoral applicants are included, subject to U.S. work authorization for assistantship duties",Competitive stipend; exact Fall 2027 amount not published on the pages checked,USD,Standard full-time tuition and out-of-state differential,Included in a full assistantship,Excluded; doctoral assistants must pay or waive the student health-insurance premium,Award-period and summer coverage require the offer letter,Graduate teaching assistantship; graduate research assistantship,Automatic consideration with the doctoral application; program deadline controls,"Which advisor will support the application, and what duration, summer, stipend, and insurance terms will the Fall 2027 assistantship letter contain?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://bulletin.vcu.edu/graduate/school-engineering/computer-science/computer-science-phd/,stage3src:f07f273c3a670bcfc01d,stage3src:f07f273c3a670bcfc01d|stage3src:7fe3718919950a1d12c1|stage3src:410b8718f5fa8dc5019c|stage3src:67ae0b7415dade17f267,stage3src:7fe3718919950a1d12c1|stage3src:410b8718f5fa8dc5019c,high,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_08.json,2026-09-11
2.0,us:ipeds:178411:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:178411:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:178411,Missouri University of Science and Technology,United States,us,advance_to_stage_3,monitor,"The applicant clears the general GPA floor, but direct PhD admission without a master's is discretionary and normally converts through the MS; an advisor must also confirm both supervision and a research assistantship because first-semester teaching support is not available to new admits.",Doctor of Philosophy in Computer Science,PhD,"Research doctorate with qualifying examinations, research readiness, original dissertation, defense, and peer-reviewed publication requirements","Department of Computer Science, College of Engineering and Computing",Current official departmental PhD and graduate-program pages,"Exceptional direct entry from a bachelor's is possible at faculty discretion, but applicants without a master's are normally admitted to the MS and later converted",Yes — Missouri S&T publishes international graduate requirements and fees,English,"International applicants must submit an accepted English test; current department guidance lists TOEFL 80, IELTS 6.5, PTE 58, or Duolingo 115 for graduate study",3.0/4.0 undergraduate baseline,Applicant 3.35 clears the general 3.0 floor but does not resolve exceptional direct-PhD discretion,"Algorithms and data structures, architecture, databases, discrete mathematics and automata, operating systems, software engineering, mathematics, and modern programming","Computer Science graduate-faculty vote, supervisory interest, and university approval",Securing a tentative advisor before applying is strongly emphasized; applicants must separately ask about assistantship availability,Fall 2027 program deadline not verified on the department pages checked,Current program and FAQ checked 2026-09-10; target-cycle date unresolved,75,USD,International fee waivers may be offered through specific recruitment events; no routine department waiver,Direct PhD applicants without a master's may instead be admitted to the MS; separate simultaneous-application rules were not published,Not verified for multiple Missouri S&T graduate choices,An assistantship of at least 25 percent FTE can waive out-of-state tuition; remaining tuition and fees depend on appointment terms,Not stated as covered by the departmental assistantship guidance,"Faculty research assistantship, later teaching assistantship, fellowship, or grader work",No universal offer; first-semester GTA support is unavailable to new students and GRA funding must be secured from faculty,Appointment-specific and not guaranteed for the doctorate,"Advisor funding, appointment fraction, satisfactory performance, duties, and continuing grants","International students can hold assistantships, subject to English and appointment requirements; restricted fellowships are not relied upon","Approximately USD 2,000 monthly at 50 percent FTE under current department guidance",USD,Out-of-state tuition waiver at 25 percent FTE or greater; full net tuition coverage not established,Not verified,Not verified,Not verified,Graduate research assistantship; graduate teaching assistantship; fellowships,Advisor inquiry and target-cycle deadlines unresolved,Will the department approve direct bachelor's-to-PhD entry and will a named advisor provide renewable GRA funding from the first term?,pass,resolvable_question,resolvable_inquiry,pass,pass,no,Monitor — Not Faculty-Review Ready,https://cs.mst.edu/graduate-degrees/phd/,stage3src:ce5a5f64e63022574389,stage3src:ce5a5f64e63022574389|stage3src:52a74812a5e33e56d3b4|stage3src:b3bc9e70d5961e8443fb,stage3src:52a74812a5e33e56d3b4,high,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_08.json,2026-09-11
2.0,us:ipeds:227216:program:phd:ph-d-in-computer-science-and-engineering,us:ipeds:227216:program:phd:ph-d-in-computer-science-and-engineering,us:ipeds:227216,University of North Texas,United States,us,advance_to_stage_3,monitor,"The 72-hour bachelor's-entry route is structurally compatible, but the applicant's 3.35 GPA is below the department's published 3.5 PhD benchmark and both admission and a limited assistantship require department confirmation.",Doctor of Philosophy in Computer Science and Engineering,PhD,"Post-baccalaureate 72-hour or post-master's 42-hour doctorate with coursework, independent research, dissertation, and defense","Department of Computer Science and Engineering, College of Engineering","Current official program, admissions, and assistantship pages",Yes — a 72-credit route from the bachelor's degree is published,Yes — CSE publishes international deadlines and links official English-proficiency requirements,English,An approved UNT international English-proficiency route is required; the exact test or Nigeria degree-based treatment must be confirmed,3.5 in prior work is the published PhD admissions benchmark,Applicant 3.35 is below the published 3.5 benchmark and needs a documented exception or holistic-admission confirmation,Computer science and engineering foundation sufficient for doctoral coursework; exact deficiency review is admissions-committee controlled,UNT GradCAS and department graduate admissions review,Research alignment is important; a separate departmental assistantship application is required for current competitions,"January 15, 2027 priority for funding and March 15, 2027 PhD hard deadline inferred from current recurring dates",Current recurring CSE deadlines checked 2026-09-10; target year not separately labeled,75,USD,No CSE-specific international fee waiver was verified,Not verified on the CSE pages checked,Not verified for multiple UNT program applications,Half-time funded international assistants qualify for in-state tuition; full tuition remission is not stated,Not published as covered by CSE assistantships,"Limited teaching, teaching-fellow, or faculty-funded research assistantship",Competitive and not guaranteed; a separate current assistantship application and on-time admission file are required,Semester or appointment-specific; renewal and full-doctorate duration not published,"Doctoral or thesis status, application deadlines, selection, funding, performance, and assistantship duties",International students funded at least half time can receive in-state tuition treatment,Published through a separate university compensation plan; exact current CSE amount not captured,USD,In-state tuition classification at half-time funding; full coverage not verified,Not verified,Not verified,Summer and Fall 2026 application windows are published; Fall 2027 support not yet posted,Teaching assistantship; teaching fellowship; research assistantship,January 15 recurring admission priority plus a separate assistantship window when posted,Will CSE admit a 3.35-GPA applicant below its published PhD benchmark and issue an assistantship that closes the international tuition and fee gap?,pass,resolvable_question,resolvable_inquiry,pass,pass,no,Monitor — Not Faculty-Review Ready,https://www.unt.edu/academics/programs/computer-science-and-engineering-phd.html,stage3src:beacfc7c6ba8bb330df9,stage3src:beacfc7c6ba8bb330df9|stage3src:cde959b77cdef5d625db|stage3src:6f0b0b231f1208b413bc,stage3src:beacfc7c6ba8bb330df9|stage3src:6f0b0b231f1208b413bc,high,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_08.json,2026-09-11
2.0,ca:dli:O19440995346:program:phd:phd-in-computer-science,ca:dli:O19440995346:program:phd:phd-in-computer-science,ca:dli:O19440995346,Memorial University of Newfoundland,Canada,canada,advance_to_stage_3,monitor,"The current PhD requires a master's degree in computer science or a related field, so the bachelor's-only applicant does not meet the published entry gate even though the program has a credible supervisor-financed funding route.",Doctor of Philosophy in Computer Science,PhD requiring a master's,"Four-year research doctorate with courses, comprehensive examination, supervised thesis, and defense","Department of Computer Science, Faculty of Science",Current official PhD and graduate recruitment pages,No — the current PhD page expects a completed master's in computer science or a related computing field,Yes — international tuition and application information is published,English,English proficiency applies under School of Graduate Studies rules; exact applicant waiver or score route requires confirmation,Program page does not publish a separate PhD numeric floor beyond the appropriate master's requirement,Applicant 3.35 bachelor's GPA cannot substitute for the missing master's entry credential,Master's degree in Computer Science or a related field such as Computer Engineering or Information Technology,School of Graduate Studies processing plus departmental selection after secured supervisor financing,A thesis supervisor and secured financing are required before admission,"December 1, 2026 for Fall 2027 inferred from the current recurring Fall deadline",Current recurring deadline checked 2026-09-10; Fall 2027 not separately labeled,Amount not verified; the department confirms that the School of Graduate Studies charges a fee,CAD,No Computer Science fee-waiver rule was published on the pages checked,Not verified,Not verified,"Current international PhD tuition is published as CAD 1,499 per semester",Exact mandatory ancillary fees not captured on the program page,Supervisor-secured financing with the published Computer Science PhD funding package,Credible program-level funding signal conditional on supervisor financing and admission,Four-year program; exact annual renewal and total support duration require an offer,"Supervisor financing, admission, full-time research progress, and program requirements","The published CAD 24,000 figure appears alongside international tuition without an exclusion",24000,CAD,Funding is published separately from tuition; exact tuition-remission treatment not stated,Not verified,Not verified,Not verified,Supervisor financing; School of Graduate Studies and departmental support components,Program application deadline; separate award deadlines not verified,The entry gate is presently unmet: can the applicant first complete an eligible research master's or identify a formally approved exceptional pathway?,pass,unmet,pass,pass,pass,no,Monitor — Not Faculty-Review Ready,https://www.mun.ca/computerscience/graduate-students/graduate-programs/phd/,stage3src:9ac225b2d295e4265b7e|stage3src:3cbb860b5c632749a0e3,stage3src:9ac225b2d295e4265b7e|stage3src:3cbb860b5c632749a0e3,stage3src:9ac225b2d295e4265b7e|stage3src:3cbb860b5c632749a0e3,high,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_08.json,2026-09-11
2.0,ca:dli:O19305391192:program:phd:phd-in-computer-science,ca:dli:O19305391192:program:phd:phd-in-computer-science,ca:dli:O19305391192,University of Guelph,Canada,canada,advance_to_stage_3,conditional,"The current recruitment page now names a PhD in Computer Science and publishes a funded route, but the applicant must obtain a mandatory advisor and the university must reconcile bachelor's-only entry against the formal Computational Sciences calendar's normal thesis-master's requirement.",Doctor of Philosophy in Computer Science,PhD,"Full-time four-year thesis doctorate with research methodology, graduate courses, seminars, qualifying examination, written thesis, and oral defense","School of Computer Science, College of Computational, Mathematical and Physical Sciences",Live PhD in Computer Science recruitment page for Fall 2027; formal graduate calendar still uses Computational Sciences naming,Formal calendar normally requires a thesis-based master's but permits exceptional direct admission from an honours four-year bachelor's with outstanding research evidence,Yes — an explicit Fall 2027 international deadline and international funding statement are published,English,"TOEFL 100 with speaking and writing 25 and no band below 21, IELTS 7.0 with no component below 6.5, PTE 60 each, CAEL 70, or Duolingo 120; exceptional waiver requires committee approval",Live page lists a 73 to 76 percent admission-average range; exceptional direct entry requires an outstanding undergraduate record,Applicant 3.35 requires formal conversion and an exceptional direct-entry determination; the numeric range alone does not resolve the master's requirement,Strong Computer Science preparation plus research evidence; the legacy Computational Sciences structure may require an application-discipline co-advisor,Applicant-secured School of Computer Science advisor followed by graduate admissions review,Mandatory — the applicant is responsible for securing a graduate faculty research advisor before admission,"March 1, 2027 for international applicants",Explicit Fall 2027 international deadline checked 2026-09-10,Current OUAC graduate fee not verified on the Computer Science program page,CAD,No Computer Science application-fee waiver verified,Not verified,Not verified,Current graduate-fee schedule is linked; exact Fall 2027 international amount and deductions require calculation,Not itemized on the program page,School of Computer Science package combining graduate teaching and research assistantships,"Minimum CAD 25,000 annual stipend guaranteed to admitted domestic and international PhD students who secure an advisor",Program is four years; the page states an annual minimum but offer-specific multi-year renewal terms require confirmation,"Secured advisor, admission, full-time enrollment, assistantship duties, and satisfactory progress",Explicitly includes international PhD students,25000 minimum per year,CAD,Stipend rather than explicit tuition remission; net tuition burden must be calculated,Not verified,Not verified,Continuous four-year enrollment is published; payment schedule not verified,Graduate Teaching Assistantship; Graduate Research Assistantship; Ontario Graduate Scholarship,"March 1, 2027 international program deadline; separate scholarship dates vary",Will Guelph formally accept this bachelor's-only record into the renamed PhD route and confirm whether one or two advisors are required under the current calendar?,pass,resolvable_question,pass,pass,pass,yes,Outreach Before Decision,https://www.uoguelph.ca/programs/phd-computer-science,stage3src:d9365ebfdcfab3e90f0d|stage3src:93b90c1fb12d7ce95dee,stage3src:d9365ebfdcfab3e90f0d|stage3src:93b90c1fb12d7ce95dee,stage3src:d9365ebfdcfab3e90f0d,high,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_08.json,2026-09-11
2.0,ca:dli:O19395677651:program:phd:phd-in-computer-science,ca:dli:O19395677651:program:phd:phd-in-computer-science,ca:dli:O19395677651,Toronto Metropolitan University,Canada,canada,advance_to_stage_3,monitor,"The applicant lacks the research-based master's degree required for the PhD, and the official pages do not establish an international doctoral base-funding package; this route cannot advance on the current record.",Doctor of Philosophy in Computer Science,PhD requiring a master's,Full-time computer science research doctorate with faculty supervision and doctoral research,"Department of Computer Science, Faculty of Science",Current official MSc and PhD program and admissions pages,No — the PhD requires a research-based master's in Computer Science or a closely related discipline,Yes — international graduate applications are accepted subject to credential and language requirements,English,Current Graduate Admissions English requirements apply; exact applicant test or waiver route must be confirmed,3.33/4.33 B+ in a research-based Computer Science or closely related master's,Applicant's bachelor's-only 3.35 record does not meet the required research-master's credential gate,Research-based master's in Computer Science or close discipline; bridging certificate options apply only to holders of research master's degrees in another field,Graduate Admissions and Computer Science program review with named potential supervisors in the statement,Applicants must name potential supervisors and proposed research in the statement of intent,Fall 2027 first-consideration date not verified on the pages checked,Current requirements checked 2026-09-10; target-cycle date unresolved,Current amount not verified,CAD,No program-specific waiver verified,Not verified,Not verified,Current program fee schedule is linked but the Fall 2027 international PhD amount was not captured,Not verified,"Potential teaching employment, scholarships, awards, and supervisor stipends",The program explicitly guarantees funding only to domestic thesis students; international PhD base support is not established,Not verified for international PhD students,"Award, employment, or supervisor-specific; no universal international package found","Some awards may accept international students, but a route-wide package is not published",Not verified,CAD,Not verified,Not verified,Not verified,Not verified,Teaching assistant employment; scholarships; awards; supervisor stipends,Not verified for Fall 2027,The current entry gate is unmet and no international base package is published; what prior research master's and guaranteed funding would be required?,pass,unmet,unverified,pass,pass,no,Monitor — Not Faculty-Review Ready,https://www.torontomu.ca/graduate/programs/computer-science/,stage3src:52ea247b391e2a76547d,stage3src:52ea247b391e2a76547d|stage3src:9c92dbaf2e515d14098b|stage3src:80834cdf4e81a5d325e3,stage3src:52ea247b391e2a76547d|stage3src:9c92dbaf2e515d14098b|stage3src:80834cdf4e81a5d325e3,high,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_08.json,2026-09-11
2.0,ca:dli:O19359011070:program:thesis-or-research-master-s:research-master-s-in-computer-engineering-software-engineering-option,ca:dli:O19359011070:program:thesis-or-research-master-s:research-master-s-in-computer-engineering-software-engineering-option,ca:dli:O19359011070,École Polytechnique de Montréal,Canada,canada,advance_to_stage_3,conditional,"The applicant clears the general four-year relevant-degree and 2.75 GPA floor, but the route requires a research advisor and only supervisor-discretionary or project-specific funding is published; both capacity and a net-funding package must be confirmed before applying.",Master of Applied Science in Computer Engineering — Software Engineering Option,Thesis or research master's,Full-time 45-credit research master's completed over four to six terms with advanced work and a supervised research thesis,Department of Computer Engineering and Software Engineering,"Current official graduate-program, admission, finance, and research-project pages",Yes — a relevant four-year engineering or scientific degree is the general international master's route,Yes — international degree and language procedures are published,French or English research route subject to Polytechnique language policy,An accepted final English or French test is required; students admitted through English must complete approved French-language preparation before graduation,2.75/4.0 or country-equivalent general international master's floor,"Applicant 3.35 clears the published general floor, subject to country and transcript equivalency",Four-year engineering or relevant scientific preparation and fit for the Computer Engineering Software Engineering option,Central graduate admission plus mandatory assignment of a research advisor,Mandatory — a research advisor must be assigned for research-master's admission,Fall 2027 international deadline not verified on the English pages checked,Current admission rules checked 2026-09-10; target-cycle date unresolved,Current amount not verified,CAD,No general application-fee waiver verified,Not verified,Not verified,International research-master's fees apply; differential-tuition exemption bursaries may be available,Exact Fall 2027 amount not verified,"Supervisor-discretionary research funding, project-specific offers, teaching work, and limited institutional aid",Resolvable through a named supervisor or funded project; no program-wide guarantee,Project- or supervisor-specific; renewal beyond the first year must be discussed,"Advisor acceptance, project fit, grant availability, satisfactory research progress, and award conditions","International students may receive supervisor funding and differential-fee bursaries, subject to award rules","A current cybersecurity project states the MAFS suggested master's funding level of CAD 22,500 per year",CAD,May cover some or all tuition depending on supervisor funding and exemption bursary; not guaranteed,Not verified,Not verified,Not verified,Supervisor research funding; international differential-tuition exemption bursaries; project-specific MAFS funding,Project and bursary deadlines vary; Fall 2027 terms unresolved,"Will an eligible software-engineering supervisor accept the applicant and provide renewable funding that covers international tuition, insurance, and living costs?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.polymtl.ca/gigl/en/programs-offered/graduate-studies,stage3src:afa0c5aac5e0c58c133b,stage3src:afa0c5aac5e0c58c133b|stage3src:a1aca3b70a89a0229a85|stage3src:366a5600f44b7337f54d,stage3src:366a5600f44b7337f54d|stage3src:a72ae32402733c5506ed,high,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_08.json,2026-09-11
2.0,ror:03yj89h83:program:thesis-or-research-master-s:master-s-in-software-engineering-and-information-systems,ror:03yj89h83:program:thesis-or-research-master-s:master-s-in-software-engineering-and-information-systems,ror:03yj89h83,University of Oulu,Finland,europe,advance_to_stage_3,monitor,"The applicant has the relevant bachelor's route, but the published support is limited to tuition discounts or a later performance-based waiver and does not establish first-year living-cost funding; the route fails the credible-funding gate for now.",Master of Science in Software Engineering and Information Systems,Thesis or research master's,"English two-year 120-credit master's with research methods, research and development project, seminar, and master's thesis",Faculty of Information Technology and Electrical Engineering,Explicit January 2027 international application period and current 2026-2027 curriculum,Yes — a relevant eligible bachelor's degree can enter the master's route,Yes — international and non-EU tuition guidance is published,English,An accepted master's-level English proof is required; the exact applicant route must be documented under University of Oulu rules,No universal numeric floor was published on the program overview checked; selection is academic and program-specific,"Applicant 3.35 can be assessed, subject to transcript content and program ranking","Relevant bachelor's-level software engineering, information systems, or computing preparation; exact criteria require transcript mapping",Finnish joint application through Studyinfo and program academic selection,No prior supervisor commitment is required for the structured master's,"January 21, 2027 at the close of the January 7-21 application period",Explicit January 2027 application period checked 2026-09-10,Any national non-EU application fee was not verified on the program page,EUR,No program application-fee waiver verified,Finnish joint-application preference rules apply; exact number and ranking treatment not captured,Not verified,"EUR 10,000 per academic year for non-EU/EEA students","Student-union, healthcare, insurance, and living costs are not included in the tuition figure",Early-payment discount and continuing-student tuition waiver; occasional competitive thesis scholarships,No first-year full scholarship or living stipend is published for this route,A 30 percent waiver may apply in the second year after required academic progress; no living-cost duration,"Fee liability, timely payment, 60 ECTS progress and program-plan conditions for later waiver",Non-EU fee-paying students are the target of the tuition-waiver system,"No recurring living stipend; prior limited thesis scholarships were EUR 3,000",EUR,"Partial only — current pages publish 30 percent discounts or waivers, not full tuition",Not covered,Not covered,No living-cost support published,University of Oulu tuition waiver; early-payment discount; limited thesis scholarship calls,"Program application closes January 21, 2027; later waiver depends on study progress",What credible external or project funding could cover the remaining tuition and full two-year living costs?,pass,pass,unverified,pass,pass,no,Monitor — Not Faculty-Review Ready,https://www.oulu.fi/en/apply/masters-software-engineering-and-information-systems,stage3src:04e98a087793606cedf3|stage3src:d25a9522a227bac0c9b4,stage3src:04e98a087793606cedf3|stage3src:d25a9522a227bac0c9b4|stage3src:08f413b889b2508fe591,stage3src:04e98a087793606cedf3|stage3src:08f413b889b2508fe591,high,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_08.json,2026-09-11
2.0,ror:04vnq7t77:program:thesis-or-research-master-s:computer-science-m-sc,ror:04vnq7t77:program:thesis-or-research-master-s:computer-science-m-sc,ror:04vnq7t77,University of Stuttgart,Germany,europe,advance_to_stage_3,monitor,"The applicant has a relevant bachelor's route and can document C1 English, but non-EU tuition and semester fees are charged and no program-level stipend or full funding route is published.",Master of Science in Computer Science,Thesis or research master's,"English four-semester research-oriented master's with major specialization, flexible electives, and a final master's thesis","Department of Computer Science, Faculty of Computer Science, Electrical Engineering and Information Technology",Current English program and May 2024 admission regulation,"Yes — at least six semesters in Computer Science, Software Engineering, or a closely related subject",Yes — international degree-seeking application and non-EU tuition rules are published,English,CEFR C1 English proof is required; no German proof is required,No simple numeric floor on the program page; professional suitability is assessed under the admission regulation,Applicant 3.35 can be considered subject to subject-credit and professional-suitability scoring,"Computer Science, Software Engineering, or close subject with qualifying computer-science results",Online C@MPUS application followed by admissions-committee suitability assessment after the deadline,No prior supervisor commitment is required for the structured master's,"January 15, 2027 for the winter semester beginning October 2027",Current recurring English-program window November 15-January 15 checked 2026-09-10,No university application fee verified on the pages checked,EUR,Not applicable to tuition; statutory tuition exemptions require qualifying legal circumstances,Not verified,Not verified,"EUR 1,500 per semester for most non-EU international students",Current regular semester fee is EUR 184 in addition to tuition,"Competitive university, faculty, DAAD, and external scholarship opportunities",No direct Computer Science master's funding guarantee; scholarship directories are not an award,Award-specific and unverified,"Scholarship-specific merit, eligibility, application, and progress rules",Some external and faculty opportunities accept international students; no universal package,Not verified,EUR,Not guaranteed; statutory exemptions apply only to qualifying categories,Not verified,Not verified,Not verified,DAAD scholarship database; limited faculty and university awards,Award-specific; no Fall 2027 full-package deadline verified,"Can the applicant secure a scholarship covering four semesters of tuition, semester fees, health insurance, and living costs?",pass,pass,unverified,pass,pass,no,Monitor — Not Faculty-Review Ready,https://www.uni-stuttgart.de/en/study/study-programs/Computer-Science-M.Sc-00007./,stage3src:16929e50561862ab0257,stage3src:16929e50561862ab0257|stage3src:e021229dd3ce1bfb0e54|stage3src:4292d458a3cc42517e03,stage3src:4292d458a3cc42517e03,high,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_08.json,2026-09-11
