schema_version,source_id,institution_id,program_name,discovery_path,evidence_role,title,publisher,url,accessed_date,evidence_summary,limitations
2.0,reentry12:nmsu-cs:program,us:ipeds:188030,Computer Science (Ph.D.),official_program_or_department_signal,"exact doctorate, milestones, and research fit",Computer Science (Ph.D.),New Mexico State University-Main Campus,https://nmsu.edu/degree-programs/graduate/doctoral/computer-science.html,2026-09-11,"Official degree page confirms the research-intensive in-person PhD, qualifying and comprehensive exams, dissertation research, and security, cyber-physical-systems, and high-performance-computing scope.","Program existence and broad preparation language do not establish applicant eligibility, admission, or an advisor."
2.0,reentry12:nmsu-cs:funding,us:ipeds:188030,Computer Science (Ph.D.),research_masters_or_scholarship_search,assistantship mechanisms and international teaching constraint,Graduate Financial Aid,New Mexico State University-Main Campus,https://computerscience.nmsu.edu/grad-students/graduate-financial-aid.html,2026-09-11,"Official department page describes competitive teaching assistantships, faculty-controlled research assistantships, full-time and good-standing conditions, and an international teaching-screening requirement.","Availability is limited and competitive; stipend, waiver, duration, summer support, fees, and offer likelihood remain unverified."
2.0,reentry12:idaho-cs:program,us:ipeds:142285,Computer Science Ph.D.,official_program_or_department_signal,exact research doctorate and broad funding path,Computer science (Ph.D.),University of Idaho,https://www.uidaho.edu/academics/degree-finder/computer-sci-phd,2026-09-11,"Official degree page confirms a computer science PhD centered on research, mathematics and computing preparation, faculty advising, external research funding, and fellowship routes.","The page does not guarantee funding, admission, or current supervisor availability."
2.0,reentry12:idaho-cs:faculty,us:ipeds:142285,Computer Science Ph.D.,current_faculty_topic_signal,"current formal-methods, security, and software-quality fit",Rick Sheldon - Computer Science Faculty,University of Idaho,https://www.uidaho.edu/engr/departments/cs/our-people/faculty/rick-sheldon.aspx,2026-09-11,"Official faculty page records current work in formal methods, specification, model checking, high-assurance software design and testing, information security, and cyber-physical systems.","A faculty profile does not establish willingness, supervision authority for this cycle, capacity, or funding."
2.0,reentry12:kstate-cs:program,us:ipeds:155399,Doctor of Philosophy in Computer Science,official_program_or_department_signal,exact doctorate and research milestones,Doctor of Philosophy in Computer Science,Kansas State University,https://www.cs.ksu.edu/academics/graduate/phd/,2026-09-11,"Official department page confirms the 90-credit PhD, research-proficiency and preliminary examinations, proposal, dissertation, defense, and research-advisor selection.","Requirements do not prove admission, faculty acceptance, or financial support."
2.0,reentry12:kstate-cs:research,us:ipeds:155399,Doctor of Philosophy in Computer Science,lab_or_center_signal,high-assurance software and cyber-physical research fit,Computer Science Research,Kansas State University,https://www.cs.ksu.edu/research/,2026-09-11,Official research page identifies high-assurance software engineering through programming-language semantics and analysis and cyber-physical-systems verification and validation.,"Research-area presence does not establish a recruiting advisor, capacity, or funding."
2.0,reentry12:okstate-cs:program,us:ipeds:207388,Doctor of Philosophy in Computer Science,official_program_or_department_signal,"exact doctorate, dissertation structure, and preliminary funding prevalence",Doctor of Philosophy Degree,Oklahoma State University-Main Campus,https://cas.okstate.edu/computer_science/graduate/phd_cs,2026-09-11,"Official department page confirms the computer science PhD, research examinations, proposal and dissertation defense, and describes competitive teaching and research assistantships.",Funding prevalence is not a guarantee and the displayed stipend and tuition language require current offer-level confirmation.
2.0,reentry12:okstate-cs:labs,us:ipeds:207388,Doctor of Philosophy in Computer Science,lab_or_center_signal,"current security, networking, and reasoning lab signal",Research Labs,Oklahoma State University-Main Campus,https://cas.okstate.edu/computer_science/about_us/research_labs,2026-09-11,"Official department page lists current Security and Networking, Advanced Networks and Telecommunications Security, reasoning and AI, and robotics laboratories.","A lab listing does not establish which faculty may supervise, recruit, or fund a new doctoral student."
2.0,reentry12:wvu-cs:graduate,us:ipeds:238032,Ph.D. in Computer Science and Information Science,official_program_or_department_signal,"exact doctorate, research structure, and funding boundaries",Graduate Program,West Virginia University,https://lcsee.statler.wvu.edu/graduate,2026-09-11,"Official department page confirms the Computer Science and Information Science PhD and explains GTA and GRA mechanisms, tuition-waiver boundaries, and that support is not guaranteed.","Concentration fit, eligibility, actual appointment, uncovered tuition and fees, and duration require Stage 3 verification."
2.0,reentry12:wvu-cs:catalog,us:ipeds:238032,Ph.D. in Computer Science and Information Science,recognized_institution_record,doctoral research and dissertation requirements,"Computer Science, Ph.D.",West Virginia University,https://catalog.wvu.edu/graduate/collegeofengineeringandmineralresources/thelanedepartmentofcomputerscienceandelectricalengineering/cs/phd/,2026-09-11,"Official graduate catalog confirms a research plan, advisor and committee governance, and an original computer science dissertation contribution.",Catalog requirements do not identify a recruiting supervisor or guarantee funding.
2.0,reentry12:lsu-cse:program,us:ipeds:159391,Ph.D. in Computer Science and Engineering,official_program_or_department_signal,"exact doctorate, milestones, and assistantship renewal boundary",PhD in Computer Science & Engineering,Louisiana State University and Agricultural & Mechanical College,https://www.lsu.edu/eng/cse/programs/graduate_program/graduate_phd.php,2026-09-11,"Official division page confirms research qualification, proposal and dissertation requirements and describes annual teaching-assistantship award and renewal conditions.","The page does not establish an applicant's admission, initial award, full package, or supervisor capacity."
2.0,reentry12:lsu-cse:research,us:ipeds:159391,Ph.D. in Computer Science and Engineering,lab_or_center_signal,"current software, security, systems, and formal-methods fit",Research Groups,Louisiana State University and Agricultural & Mechanical College,https://www.lsu.edu/eng/cse/research/researchgroups.php,2026-09-11,"Official division page lists active groups in applied software engineering, programming systems, software evolution, systems security, and dependable cyber-physical systems.",Group presence and faculty topics do not demonstrate current doctoral recruitment or funding.
2.0,reentry12:lethbridge-cs:program,ca:dli:O18776949622,MSc in Computer Science (Thesis),official_program_or_department_signal,"exact thesis route, prerequisites, and research fit",Computer Science (MSc),University of Lethbridge,https://www.ulethbridge.ca/future-student/graduate-studies/master-science/computer-science,2026-09-11,"Official program page confirms the 24-month thesis MSc, original research, thesis defense, algorithms, systems, computational intelligence and software-engineering scope, preparation requirements, and supervisor prerequisite.","Equivalency, admission, supervisor commitment, and cycle-specific requirements remain unverified."
2.0,reentry12:lethbridge-cs:funding,ca:dli:O18776949622,MSc in Computer Science (Thesis),research_masters_or_scholarship_search,admission-award and assistantship mechanisms,Awards & Scholarships,University of Lethbridge,https://www.ulethbridge.ca/future-student/graduate-studies/funding-opportunities,2026-09-11,"Official Graduate Studies page describes automatic consideration for a graduate research admission award, graduate-assistantship consideration, and possible supervisor research support or stipend.","Admission does not guarantee an award; applicant-specific amount, duration, international tuition offset, and net cost remain unresolved."
2.0,reentry12:brock-cs:program,ca:dli:O19394569014,Computer Science MSc — Thesis Stream,official_program_or_department_signal,"exact thesis route, research scope, and application materials",Computer Science (MSc),Brock University,https://brocku.ca/programs/graduate/msc-cosc/,2026-09-11,"Official program page confirms the research-based MSc, two-year thesis option, artificial-intelligence thesis specialization, research areas, references, and research-interest statement.",Minimum requirements and potential-supervisor identification do not establish admission or supervision capacity.
2.0,reentry12:brock-cs:funding,ca:dli:O19394569014,Computer Science MSc — Thesis Stream,research_masters_or_scholarship_search,thesis-student assistantship and net-cost warning,Financial support - Computer Science,Brock University,https://brocku.ca/mathematics-science/computer-science/programs/msc-program/msc-financial/,2026-09-11,"Official department page states that full-time thesis students receive a graduate assistantship and may obtain supervisor research funding, while warning that international costs can exceed the package.","Displayed numeric examples are old; current award amount, duration, tuition, tax, and living-cost sufficiency need fresh Stage 3 confirmation."
2.0,reentry12:lakehead-cs:program,ca:dli:O19396019447,Master of Science in Computer Science — Thesis Route,official_program_or_department_signal,"exact thesis route, AI option, and admission requirements",Computer Science,Lakehead University,https://www.lakeheadu.ca/programs/graduate/programs/masters/computer-science,2026-09-11,"Official program page confirms thesis, project and course routes, a two-year thesis-based AI specialization, honours-computer-science or equivalent preparation, B standing, references, English evidence, and a background form.","The page does not guarantee admission, supervision, funding, or 2027 availability."
