schema_version,stage3_source_id,candidate_program_id,institution_id,institution_name,claim_categories,exact_claim_supported,source_title,publisher,url,source_path,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,original_source_id,access_note
2.0,stage3src:0304d7f20cbbc419579c,ca:dli:O19209939282:program:thesis-or-research-master-s:master-of-computer-science,ca:dli:O19209939282,Dalhousie University,admissions|eligibility|language|deadline|fees,"Four-year degree, 3.0 minimum, 3.4 faculty-connection caution, CS preparation, deadlines, and CAD 115 fee.",How to Apply,Dalhousie Faculty of Computer Science,https://www.dal.ca/faculty/computerscience/graduate-programs/grad-handbook/how-to-apply.html,data/raw/pass2/stage_03_reentry_03.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re03:dal:admissions,
2.0,stage3src:1eb9e83c5a2b057eaa2e,ca:dli:O19209939282:program:thesis-or-research-master-s:master-of-computer-science,ca:dli:O19209939282,Dalhousie University,program,Current research-focused Master of Computer Science route.,Graduate Programs,Dalhousie Faculty of Computer Science,https://www.dal.ca/faculty/computerscience/graduate-programs.html,data/raw/pass2/stage_03_reentry_03.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re03:dal:program,
2.0,stage3src:db7f10b3fd850affc3c6,ca:dli:O19209939282:program:thesis-or-research-master-s:master-of-computer-science,ca:dli:O19209939282,Dalhousie University,funding|fees,Typical MCS support duration of five to six terms and individual-offer control.,Student Funding,Dalhousie Faculty of Computer Science,https://www.dal.ca/faculty/computerscience/graduate-programs/grad-handbook/student-funding.html,data/raw/pass2/stage_03_reentry_03.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re03:dal:funding,
2.0,stage3src:2d79ccfec01d8aeabce4,ca:dli:O19348802512:program:phd:phd-in-computer-science,ca:dli:O19348802512,University of New Brunswick,admissions|fees,CAD 125 international fee is required with each application.,Application Procedures,University of New Brunswick School of Graduate Studies,https://www.unb.ca/gradstudies/current/resources/regulations-and-guidelines/regulations/application-procedures.html,data/raw/pass2/stage_03_reentry_03.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re03:unb:fee,
2.0,stage3src:65bed810480a32a6f532,ca:dli:O19348802512:program:phd:phd-in-computer-science,ca:dli:O19348802512,University of New Brunswick,program|admissions|eligibility|funding,"Current CS PhD, research-master's prerequisite, supervisor requirement, and support context.",PhD in Computer Science,University of New Brunswick Faculty of Computer Science,https://www.unb.ca/fredericton/cs/grad/phd/index.html,data/raw/pass2/stage_03_reentry_03.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re03:unb:program,
2.0,stage3src:ba5f41866d2688b31cd3,ca:dli:O19348802512:program:phd:phd-in-computer-science,ca:dli:O19348802512,University of New Brunswick,funding|fees,"Competitive support sources, approximate base amount, duration conditions, and lack of guarantee.",Financial Support,University of New Brunswick Faculty of Computer Science,https://www.unb.ca/fredericton/cs/grad/financials.html,data/raw/pass2/stage_03_reentry_03.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re03:unb:funding,
2.0,stage3src:dc4fa88d91f540fec55c,ca:dli:O19348802512:program:phd:phd-in-computer-science,ca:dli:O19348802512,University of New Brunswick,admissions|eligibility|language|deadline|funding,"Graduate committee process, Fall dates, and explicit statement that admission does not imply financial assistance.",Admission Requirements,University of New Brunswick Faculty of Computer Science,https://www.unb.ca/fredericton/cs/grad/admission.html,data/raw/pass2/stage_03_reentry_03.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re03:unb:admissions,
2.0,stage3src:8d90ab20bb9395b88141,ror:020hwjq30:program:thesis-or-research-master-s:computer-communication-and-information-sciences-msc-software-engineering,ror:020hwjq30,Aalto University,admissions|eligibility|deadline|fees,"Explicit Autumn 2027 dates, one form, maximum two ranked study options, and one-place rules.",Apply to Master's Programmes,Aalto University Admission Services,https://www.aalto.fi/en/admission-services/apply-to-masters-programmes,data/raw/pass2/stage_03_reentry_03.json,official web page,official,2026-09-10,Autumn 2027,high,official page checked,stage3re03:aalto:apply,
2.0,stage3src:b327f575e9b719fc4ee3,ror:020hwjq30:program:thesis-or-research-master-s:computer-communication-and-information-sciences-msc-software-engineering,ror:020hwjq30,Aalto University,program|admissions|eligibility|language|fees,"Current two-year 120-ECTS Software Engineering MSc, 2027 criteria, required preparation, and EUR 17,000 tuition.","Software Engineering, Master of Science (Technology)",Aalto University,https://www.aalto.fi/en/study-options/software-engineering-master-of-science-technology,data/raw/pass2/stage_03_reentry_03.json,official web page,official,2026-09-10,2027 criteria,high,official page checked,stage3re03:aalto:program,
2.0,stage3src:ddfbe8763d8c74c9361c,ror:020hwjq30:program:thesis-or-research-master-s:computer-communication-and-information-sciences-msc-software-engineering,ror:020hwjq30,Aalto University,funding|fees,"Small number of competitive full tuition waivers, two-year normative duration, and no additional Aalto living-cost support.",Scholarships and Tuition Fees,Aalto University,https://www.aalto.fi/en/admission-services/scholarships-and-tuition-fees,data/raw/pass2/stage_03_reentry_03.json,official web page,official,2026-09-10,2027 instructions partly pending autumn 2026,high,official page checked,stage3re03:aalto:funding,
