schema_version,program_id,institution_id,institution_name,country,region,regional_admissions_model,program_name,degree_type,relevant_degree_route,discovery_paths,research_topic_clusters,exact_research_fit_signal,preliminary_international_eligibility,preliminary_funding_signal,official_program_url,official_institution_url,evidence_confidence,affiliation_normalization_status,seed_adjacency,funnel_status,proposed_next_action,exclusion_reason,unresolved_fields,source_record_paths,source_ids,reentry_id
2.0,us:ipeds:201885:program:phd:ph-d-in-computer-science-and-engineering,us:ipeds:201885,University of Cincinnati-Main Campus,United States,us,US program or committee admission; faculty role requires program-specific verification,Ph.D. in Computer Science and Engineering,PhD,Research doctorate in computer science and engineering with advanced study and original dissertation research,official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|distributed_systems|ai_for_se,The official doctorate page identifies software systems and experimental computer systems among its research strengths.,"The college accepts international graduate applications and publishes a 3.0 minimum GPA, but foreign-degree equivalency, prerequisites, English evidence, and the Fall 2027 cycle require Stage 3 review.","The college currently states that full-time PhD admits receive a first-year assistantship and full tuition award; future duration, fees, renewals, and applicant-specific terms remain unverified.",https://www.ceas.uc.edu/academics/departments/electrical-computer-engineering/degrees-programs/computer-science-engineering-phd.html,https://www.uc.edu/,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|foreign-degree and prerequisite equivalency|English requirement|assistantship duration and renewal|fees and net cost|current supervisor capacity,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv,reentry08:cincinnati:program|reentry08:cincinnati:funding,stage_02_reentry_08
2.0,us:ipeds:234030:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:234030,Virginia Commonwealth University,United States,us,US program or committee admission; faculty role requires program-specific verification,Doctor of Philosophy in Computer Science,PhD,Post-baccalaureate or post-master's computer science doctorate centered on original faculty-supervised research,official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,systems_security|software_quality|formal_verification,"The official curriculum emphasizes cybersecurity, systems, security, privacy, reliability, and scientific software design.","The bulletin publishes post-baccalaureate and post-master's credit structures; degree preparation, English evidence, transcript mapping, and Fall 2027 terms remain for Stage 3.","Doctoral applicants are automatically considered for limited competitive assistantships that cover tuition, mandatory fees, and a stipend; faculty alignment and award availability remain decisive.",https://bulletin.vcu.edu/graduate/school-engineering/computer-science/computer-science-phd/,https://www.vcu.edu/,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|transcript and prerequisite mapping|English evidence|faculty-advisor alignment|assistantship award and renewal|health insurance and net cost,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv,reentry08:vcu:program|reentry08:vcu:funding,stage_02_reentry_08
2.0,us:ipeds:178411:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:178411,Missouri University of Science and Technology,United States,us,US program or committee admission; faculty role requires program-specific verification,Doctor of Philosophy in Computer Science,PhD,Computer science research doctorate requiring original work through a dissertation and peer-reviewed publication requirements,official_program_or_department_signal|lab_or_center_signal|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|distributed_systems,"Missouri S&T names software engineering and critical-infrastructure protection as core areas, alongside distributed systems, cybersecurity, and cloud and IoT research.",The department may admit exceptional applicants directly from a bachelor's degree but normally routes applicants without a graduate degree through the MS; exact standing and Fall 2027 rules require review.,"Faculty-funded research assistantships and restricted fellowships exist, but no universal package is published and several named awards have citizenship limits.",https://cs.mst.edu/graduate-degrees/phd/,https://www.mst.edu/,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|direct-entry standing|GRE and English requirements|advisor interest|unrestricted funding package|fees and net cost,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv,reentry08:missouri-st:program|reentry08:missouri-st:research,stage_02_reentry_08
2.0,us:ipeds:227216:program:phd:ph-d-in-computer-science-and-engineering,us:ipeds:227216,University of North Texas,United States,us,US program or committee admission; faculty role requires program-specific verification,Ph.D. in Computer Science and Engineering,PhD,"Research doctorate with coursework, independent study, original research, and a defended dissertation",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|distributed_systems,"UNT explicitly identifies software, cybersecurity, programming languages, computer systems, networks, and distributed processing as doctoral research areas.","The program publishes 72-hour post-baccalaureate and 42-hour post-master's routes, but course equivalency, English evidence, and Fall 2027 requirements need controlled review.",The program reports that many students receive teaching or research assistantships; availability is competitive and no universal support commitment is established.,https://www.unt.edu/academics/programs/computer-science-and-engineering-phd.html,https://www.unt.edu/,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|degree and prerequisite equivalency|English evidence|assistantship competitiveness|tuition and fees|current supervisor capacity,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv,reentry08:unt:program|reentry08:unt:handbook,stage_02_reentry_08
2.0,ca:dli:O19440995346:program:phd:phd-in-computer-science,ca:dli:O19440995346,Memorial University of Newfoundland,Canada,canada,Canadian program admission with potentially supervisor-dependent research route,PhD in Computer Science,PhD,"Four-year research-focused computer science doctorate with courses, comprehensive examination, thesis, and defense",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|ai_for_se,"The official program situates the doctorate in a department covering software development and engineering, cybersecurity and networks, and machine learning.","Applicants generally need a master's degree in computer science or a related computing field; exact equivalency, English proof, supervisor fit, and Fall 2027 requirements remain unresolved.","Memorial currently publishes a $24,000 PhD funding figure and requires secured supervisor financing, but future value, composition, duration, tuition, and net cost require Stage 3 verification.",https://www.mun.ca/computerscience/graduate-students/graduate-programs/phd/,https://www.mun.ca/,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|master's equivalency|English evidence|secured supervisor financing|funding duration and composition|international tuition and net cost,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv,reentry08:memorial-phd:program|reentry08:memorial-phd:overview,stage_02_reentry_08
2.0,ca:dli:O19305391192:program:phd:phd-in-computer-science,ca:dli:O19305391192,University of Guelph,Canada,canada,Canadian program admission with potentially supervisor-dependent research route,PhD in Computer Science,PhD,Computer science research doctorate with faculty-supervised thesis work; the live program title and formal Computational Sciences calendar naming require reconciliation,official_program_or_department_signal|recognized_institution_record|underrepresented_route_search,ai_for_se|software_quality|formal_verification,"The School of Computer Science route supports thesis research in computing, including design patterns, software development, data analytics, and cross-disciplinary applications.",The normal route requires a thesis-based master's plus both a Computer Science advisor and an application-discipline co-advisor; exceptional direct entry exists but requires controlled review.,"The School of Computer Science currently guarantees at least $25,000 annually to admitted domestic and international PhD students who secure an advisor; exact duration and net cost remain unresolved.",https://www.uoguelph.ca/programs/phd-computer-science,https://www.uoguelph.ca/,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,live Computer Science title versus Computational Sciences calendar title|Fall 2027 cycle|thesis-master's or exceptional-entry qualification|advisor alignment|English evidence|funding duration and international net cost,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv,reentry08:guelph-phd:program|reentry08:guelph-phd:calendar,stage_02_reentry_08
2.0,ca:dli:O19395677651:program:phd:phd-in-computer-science,ca:dli:O19395677651,Toronto Metropolitan University,Canada,canada,Canadian program admission with potentially supervisor-dependent research route,PhD in Computer Science,PhD,Full-time computer science research doctorate for applicants with a research-based master's degree,official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|ai_for_se,The official program lists software engineering and cybersecurity among the graduate faculty's active research areas.,"A research-based master's in computer science or a closely related discipline and a B+ minimum are published; international equivalency, English evidence, and Fall 2027 deadlines require review.","Funding can combine teaching employment, scholarships, awards, and stipends, but the program only explicitly guarantees funding to domestic thesis students; international PhD support remains unresolved.",https://www.torontomu.ca/graduate/programs/computer-science/,https://www.torontomu.ca/,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|research-master's equivalency|English evidence|international base funding|tuition and net cost|current supervisor capacity,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv,reentry08:tmu-phd:program|reentry08:tmu-phd:funding,stage_02_reentry_08
2.0,ca:dli:O19359011070:program:thesis-or-research-master-s:research-master-s-in-computer-engineering-software-engineering-option,ca:dli:O19359011070,École Polytechnique de Montréal,Canada,canada,Canadian program admission with potentially supervisor-dependent research route,Research Master's in Computer Engineering - Software Engineering Option,Thesis or research master's,Full-time research master's in computer engineering with a software-engineering option and supervised thesis research,official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record,software_quality|systems_security|green_software,"The department identifies a formal software-engineering option plus research in cybersecurity, cloud and edge systems, environmental impacts of computing, and software-intensive technologies.",The research route is open through graduate admission and can be entered on English proficiency subject to a French-learning condition; degree equivalency and supervisor acceptance require Stage 3 review.,"Research-project postings can carry supervisor funding and the department allows teaching work, but no route-wide funding guarantee was found.",https://www.polymtl.ca/gigl/en/programs-offered/graduate-studies,https://www.polymtl.ca/,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|degree and language equivalency|French-learning condition|supervisor acceptance|project-specific funding|international tuition and net cost,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv,reentry08:poly-montreal:program|reentry08:poly-montreal:funded-project,stage_02_reentry_08
2.0,ror:03yj89h83:program:thesis-or-research-master-s:master-s-in-software-engineering-and-information-systems,ror:03yj89h83,University of Oulu,Finland,europe,"European program, supervisor, studentship, or employed-position model; verify by country",Master's in Software Engineering and Information Systems,Thesis or research master's,"English 120-credit master's with software-engineering study, research-unit integration, and a master's thesis",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|adaptive_systems|green_software,"The program is taught by empirical software-engineering and information-systems research units and focuses on software-defined products, development practices, and human-centred systems.",The international route accepts relevant bachelor's preparation subject to application and language requirements; exact transcript mapping and the January 2027 call require Stage 3 review.,"Non-EU tuition is published with a 30 percent second-year waiver, while separate thesis scholarships have been limited and competitive; a viable living-cost plan is not established.",https://www.oulu.fi/en/apply/masters-software-engineering-and-information-systems,https://www.oulu.fi/en,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,January 2027 application terms|transcript and subject equivalency|English evidence|second-year waiver conditions|thesis scholarship availability|tuition and living-cost sufficiency,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv,reentry08:oulu-seis:program|reentry08:oulu-seis:curriculum,stage_02_reentry_08
2.0,ror:04vnq7t77:program:thesis-or-research-master-s:computer-science-m-sc,ror:04vnq7t77,University of Stuttgart,Germany,europe,"European program, supervisor, studentship, or employed-position model; verify by country",Computer Science M.Sc.,Thesis or research master's,English international computer science master's with research-oriented profiles and a final master's thesis,official_program_or_department_signal|recognized_institution_record|research_masters_or_scholarship_search,software_architecture|distributed_systems|ai_for_se,"The program offers service technology and engineering, autonomous systems, distributed computing, and electives shared with Software Engineering.","A six-semester bachelor's in computer science, software engineering, or a closely related subject is required; subject equivalency, English evidence, and cycle details need Stage 3 review.","Faculty scholarship directories include competitive awards and external databases, but the program does not publish a general funding guarantee.",https://www.uni-stuttgart.de/en/study/study-programs/Computer-Science-M.Sc-00007./,https://www.uni-stuttgart.de/en/,medium,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|subject and credit equivalency|English evidence|profile availability|competitive scholarship eligibility|semester contribution and living costs,data/processed/pass2/stage_02_reentry_08_candidates.csv|data/processed/pass2/stage_02_reentry_08_sources.csv,reentry08:stuttgart-cs:program|reentry08:stuttgart-cs:structure,stage_02_reentry_08
