schema_version,candidate_program_id,verified_program_id,institution_id,institution_name,country,region,candidate_funnel_status,verification_status,status_reason,exact_degree_program_name,degree_type,research_requirement,department,current_program_status,bachelors_entry_eligibility,international_student_eligibility,language_of_instruction,english_requirement_and_waiver,minimum_gpa,minimum_gpa_application,prerequisite_coursework,admissions_model,faculty_contact_expectation,fall_2027_deadline,deadline_cycle_label,application_fee,fee_currency,fee_waiver_rules,simultaneous_application_rules,separate_fees_required,tuition,mandatory_fees,funding_model,funding_status,funding_duration,funding_conditions,funding_international_eligibility,stipend_amount,stipend_currency,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_coverage,named_scholarships,scholarship_deadlines,largest_unresolved_question,relevant_route_gate,eligibility_gate,funding_gate,degree_structure_gate,same_university_dominance_gate,faculty_review_ready,application_positioning,official_program_url,program_source_ids,admissions_source_ids,funding_source_ids,evidence_confidence,source_record_paths,verified_at
2.0,us:ipeds:195030:program:phd:phd-program-in-computer-science,us:ipeds:195030:program:phd:phd-program-in-computer-science,us:ipeds:195030,University of Rochester,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",PhD Program in Computer Science,PhD,Doctoral coursework and original computer-science research culminating in a dissertation,"Department of Computer Science, Hajim School of Engineering and Applied Sciences",Current; latest application page publishes the Fall 2026 cycle,Yes — applicants may enter with a bachelor's or master's degree,Yes — international applicants and English requirements are addressed,English,"TOEFL, IELTS, or Duolingo is accepted; a waiver path is described, but the applicant's U.S. bachelor's must be confirmed against the current rule",No numeric CS PhD minimum published on the reviewed pages,Applicant is not barred by a published numeric floor; admission remains selective and holistic,Strong preparation in computer science or a related discipline; exact course mapping is not published,"Departmental selective review of academic preparation, research interests, recommendations, and fit",Applicants identify research interests and relevant faculty in the statement; prior faculty commitment is not stated as mandatory,"Not yet published; latest posted deadline is January 5, 2026",Latest published Fall 2026 cycle; Fall 2027 must be rechecked,70,USD,No applicant-specific waiver established in reviewed official evidence,Not verified in reviewed official evidence,Not verified in reviewed official evidence,PhD support states zero tuition while the student remains in good standing,Not separately quantified in reviewed official evidence,"Departmental PhD support with stipend, tuition, and health-insurance coverage",The department states that PhD students in good standing receive full support,While in good standing; a fixed maximum number of years is not stated on the reviewed pages,Continued good standing and satisfactory progress,The PhD support statement does not publish a nationality exclusion,Current amount not published on the reviewed pages,USD,Full tuition stated,Not separately verified,Health insurance stated,Not separately verified,Departmental PhD support; no separate named scholarship required for the verified route,No separate scholarship deadline published,"What stipend, residual fees, summer coverage, and maximum duration will the Fall 2027 written offer guarantee?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://www.cs.rochester.edu/graduate/phd-program.html,stage3src:c92ddc9819bca1acc596,stage3src:5913dba7a3df3e55cb34,stage3src:c92ddc9819bca1acc596|stage3src:5913dba7a3df3e55cb34,high,data/processed/pass2/stage_02_reentry_04_candidates.csv|data/processed/pass2/stage_02_reentry_04_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_04.json,2026-09-11
2.0,us:ipeds:163268:program:phd:phd-in-computer-science,us:ipeds:163268:program:phd:phd-in-computer-science,us:ipeds:163268,University of Maryland-Baltimore County,United States,us,advance_to_stage_3,conditional,"UMBC permits bachelor's entry and the applicant clears the published GPA route, but assistantships are competitive and not guaranteed to every admit; require an adequate written funding offer.",Ph.D. in Computer Science,PhD,"Eleven courses plus doctoral research, dissertation, and defense",Department of Computer Science and Electrical Engineering,Current; recurring Fall international and funding deadline is published,"Yes — bachelor's entry is allowed, although applicants without extensive research or an MS are advised to consider the MS route",Yes — international deadlines and English requirements are published,English,TOEFL/IELTS requirements apply; whether the expected U.S. bachelor's creates an exemption requires central confirmation,3.0/4.0 graduate minimum; doctoral selection is highly competitive,Applicant 3.35 clears the stated general floor but does not establish competitiveness,"Calculus, linear algebra, probability/statistics, programming, data structures, algorithms, computer organization, operating systems, and theory background",Highly selective departmental review; current page lists GRE for PhD applicants,"Research fit matters; research assistants are selected by faculty, but prior faculty commitment is not published as mandatory for admission","January 20, 2027 inferred from the recurring Fall international and financial-consideration date; year must be confirmed",Recurring current deadline; Fall 2027 not explicitly labeled,75,USD,No applicant-specific waiver established,Not verified in reviewed official evidence,Not verified in reviewed official evidence,Assistantship tuition treatment is appointment-specific and not quantified on the department page,Not verified,"Competitive teaching assistantship, research assistantship, grader appointment, or fellowship","Some graduate students receive support; strong new admits may be considered, without a universal guarantee",Not published as a program-wide guarantee,"Faculty selection, departmental need, merit, satisfactory progress, and available funds",No nationality exclusion is published; appointment eligibility controls,Not published as one program-wide amount,USD,Not verified as a universal benefit,Not verified,Not verified,Not verified,Departmental assistantships and Graduate School fellowships,January 20 recurring financial-consideration deadline,"Will a Fall 2027 offer provide renewable stipend, tuition, fees, health insurance, and summer support?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.csee.umbc.edu/graduate/computer-science-m-s-ph-d/,stage3src:032d33b5a4337da65ee7,stage3src:032d33b5a4337da65ee7|stage3src:dc1cc49c04a91c58eaf1,stage3src:dc1cc49c04a91c58eaf1|stage3src:9f8a70a463fee4695ad4,high,data/processed/pass2/stage_02_reentry_04_candidates.csv|data/processed/pass2/stage_02_reentry_04_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_04.json,2026-09-11
2.0,us:ipeds:110671:program:phd:phd-in-computer-science,us:ipeds:110671:program:phd:phd-in-computer-science,us:ipeds:110671,University of California-Riverside,United States,us,advance_to_stage_3,conditional,"UCR permits direct bachelor's entry and the applicant is above the published graduate floor, but the department explicitly says not all PhD students are funded; require a complete written funding package.",Ph.D. in Computer Science,PhD,"Research-oriented doctoral coursework, qualifying milestones, dissertation, and defense","Department of Computer Science and Engineering, Bourns College of Engineering",Current; latest recurring Fall deadlines are published,Yes — a bachelor's equivalent is sufficient and an MS is not required,Yes — international applicants have a published route,English,UCR Graduate Division English policy applies; applicant-specific U.S.-degree treatment requires confirmation,3.0/4.0 graduate minimum; 3.2 over the final two years is described as desirable,"Applicant 3.35 cumulative and recent GPA above 3.5 clear the stated figures, subject to UCR recalculation",Core computer-science preparation is reviewed; exact equivalency remains program-controlled,Departmental competitive review; capacity prevents admission of all qualified applicants,Prior faculty agreement is not published as mandatory; research alignment remains relevant,"January 5, 2027 for fellowship consideration and March 1, 2027 general international deadline, inferred from recurring dates",Latest recurring dates; Fall 2027 year not explicitly printed,155,USD,No applicant-specific international waiver established,Not verified in reviewed official evidence,Not verified in reviewed official evidence,Funded packages may include tuition and fee coverage; no universal package is promised,Package-specific,"Fellowship, graduate student researcher appointment, or teaching assistantship","Packages of one to five years may be offered, but the department states that not all PhD students are funded",One to five years when offered; individual offer controls,"Academic performance, satisfactory progress, PI funds, appointment duties, and offer terms",International applicants are eligible for departmental consideration; offer and employment rules control,Not published as one CS-wide amount,USD,May be included in a package,May be included; amount is offer-specific,Not verified as universal,Not verified as universal,"Graduate fellowships, GSR appointments, and teaching assistantships",January 5 recurring fellowship-consideration deadline,"Will the Fall 2027 offer fund the full expected duration and cover tuition, fees, insurance, and summers?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www1.cs.ucr.edu/graduate/programs/computer-science-phd,stage3src:d875b34e64fb155d1a2b,stage3src:38cb805a79903bffe41b|stage3src:17433b20c5135b7ea0a5|stage3src:69da9a15b33d375ef553,stage3src:17433b20c5135b7ea0a5|stage3src:69da9a15b33d375ef553,high,data/processed/pass2/stage_02_reentry_04_candidates.csv|data/processed/pass2/stage_02_reentry_04_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_04.json,2026-09-11
2.0,us:ipeds:225511:program:phd:phd-in-computer-science,us:ipeds:225511:program:phd:phd-in-computer-science,us:ipeds:225511,University of Houston,United States,us,advance_to_stage_3,conditional,"Houston admits from a bachelor's and the applicant clears the published GPA route, but the official funding page describes typical rather than guaranteed support; require a written assistantship and tuition-fellowship offer.",Ph.D. in Computer Science,PhD,"Sixty-six-hour doctorate with an advisor, doctoral research, dissertation, and defense","Department of Computer Science, College of Natural Sciences and Mathematics",Current; recurring Fall international deadline is published,Yes — applicants with a bachelor's degree may apply,"Yes — international deadline, fee, and English rules are published",English,"TOEFL 79 or IELTS 6.5 is listed; a degree from an approved English-language institution may satisfy the rule, subject to central review",3.0/4.0 cumulative or over the final 60 undergraduate hours,"Applicant 3.35 clears the published floor, subject to official recalculation",Computer-science preparation is evaluated; exact deficiency mapping is not published on the reviewed page,Competitive departmental review; GRE optional and research experience receives additional consideration,Applicants may identify faculty preferences in the statement; an advisor is selected by the first term,"January 15, 2027 inferred from the recurring international Fall deadline; year must be confirmed",Recurring deadline; Fall 2027 not explicitly labeled,80,USD,International application fee is described as nonwaivable,Not verified in reviewed official evidence,Not verified in reviewed official evidence,A Graduate Tuition Fellowship can cover up to nine hours of in-state tuition and mandatory fees with a qualifying assistantship,Included up to published fellowship limits when the fellowship is awarded,Part-time graduate assistantship paired with Graduate Tuition Fellowship; competitive fellowships may supplement,"PhD students are described as typically funded, but no universal written guarantee is published",Offer- and appointment-specific,"Qualifying appointment, fellowship award, satisfactory performance, and available funds",No nationality exclusion is published; employment eligibility and offer terms control,Not published as one program-wide amount,USD,Up to nine in-state credit hours through the fellowship; nonresident waiver may apply,Up to fellowship limits,Not verified,Not verified,Graduate Tuition Fellowship and Presidential Fellowship,No distinct Fall 2027 scholarship deadline captured,"Will the Fall 2027 offer guarantee an assistantship, tuition fellowship, stipend, insurance, and summer support for the expected duration?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.uh.edu/nsm/computer-science/graduate/phd/index.php,stage3src:dd978a792a19bda37b68,stage3src:34c57f6622a257a9d6c9|stage3src:2f9ef8fdd32b1de5d4db,stage3src:2f9ef8fdd32b1de5d4db,high,data/processed/pass2/stage_02_reentry_04_candidates.csv|data/processed/pass2/stage_02_reentry_04_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_04.json,2026-09-11
2.0,us:ipeds:228769:program:phd:doctoral-degree-in-computer-science-computer-engineering,us:ipeds:228769:program:phd:doctoral-degree-in-computer-science-computer-engineering,us:ipeds:228769,The University of Texas at Arlington,United States,us,advance_to_stage_3,conditional,"UTA publishes a direct bachelor's route and the applicant's recent GPA clears the stated last-two-year floor, but assistantships are competitive rather than guaranteed; require a written funded offer.",Doctoral Degree in Computer Science/Computer Engineering,PhD,Doctoral coursework and independent research culminating in a dissertation,"Department of Computer Science and Engineering, College of Engineering",Current; recurring Fall final and financial-aid dates are published,Yes — undergraduate computer science or a related field is an accepted entry route,Yes — international fee and English requirements are published,English,TOEFL 90 with speaking 23 or IELTS 7.5 with speaking 7 is published; applicant-specific U.S.-degree waiver requires confirmation,3.0 overall and 3.2 over the final two undergraduate years,"Applicant 3.35 cumulative and recent GPA above 3.5 clear the published figures, subject to UTA calculation",Undergraduate CS or related preparation; detailed equivalency remains subject to program review,Departmental competitive review; GRE not required and publications may strengthen admission and funding consideration,"Faculty email contact is advised, but the department makes admissions decisions","March 15, 2027 full-consideration deadline; financial-aid selection may begin January 15, inferred from recurring dates",Recurring current dates; Fall 2027 not explicitly labeled,90,USD,No applicant-specific international waiver established,Not verified in reviewed official evidence,Not verified in reviewed official evidence,Qualifying doctoral GTA/GRA appointments may include tuition support,Not verified as universally covered,"Competitive graduate teaching or research assistantship, scholarship, or fellowship",Support is available but is not guaranteed to every admitted doctoral student,Appointment- and offer-specific,"Competitive selection, appointment duties, satisfactory progress, and available funds",No nationality exclusion is published; employment and offer rules control,Not published as one CS-wide amount,USD,Available with qualifying doctoral appointments; exact remission is offer-specific,Not verified,Not verified,Not verified,"GTA, GRA, internal scholarships, and fellowships",Financial-aid selection may begin January 15,"Will a Fall 2027 offer guarantee a renewable assistantship and cover tuition, fees, insurance, and summer living costs?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.uta.edu/academics/schools-colleges/engineering/academics/departments/cse/phd,stage3src:1888b6020e8870833c1e|stage3src:f6b97fc90a0a225fe839,stage3src:1888b6020e8870833c1e|stage3src:cf40fac07e6dcc0fd70e,stage3src:1888b6020e8870833c1e|stage3src:f6b97fc90a0a225fe839|stage3src:cf40fac07e6dcc0fd70e,high,data/processed/pass2/stage_02_reentry_04_candidates.csv|data/processed/pass2/stage_02_reentry_04_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_04.json,2026-09-11
2.0,us:ipeds:229027:program:phd:phd-in-computer-science,us:ipeds:229027:program:phd:phd-in-computer-science,us:ipeds:229027,The University of Texas at San Antonio,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",Ph.D. in Computer Science,PhD,Research doctorate with advanced computer-science study and dissertation research,"Department of Computer Science, Klesse College of Engineering and Integrated Design",Current; Fall 2027 deadline and funding package are explicitly published,Yes — a bachelor's degree or foreign equivalent is accepted,Yes — foreign-equivalent credentials are explicitly accepted,English,Graduate School English policy applies; treatment of the expected U.S. bachelor's requires final central confirmation,No higher CS-specific numeric minimum captured on the program page,Applicant is not barred by a published CS-specific floor; admission remains competitive,Computer-science preparation appropriate for doctoral study; exact deficiency review is program-controlled,Departmental doctoral review,Prior faculty agreement is not published as mandatory,"February 1, 2027",Explicit Fall 2027 cycle,Not verified in reviewed official evidence,USD,Not verified in reviewed official evidence,Not verified in reviewed official evidence,Not verified in reviewed official evidence,Published doctoral package includes tuition and fees,Published package includes tuition and fees; residual applicant charges require offer confirmation,Graduate teaching or research assistantship with tuition-and-fee support and health insurance,All full-time admitted Computer Science PhD students are welcomed with GTA or GRA support,Renewal duration is not fully specified on the reviewed pages,"Full-time enrollment, appointment duties, satisfactory progress, and renewal terms",The program funding statement does not publish a nationality exclusion,"24,000 starting annual stipend; central table also lists 26,400 for some appointments",USD,Tuition waiver/support included,Published package includes tuition and fees,Health insurance included,Not separately verified,GTA/GRA doctoral funding package,"Program application deadline is February 1, 2027; no separate package deadline stated","What renewal duration, summer pay, and residual fee or living-cost terms will the individual offer specify?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://future.utsa.edu/programs/doctoral/computer-science/,stage3src:cd614c31dad4fdb3b1f8,stage3src:cd614c31dad4fdb3b1f8|stage3src:44cc2e2c7936e762b712,stage3src:cd614c31dad4fdb3b1f8|stage3src:44cc2e2c7936e762b712,high,data/processed/pass2/stage_02_reentry_04_candidates.csv|data/processed/pass2/stage_02_reentry_04_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_04.json,2026-09-11
2.0,us:ipeds:153658:program:phd:phd-in-computer-science,us:ipeds:153658:program:phd:phd-in-computer-science,us:ipeds:153658,University of Iowa,United States,us,advance_to_stage_3,conditional,"Iowa permits bachelor's entry and explicitly publishes Fall 2027 requirements, but the department describes support for most students and limits departmental assistantships subject to progress and funds; require a written funding offer.",Ph.D. in Computer Science,PhD,Seventy-two semester hours and original research culminating in a dissertation,"Department of Computer Science, College of Liberal Arts and Sciences",Current; Fall 2027 deadline is explicitly published,Yes — a four-year bachelor's equivalent is sufficient and an MS is not required,Yes — international applicants and English assessment are addressed,English,Graduate Admissions English rules apply; the expected U.S. bachelor's must be checked against the current exemption rule,3.0/4.0 undergraduate GPA,"Applicant 3.35 clears the published minimum; recent admitted PhD applicants averaged higher, so admission remains competitive",Four-year undergraduate preparation appropriate to computer science; exact course mapping is reviewed holistically,"Rigorous competitive department review of undergraduate performance, recommendations, research capacity, and optional GRE",Specific faculty interest may be stated to aid review; prior faculty commitment is not mandatory,"January 1, 2027",Explicit Fall 2027 cycle,Not verified in reviewed official evidence,USD,Not verified in reviewed official evidence,Unsuccessful PhD applicants without a master's are automatically considered for the MCS; other simultaneous-application rules were not verified,No separate MCS fee is indicated for automatic consideration; other cases not verified,Assistantship tuition treatment is not fully quantified on the department funding page,Not verified,Teaching or research assistantship or fellowship,"Most graduate students receive support, but a universal program-wide guarantee is not published","Departmental assistantship support is limited to four years for full-time PhD students, subject to conditions and funds","Appropriate progress, assistantship performance, teaching English requirements, and availability of funds",No nationality exclusion is published; teaching eligibility may depend on spoken English requirements,Not published as one CS-wide amount,USD,Not verified as universal in reviewed department evidence,Not verified,Not verified,"Beyond four years, advisor RA or other support is expected; summer coverage is not guaranteed",Departmental TA/RA support and Graduate College fellowships,"January 1, 2027 program deadline; no separate funding deadline captured","Will a Fall 2027 offer guarantee first-year and renewable stipend, tuition, fees, insurance, and summer support?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://cs.uiowa.edu/graduate/phd-computer-science,stage3src:58add7da1abbe2d4583e,stage3src:040ce8e8970042301519|stage3src:7c933ed86687e0fb461b,stage3src:7c933ed86687e0fb461b,high,data/processed/pass2/stage_02_reentry_04_candidates.csv|data/processed/pass2/stage_02_reentry_04_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_04.json,2026-09-11
2.0,us:ipeds:217882:program:phd:computer-science-phd,us:ipeds:217882:program:phd:computer-science-phd,us:ipeds:217882,Clemson University,United States,us,advance_to_stage_3,conditional,"Clemson permits bachelor's entry and considers all qualified PhD applicants for assistantships, but support is competitive and not guaranteed; require an offer-specific funding confirmation.",Computer Science Ph.D.,PhD,Sixty-credit bachelor's-entry doctorate or reduced post-master's route with original dissertation research,"School of Computing, College of Engineering, Computing and Applied Sciences",Current; recurring priority and final Fall dates are published,Yes — bachelor's entry follows a 60-credit route,Yes — international English requirements are published,English,International applicants need English evidence unless an applicable U.S.-degree exception is accepted; applicant-specific result requires confirmation,Graduate School requirements apply; no higher CS PhD numeric floor captured,Applicant is not barred by a published CS-specific numeric floor; review remains competitive,Computer-science preparation and equivalencies are reviewed by the program,Competitive School of Computing review; GRE optional but encouraged,Prior faculty commitment is not published as mandatory,"January 1, 2027 priority and March 15, 2027 final, inferred from recurring Fall dates",Recurring dates; Fall 2027 year not explicitly labeled,Not verified in reviewed official evidence,USD,Not verified in reviewed official evidence,Not verified in reviewed official evidence,Not verified in reviewed official evidence,Assistantships provide reduced tuition; residual amount is not quantified on the reviewed page,Not verified,Competitive teaching or research assistantship and fellowship,"All qualified PhD applicants are considered, but appointments are competitive and not guaranteed",Offer- and appointment-specific,"Competitive selection, assistantship duties, academic progress, and available funds",International and domestic applicants are considered; employment rules apply,Not published as one program-wide amount,USD,Reduced tuition with qualifying assistantship,Not verified,Not verified,Not verified,School assistantships and graduate fellowships,January 1 recurring priority deadline,"Will a Fall 2027 offer include renewable stipend, adequate tuition remission, fees, insurance, and summer support?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.clemson.edu/cecas/departments/computing/academics/graduates/degrees/phd-cs.html,stage3src:74a0afcef22a7f7021de,stage3src:74a0afcef22a7f7021de|stage3src:4d96f221ff326e470d59,stage3src:4d96f221ff326e470d59,high,data/processed/pass2/stage_02_reentry_04_candidates.csv|data/processed/pass2/stage_02_reentry_04_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_04.json,2026-09-11
2.0,ca:dli:O19283889692:program:thesis-or-research-master-s:msc-in-computer-science-thesis-option,ca:dli:O19283889692:program:thesis-or-research-master-s:msc-in-computer-science-thesis-option,ca:dli:O19283889692,University of Northern British Columbia,Canada,canada,advance_to_stage_3,monitor,"UNBC has a research thesis route, but the applicant still needs supervisor/research-fit confirmation and no adequate funded package is guaranteed; both material gates remain unresolved, so the route does not proceed to faculty review.",Master of Science in Computer Science — Thesis Option,Thesis or research master's,"Thesis option requiring original research, a thesis, and defense","Department of Computer Science, Faculty of Science and Engineering",Current; recurring MSc Computer Science intake dates are published,Yes — an appropriate four-year bachelor's degree is the normal route,Yes — international MSc deadlines are published,English,UNBC graduate English policy applies; applicant-specific U.S.-degree treatment requires confirmation,General and program graduate standards apply; exact applicant-equivalent floor requires central assessment,Applicant's eligibility must be confirmed through UNBC credential and program review,Appropriate undergraduate computer-science preparation; exact equivalency requires program review,Competitive program review with limited capacity; thesis applicants require viable supervision,A supervisor is required for the thesis route and availability is not guaranteed,"January 15, 2027 first deadline and March 1, 2027 second international deadline, inferred from recurring Fall intake dates",Recurring intake dates; Fall 2027 year not explicitly labeled,Not verified from a current official fee page,CAD,Not verified in reviewed official evidence,Not verified in reviewed official evidence,Not verified in reviewed official evidence,Current international MSc tuition must be calculated from the official fee schedule; no full waiver is established,Not verified,"Competitive teaching assistantship, entrance award, or supervisor-linked research support","Funding opportunities exist, but no program-wide package or minimum is guaranteed",Not guaranteed program-wide,"Merit, supervisor funds, teaching qualifications, academic progress, and available awards",No blanket nationality exclusion was captured; individual award rules control,Not published as one program-wide amount,CAD,Not guaranteed,Not verified,Not verified,Not verified,Graduate Entrance Scholarship Program and departmental teaching assistantships,Entrance awards use their published competitions; no guaranteed program award deadline established,Will an appropriate supervisor support admission and provide a package sufficient for international tuition and living costs?,pass,resolvable_question,resolvable_inquiry,pass,pass,no,Monitor — Not Faculty-Review Ready,https://www.unbc.ca/calendar/graduate/computer-science-msc-program,stage3src:73a037f00f7976e36d35,stage3src:73a037f00f7976e36d35|stage3src:364dc2dee603266fbb2d|stage3src:f3286e8fb43dafc23f5a,stage3src:018715163910b73f9a19,high,data/processed/pass2/stage_02_reentry_04_candidates.csv|data/processed/pass2/stage_02_reentry_04_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_04.json,2026-09-11
2.0,ca:dli:O19091528512:program:phd:phd-in-computer-science,ca:dli:O19091528512:program:phd:phd-in-computer-science,ca:dli:O19091528512,University of Manitoba,Canada,canada,advance_to_stage_3,conditional,"Manitoba publishes a funded PhD route, but normal entry requires a master's and direct entry from an honours bachelor's is an exceptional discretionary route; obtain written program confirmation before treating the applicant as eligible.",Ph.D. in Computer Science,PhD,Four-year research doctorate requiring a thesis and defense,"Department of Computer Science, Faculty of Science",Current; international Fall deadline is published,Uncertain — normal entry requires a master's; an exceptional direct route from an honours bachelor's may be recommended for outstanding applicants,Yes — international applicants and deadlines are explicitly addressed,English,University English-language proficiency policy applies; applicant-specific U.S.-degree exemption requires confirmation,3.0/4.5 over the final two years for normal consideration; exceptional direct entry expects performance well above the general minimum,"Applicant recent GPA above 3.5 may clear the general floor, but honours equivalency and exceptional-direct-entry competitiveness are unresolved",Relevant computer-science degree preparation; equivalency and any deficiencies are department-controlled,Department review requires support from a prospective supervisor; applications without endorsement are not considered,Confirmed supervisor support letter is mandatory,"December 1, 2026 for international Fall 2027 admission, based on the current annual Fall deadline pattern; cycle must be reconfirmed",Latest published recurring international deadline; Fall 2027 labeling requires recheck,Not verified from a current official fee page,CAD,Not verified in reviewed official evidence,Not verified in reviewed official evidence,Not verified in reviewed official evidence,Minimum PhD funding is stated as a gross package; tuition and fee deductions must be calculated separately,Not verified as covered,"Supervisor/department package combining assistantship, grant, and eligible awards","Department publishes minimum PhD funding of CAD 23,000 annually for the first four years",First four years,"Satisfactory academic and research progress, supervisor support, and award/appointment conditions",International PhD students are included; international applicants may be considered for UMGF subject to rules,"23,000 minimum annual package",CAD,Not stated as a separate full waiver,Not verified,Not verified,"Annual package implies year-round total, but payment structure requires offer confirmation",University of Manitoba Graduate Fellowship and departmental funding package,Automatic departmental award consideration timing; exact Fall 2027 award dates not verified,Will the department approve the applicant's bachelor's-only exceptional entry and will a supervisor endorse that route in writing?,pass,resolvable_question,pass,pass,pass,yes,Outreach Before Decision,https://umanitoba.ca/graduate-studies/admissions/programs-of-study/computer-science-phd,stage3src:23851aed6ed8882bb1b5,stage3src:23851aed6ed8882bb1b5|stage3src:541308c570fd7ef75690|stage3src:bc67bb93b70213f97e30|stage3src:ef78adb70ad3926719c1,stage3src:ef78adb70ad3926719c1,high,data/processed/pass2/stage_02_reentry_04_candidates.csv|data/processed/pass2/stage_02_reentry_04_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_04.json,2026-09-11
