schema_version,stage3_source_id,candidate_program_id,institution_id,institution_name,claim_categories,exact_claim_supported,source_title,publisher,url,source_path,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,original_source_id,access_note
2.0,stage3src:93b90c1fb12d7ce95dee,ca:dli:O19305391192:program:phd:phd-in-computer-science,ca:dli:O19305391192,University of Guelph,program|research|admissions|eligibility,"Formal Computational Sciences calendar title, normal thesis-master's route, exceptional direct bachelor's entry, qualifying exam, thesis, and two-advisor structure.",Computational Sciences Graduate Calendar,University of Guelph,https://calendar.uoguelph.ca/graduate-calendar/graduate-programs/computational-sciences/,data/raw/pass2/stage_03_reentry_08.json,official web page,official,2026-09-10,Current calendar checked 2026-09-10,high,official page checked,stage3re08:guelph:calendar,
2.0,stage3src:d9365ebfdcfab3e90f0d,ca:dli:O19305391192:program:phd:phd-in-computer-science,ca:dli:O19305391192,University of Guelph,program|research|admissions|eligibility|language|deadline|funding|tuition,"Live PhD in Computer Science, thesis structure, mandatory advisor, Fall 2027 deadline, English thresholds, and CAD 25,000 minimum funding for admitted international and domestic students.",PhD in Computer Science,University of Guelph,https://www.uoguelph.ca/programs/phd-computer-science,data/raw/pass2/stage_03_reentry_08.json,official web page,official,2026-09-10,Fall 2027,high,official page checked,stage3re08:guelph:program-funding,
2.0,stage3src:366a5600f44b7337f54d,ca:dli:O19359011070:program:thesis-or-research-master-s:research-master-s-in-computer-engineering-software-engineering-option,ca:dli:O19359011070,École Polytechnique de Montréal,funding|tuition|fees|health,"Supervisor-discretionary funding, differential-tuition exemption bursaries, and warning that research funding may not cover living expenses or insurance.",Graduate Finances,Polytechnique Montréal,https://www.polymtl.ca/futur/en/es/finances,data/raw/pass2/stage_03_reentry_08.json,official web page,official,2026-09-10,Current finance guidance checked 2026-09-10,high,official page checked,stage3re08:poly:funding,
2.0,stage3src:a1aca3b70a89a0229a85,ca:dli:O19359011070:program:thesis-or-research-master-s:research-master-s-in-computer-engineering-software-engineering-option,ca:dli:O19359011070,École Polytechnique de Montréal,admissions|eligibility|language,"Relevant four-year degree, 2.75 GPA general floor, and mandatory research advisor for international research-master's admission.","Admission to DESS, Master's and PhD",Polytechnique Montréal,https://www.polymtl.ca/futur/en/es/admission,data/raw/pass2/stage_03_reentry_08.json,official web page,official,2026-09-10,Current guidance checked 2026-09-10,high,official page checked,stage3re08:poly:admissions,
2.0,stage3src:a72ae32402733c5506ed,ca:dli:O19359011070:program:thesis-or-research-master-s:research-master-s-in-computer-engineering-software-engineering-option,ca:dli:O19359011070,École Polytechnique de Montréal,research|funding,"Current master's or doctorate cybersecurity project with stated CAD 22,500 master's MAFS funding signal through July 2027.",Autonomous Cyber Operations Research Project,Polytechnique Montréal,https://www.polymtl.ca/expertises/en/autonomous-cyber-operations-al-mallah-ranwa,data/raw/pass2/stage_03_reentry_08.json,official web page,official,2026-09-10,Current opening checked 2026-09-10; listed end July 2027,high,official page checked,stage3re08:poly:project,
2.0,stage3src:afa0c5aac5e0c58c133b,ca:dli:O19359011070:program:thesis-or-research-master-s:research-master-s-in-computer-engineering-software-engineering-option,ca:dli:O19359011070,École Polytechnique de Montréal,program|research|admissions|eligibility|language,"Current 45-credit research master's, Software Engineering option, duration, research areas, and language policy.",Graduate Studies in Computer and Software Engineering,Polytechnique Montréal,https://www.polymtl.ca/gigl/en/programs-offered/graduate-studies,data/raw/pass2/stage_03_reentry_08.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re08:poly:program,
2.0,stage3src:52ea247b391e2a76547d,ca:dli:O19395677651:program:phd:phd-in-computer-science,ca:dli:O19395677651,Toronto Metropolitan University,program|research|admissions|eligibility|funding,"Current Computer Science PhD, research-based master's entry, research areas, and funding mechanisms with domestic-only explicit base-funding language.",Computer Science MSc and PhD,Toronto Metropolitan University,https://www.torontomu.ca/graduate/programs/computer-science/,data/raw/pass2/stage_03_reentry_08.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re08:tmu:program,
2.0,stage3src:80834cdf4e81a5d325e3,ca:dli:O19395677651:program:phd:phd-in-computer-science,ca:dli:O19395677651,Toronto Metropolitan University,funding|tuition|fees,"Research-program funding can combine fellowships, scholarships, stipends, and assistantships, while the explicit typical base-package statement is domestic.",Faculty of Science Graduate Student Funding,Toronto Metropolitan University,https://www.torontomu.ca/science/graduate-studies/graduate-student-funding/,data/raw/pass2/stage_03_reentry_08.json,official web page,official,2026-09-10,Current guidance checked 2026-09-10,high,official page checked,stage3re08:tmu:funding,
2.0,stage3src:9c92dbaf2e515d14098b,ca:dli:O19395677651:program:phd:phd-in-computer-science,ca:dli:O19395677651,Toronto Metropolitan University,admissions|eligibility|language|funding,"Research-master's and B+ PhD requirements, references, supervisor names, proposed research, and funding disclosure in the statement.",Computer Science Graduate Admission Requirements,Toronto Metropolitan University,https://www.torontomu.ca/cs/graduate/admissions-applying/,data/raw/pass2/stage_03_reentry_08.json,official web page,official,2026-09-10,Current requirements checked 2026-09-10,high,official page checked,stage3re08:tmu:admissions,
2.0,stage3src:3cbb860b5c632749a0e3,ca:dli:O19440995346:program:phd:phd-in-computer-science,ca:dli:O19440995346,Memorial University of Newfoundland,program|admissions|eligibility|deadline|funding|tuition|fees,"Recurring Fall deadline, PhD duration, CAD 24,000 funding figure, and current domestic and international tuition.",Computer Science Graduate Programs,Memorial University of Newfoundland,https://www.mun.ca/become/graduate/programs-and-courses/computer-science/,data/raw/pass2/stage_03_reentry_08.json,official web page,official,2026-09-10,Current recurring guidance checked 2026-09-10,high,official page checked,stage3re08:memorial:overview,
