schema_version,source_id,institution_id,program_name,discovery_path,evidence_role,title,publisher,url,accessed_date,evidence_summary,limitations
2.0,reentry14:uno-cis:program,us:ipeds:181394,"Computing & Information Science, Ph.D.",official_program_or_department_signal,"exact doctorate, research structure, and software-security fit","Computing & Information Science, Ph.D.",University of Nebraska at Omaha,https://www.unomaha.edu/college-of-information-science-and-technology/academics/computing_and_information_science_phd.php,2026-09-11,"Official program page confirms a research-intensive Computing and Information Science PhD with faculty mentorship and active work in software engineering, cybersecurity, AI, and data analytics.","Program existence and research breadth do not establish admission, a willing advisor, or funding."
2.0,reentry14:uno-cis:funding,us:ipeds:181394,"Computing & Information Science, Ph.D.",research_masters_or_scholarship_search,doctoral assistantship mechanism and coverage boundary,Financial Aid,University of Nebraska at Omaha,https://www.unomaha.edu/college-of-information-science-and-technology/phd-it/prospective-students/financial-aid.php,2026-09-11,Official doctoral page states that admitted students are automatically considered for competitive research or teaching assistantships carrying nine credits of tuition support and a monthly stipend.,"Selection, stipend value, renewal, summer coverage, fees, insurance, and net sufficiency remain unverified."
2.0,reentry14:uccs-cyber:program,us:ipeds:126580,"Cybersecurity, PhD",official_program_or_department_signal,"exact doctorate, entry rules, and security research scope","Cybersecurity, PhD",University of Colorado Colorado Springs,https://www.uccs.edu/academics/programs/security-phd,2026-09-11,"Official program page confirms the on-campus Cybersecurity PhD, STEM entry routes, qualifying preparation, cyber and cyber-physical security scope, and dissertation requirement.","Published admission rules do not establish transcript equivalency, admission, funding, or supervision."
2.0,reentry14:uccs-cyber:lab-funding,us:ipeds:126580,"Cybersecurity, PhD",lab_or_center_signal,systems-security fit and faculty-controlled assistantship signal,Prospective Students - UCCS Systems Security Lab,University of Colorado Colorado Springs,https://academics.uccs.edu/~schang2/docs/Prospective_Students_UCCS_Systems_Security_Lab.pdf,2026-09-11,"Official UCCS faculty material describes systems, network, embedded, and cyber-physical security work and a tuition-and-stipend RA path for qualified PhD students regardless of citizenship.","A faculty opportunity is capacity- and grant-dependent and does not establish current availability, admission, or a durable funding package."
2.0,reentry14:uml-cs:program,us:ipeds:166513,Doctor of Philosophy (Ph.D.) in Computer Science,official_program_or_department_signal,"exact doctorate, milestones, and funding guidance",Doctor of Philosophy (Ph.D.) in Computer Science,University of Massachusetts-Lowell,https://www.uml.edu/sciences/computer-science/programs/doctorate.aspx,2026-09-11,"Official school page confirms the Computer Science PhD and its research and dissertation pathway, with funding opportunities referenced for doctoral students.","The page does not establish applicant equivalency, admission, advisor capacity, or a funding offer."
2.0,reentry14:uml-cs:research,us:ipeds:166513,Doctor of Philosophy (Ph.D.) in Computer Science,lab_or_center_signal,"current program-analysis, security, systems, and network research breadth",Research,University of Massachusetts-Lowell,https://www.uml.edu/Sciences/computer-science/Research/,2026-09-11,"Official research page lists active, externally funded work in cybersecurity and privacy, program analysis, programming languages, computer systems and networks, and related labs that employ students.","Research breadth and lab employment do not establish a willing advisor, an assistantship, or funding duration."
2.0,reentry14:louisville-cse:program,us:ipeds:157289,Doctor of Philosophy in Computer Science and Engineering,official_program_or_department_signal,"exact doctorate, entry routes, curriculum fit, and dissertation structure",Computer Science and Engineering (PhD),University of Louisville,https://catalog.louisville.edu/graduate/programs-study/doctor-philosophy-computer-science-engineering/,2026-09-11,"Official graduate catalog confirms the CSE PhD, bachelor's- and master's-entry routes, original research requirement, dissertation credits, and coursework in software engineering, networks, security, and distributed systems.","Catalog requirements do not establish applicant equivalency, admission, advisor capacity, or funding."
2.0,reentry14:louisville-cse:funding,us:ipeds:157289,Doctor of Philosophy in Computer Science and Engineering,research_masters_or_scholarship_search,engineering doctoral fellowship coverage and competitiveness,Graduate Funding,University of Louisville,https://engineering.louisville.edu/graduatefunding/,2026-09-11,"Official engineering page describes automatic fellowship consideration for qualified doctoral applicants and lists an annual stipend, full tuition remission, health insurance, and renewal up to four years.","The fellowship is selective; exact 2027 value, renewal, fees, summer coverage, and net sufficiency require offer-level verification."
2.0,reentry14:wayne-cs:program,us:ipeds:172644,Computer Science (Ph.D.),official_program_or_department_signal,"exact doctorate, entry requirements, advisor process, and dissertation milestones",Computer Science (Ph.D.),Wayne State University,https://bulletins.wayne.edu/graduate/college-engineering/computer-science/computer-science-phd/index.html,2026-09-11,"Official graduate catalog confirms the Computer Science PhD, bachelor's- or master's-level entry, early advisor selection, research examinations, prospectus, dissertation, and public defense.","Program rules do not establish applicant equivalency, admission, advisor capacity, or funding."
2.0,reentry14:wayne-cs:dissertations,us:ipeds:172644,Computer Science (Ph.D.),recent_paper_signal,"recent software, workflow, edge, and distributed-systems discovery signal",Computer Science Dissertations,Wayne State University,https://digitalcommons.wayne.edu/compsci_diss/,2026-09-11,"Wayne State's official repository lists recent doctoral work on software practitioner behavior, scientific workflows, low-power wide-area networks, edge computing, and software-defined vehicles.","Completed dissertations are only a topic-discovery signal and do not establish current faculty appointment, supervision capacity, admission, or funding."
