schema_version,source_id,institution_id,program_name,discovery_path,evidence_role,title,publisher,url,accessed_date,evidence_summary,limitations
2.0,reentry08:cincinnati:program,us:ipeds:201885,Ph.D. in Computer Science and Engineering,official_program_or_department_signal,exact doctorate and software-systems research fit,Computer Science and Engineering Doctoral Program,University of Cincinnati-Main Campus,https://www.ceas.uc.edu/academics/departments/electrical-computer-engineering/degrees-programs/computer-science-engineering-phd.html,2026-09-10,"Official program page confirms the research doctorate and identifies software systems, operating systems, compilers, architecture, networking, and related research groups.",The page does not establish applicant eligibility or a current supervisor opening.
2.0,reentry08:cincinnati:funding,us:ipeds:201885,Ph.D. in Computer Science and Engineering,research_masters_or_scholarship_search,international application and preliminary doctoral support,Graduate Frequently Asked Questions,University of Cincinnati-Main Campus,https://www.ceas.uc.edu/admissions/graduate/faqs.html,2026-09-10,Official college FAQ publishes international application guidance and first-year assistantship plus full tuition support for full-time PhD admits.,Published policy is not an applicant-specific offer and later-year support conditions require verification.
2.0,reentry08:vcu:program,us:ipeds:234030,Doctor of Philosophy in Computer Science,official_program_or_department_signal,exact Computer Science doctorate and research curriculum,"Computer Science, Doctor of Philosophy",Virginia Commonwealth University,https://bulletin.vcu.edu/graduate/school-engineering/computer-science/computer-science-phd/,2026-09-10,"Official bulletin confirms the PhD and its research preparation in cybersecurity, systems, privacy, reliability, and related computer science areas.",The bulletin does not determine applicant-specific admission or supervision.
2.0,reentry08:vcu:funding,us:ipeds:234030,Doctor of Philosophy in Computer Science,research_masters_or_scholarship_search,competitive doctoral assistantship mechanism,Graduate Assistantships,Virginia Commonwealth University,https://egr.vcu.edu/current-students/student-services/graduate/assistantships/,2026-09-10,"Official engineering page states that doctoral applicants are automatically considered for limited assistantships covering standard tuition, mandatory fees, and a stipend.","Awards are competitive, advisor-dependent, and require continuing eligibility and work authorization."
2.0,reentry08:missouri-st:program,us:ipeds:178411,Doctor of Philosophy in Computer Science,official_program_or_department_signal,exact research doctorate and entry boundary,Doctor of Philosophy in Computer Science,Missouri University of Science and Technology,https://cs.mst.edu/graduate-degrees/phd/,2026-09-10,"Official department page confirms the dissertation doctorate, research readiness and publication requirements, and limited direct entry from a bachelor's degree.",Direct entry is discretionary and the page does not promise funding.
2.0,reentry08:missouri-st:research,us:ipeds:178411,Doctor of Philosophy in Computer Science,lab_or_center_signal,"software, security, and distributed-systems research fit",Computer Science Graduate Programs,Missouri University of Science and Technology,https://cs.mst.edu/graduate-degrees/,2026-09-10,"Official graduate page identifies software engineering, critical-infrastructure protection, network security, distributed processing, and related faculty research.",Research breadth does not establish current supervisor capacity or an assistantship.
2.0,reentry08:unt:program,us:ipeds:227216,Ph.D. in Computer Science and Engineering,official_program_or_department_signal,"exact doctorate, research areas, and preliminary assistantship signal",Computer Science and Engineering Ph.D.,University of North Texas,https://www.unt.edu/academics/programs/computer-science-and-engineering-phd.html,2026-09-10,"Official program page confirms the doctorate, post-baccalaureate and post-master's structures, software and security research, and teaching and research assistantships received by many students.",The page does not guarantee funding or applicant eligibility.
2.0,reentry08:unt:handbook,us:ipeds:227216,Ph.D. in Computer Science and Engineering,research_masters_or_scholarship_search,assistantship types and competitive boundary,Computer Science and Engineering Graduate Handbook,University of North Texas,https://computerscience.engineering.unt.edu/sites/default/files/CSE_Grad_Handbook_final_draft.pdf,2026-09-10,"Official departmental handbook describes teaching, instructional, and research assistantships and notes that awards are competitive.",The posted handbook may not be the final Fall 2027 policy and does not establish an award.
2.0,reentry08:memorial-phd:program,ca:dli:O19440995346,PhD in Computer Science,official_program_or_department_signal,exact research doctorate and supervisor-financing boundary,PhD in Computer Science,Memorial University of Newfoundland,https://www.mun.ca/computerscience/graduate-students/graduate-programs/phd/,2026-09-10,"Official department page confirms a four-year research PhD, master's-level entry expectation, and admission only after supervisor financing is secured.",A supervisor's financing and applicant-specific admission remain unverified.
2.0,reentry08:memorial-phd:overview,ca:dli:O19440995346,PhD in Computer Science,research_masters_or_scholarship_search,"current degree, topic, admission, and funding overview",Computer Science Graduate Programs,Memorial University of Newfoundland,https://www.mun.ca/become/graduate/programs-and-courses/computer-science/,2026-09-10,"Official graduate recruitment page lists the PhD, thesis structure, software engineering and cybersecurity scope, deadlines, international tuition, and a current $24,000 funding figure.",Published figures and deadlines must be refreshed for Fall 2027 and reconciled to an offer.
2.0,reentry08:guelph-phd:program,ca:dli:O19305391192,PhD in Computer Science,official_program_or_department_signal,"exact doctorate, advisor requirements, and minimum funding",PhD in Computer Science,University of Guelph,https://www.uoguelph.ca/programs/phd-computer-science,2026-09-10,"Official program page confirms thesis research, required faculty advising, international deadlines, and a current minimum funding guarantee for admitted PhD students who secure an advisor.",The guarantee is conditional on admission and advisor alignment and does not establish net affordability.
2.0,reentry08:guelph-phd:calendar,ca:dli:O19305391192,PhD in Computer Science,official_program_or_department_signal,"formal calendar title, interdisciplinary structure, and entry requirements",Computational Sciences Graduate Calendar,University of Guelph,https://calendar.uoguelph.ca/graduate-calendar/graduate-programs/computational-sciences/,2026-09-10,"Official calendar confirms the interdisciplinary PhD, thesis, qualifying examination, two-advisor model, normal master's entry, and exceptional direct-entry route.",The calendar retains the Computational Sciences title while the live recruitment page says PhD in Computer Science; Stage 3 must reconcile the formal current name.
