schema_version,candidate_program_id,verified_program_id,institution_id,institution_name,country,region,candidate_funnel_status,verification_status,status_reason,exact_degree_program_name,degree_type,research_requirement,department,current_program_status,bachelors_entry_eligibility,international_student_eligibility,language_of_instruction,english_requirement_and_waiver,minimum_gpa,minimum_gpa_application,prerequisite_coursework,admissions_model,faculty_contact_expectation,fall_2027_deadline,deadline_cycle_label,application_fee,fee_currency,fee_waiver_rules,simultaneous_application_rules,separate_fees_required,tuition,mandatory_fees,funding_model,funding_status,funding_duration,funding_conditions,funding_international_eligibility,stipend_amount,stipend_currency,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_coverage,named_scholarships,scholarship_deadlines,largest_unresolved_question,relevant_route_gate,eligibility_gate,funding_gate,degree_structure_gate,same_university_dominance_gate,faculty_review_ready,application_positioning,official_program_url,program_source_ids,admissions_source_ids,funding_source_ids,evidence_confidence,source_record_paths,verified_at
2.0,us:ipeds:181394:program:phd:computing-information-science-ph-d,us:ipeds:181394:program:phd:computing-information-science-ph-d,us:ipeds:181394,University of Nebraska at Omaha,United States,us,advance_to_stage_3,conditional,"The research doctorate accepts computing-related bachelor's applicants, but the competitive assistantship is not guaranteed and its full net-cost coverage requires a written offer.","Computing & Information Science, Ph.D.",PhD,"Research-intensive 90-credit doctorate with doctoral coursework, comprehensive examination, dissertation research, and defense",College of Information Science & Technology,"Current official program, catalog, admissions, and financial-aid pages checked 2026-09-11",Yes — computing or closely related bachelor's graduates may apply to the 90-credit route,"Yes, subject to credential, English, and immigration requirements",English,Graduate international English evidence applies; exact waiver treatment of the applicant's U.S. bachelor's must be confirmed,No separate numeric program floor was verified on the current program pages,Applicant GPA 3.35 proceeds to holistic departmental review; no published conflicting program floor was found,Computing preparation is reviewed and deficiencies may be assigned; exact transcript mapping remains admission-specific,Central graduate application followed by doctoral program review; GRE is normally requested with a possible waiver,No prior faculty commitment is published as mandatory; research fit matters for assistantship selection,"February 1, 2027 for Fall 2027 funding consideration; April 1, 2027 for other Fall admission consideration",Fall 2027 dates published in the current graduate catalog and checked 2026-09-11,Not verified on the official program pages checked,USD,Not verified,Not verified,Not verified,Exact Fall 2027 tuition is not published on the program funding page,Not verified as covered,Competitive doctoral assistantships with tuition support and a monthly stipend,"Automatic consideration is published, but awards are competitive and not universal",Normally fall and spring; renewal is conditional and total duration is not guaranteed,"Available funds, selection, satisfactory progress, enrollment, and assigned duties",No categorical international exclusion was found; employment requirements apply,Monthly stipend; exact Fall 2027 amount not verified,USD,Nine credits of tuition support under the published assistantship model,Not verified,Not verified,Most awards are fall and spring only,Doctoral graduate assistantships,"February 1, 2027 funding-priority deadline","Will UNO issue a renewable assistantship whose stipend plus tuition, fees, insurance, and summer terms produce adequate net funding?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.unomaha.edu/college-of-information-science-and-technology/academics/computing_and_information_science_phd.php,stage3src:964cefe2af0cf8cf716f|stage3src:387ef6ed77c1b11f4b3a,stage3src:964cefe2af0cf8cf716f|stage3src:387ef6ed77c1b11f4b3a|stage3src:f4a510fbbc6d0810a825,stage3src:f4a510fbbc6d0810a825,high,data/processed/pass2/stage_02_reentry_14_candidates.csv|data/processed/pass2/stage_02_reentry_14_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_14.json,2026-09-11
2.0,us:ipeds:126580:program:phd:cybersecurity-phd,us:ipeds:126580:program:phd:cybersecurity-phd,us:ipeds:126580,University of Colorado Colorado Springs,United States,us,advance_to_stage_3,conditional,"The applicant has an eligible STEM bachelor's route, but research funding is faculty- and grant-dependent and complete offer coverage is unresolved.","Cybersecurity, PhD",PhD,"Sixty-credit doctorate with advanced cybersecurity study, research, comprehensive milestones, dissertation, and defense",College of Engineering and Applied Science,"Current official program, graduate admission, international admission, and laboratory funding pages checked 2026-09-11",Yes — a STEM bachelor's or master's degree can qualify,"Yes, subject to credential evaluation, English, and immigration requirements",English,"Published minima include TOEFL 80, IELTS 6.5, or Duolingo 115; waiver treatment of the U.S. bachelor's must be confirmed",No separate numeric program floor was verified on the current program page,Applicant GPA 3.35 receives program review; no conflicting program-specific floor was found,"Published computing, mathematics, and security preparation is required; the operational-security prerequisite may be met by designated coursework or credential/publication alternatives",Central graduate application followed by Cybersecurity PhD review; GRE is required unless a listed waiver applies,No prior adviser commitment is published as mandatory; contacting aligned funded faculty is material for RA availability,Fall 2027 program deadline not yet published,Current admissions pages checked 2026-09-11; reconfirm the Fall 2027 cycle,USD 60 nonrefundable graduate application fee,USD,No program-specific waiver for the applicant was verified,Not verified,Not verified,Exact Fall 2027 tuition and remission are offer-specific,Not verified as covered,Competitive faculty grant-funded research assistantships and other graduate appointments,"A laboratory advertises tuition plus stipend for qualified PhD researchers regardless of citizenship, subject to fit and grant capacity",Not guaranteed or verified,"Faculty selection, project fit, grant capacity, duties, enrollment, and satisfactory progress",The cited laboratory states qualified PhD support regardless of citizenship; employment rules still apply,Not verified,USD,Potential tuition support under a qualifying RA; offer-specific,Not verified,Not verified,Not verified,Research assistantships and graduate appointments,No independent Fall 2027 funding deadline was verified,"Will an aligned faculty member commit renewable grant funding with adequate stipend and written tuition, fee, insurance, and summer coverage?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.uccs.edu/academics/programs/security-phd,stage3src:8f1ddd0ad9a5b71ded5d,stage3src:8f1ddd0ad9a5b71ded5d|stage3src:736c8bf366e037795aa8,stage3src:1e2a00c731b7b35ee2fa,high,data/processed/pass2/stage_02_reentry_14_candidates.csv|data/processed/pass2/stage_02_reentry_14_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_14.json,2026-09-11
2.0,us:ipeds:166513:program:phd:doctor-of-philosophy-ph-d-in-computer-science,us:ipeds:166513:program:phd:doctor-of-philosophy-ph-d-in-computer-science,us:ipeds:166513,University of Massachusetts-Lowell,United States,us,advance_to_stage_3,conditional,"The applicant has a relevant bachelor's route, but the department states that research support is adviser-controlled and teaching support is separately negotiated rather than guaranteed.",Doctor of Philosophy (Ph.D.) in Computer Science,PhD,"Research doctorate with coursework, qualifying milestones, dissertation research, and defense","Kennedy College of Sciences, Department of Computer Science","Current official doctoral, research, admissions FAQ, and application-fee pages checked 2026-09-11",Yes — applicants with an appropriate bachelor's degree may seek doctoral admission,"Yes, subject to credential, English, and immigration requirements",English,Official FAQ requires English evidence for applicable international applicants; exact U.S.-degree waiver treatment must be confirmed,No separate current numeric program floor was verified on the doctoral page,Applicant GPA 3.35 receives departmental review; no conflicting published program floor was found,Substantial Computer Science preparation is expected and transcript adequacy is evaluated by the department,Central application with Computer Science review; identifying and contacting a prospective adviser is strongly recommended,Strongly recommended before admission because research assistantships are controlled by individual advisers,"Fall 2027 not published; the latest general fall date is June 1, with international applicants advised to apply earlier",Latest recurring guidance checked 2026-09-11; reconfirm for Fall 2027,USD 50 graduate application fee for non-engineering/non-business programs,USD,Not verified for this applicant,Not verified,Not verified,Exact Fall 2027 tuition and any remission are offer-specific,Not verified as covered,Faculty-controlled research assistantships and school-negotiated teaching assistantships,Support is generally directed to PhD students but is not guaranteed,Not guaranteed or verified,"Adviser or school selection, available funds, duties, enrollment, and satisfactory progress",No categorical international exclusion was verified; employment and teaching-language rules apply,Not verified,USD,Not verified at program level,Not verified,Not verified,Not verified,Research assistantships and teaching assistantships,No independent Fall 2027 assistantship deadline was verified,"Will an adviser or department commit a renewable package covering adequate stipend, tuition, fees, insurance, and summers?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.uml.edu/sciences/computer-science/programs/doctorate.aspx,stage3src:bbe43e76cd1e317e8a6a,stage3src:bbe43e76cd1e317e8a6a|stage3src:2277a2396dc7cce0cdcf|stage3src:aff14316e9c383e95931,stage3src:2277a2396dc7cce0cdcf,high,data/processed/pass2/stage_02_reentry_14_candidates.csv|data/processed/pass2/stage_02_reentry_14_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_14.json,2026-09-11
2.0,us:ipeds:157289:program:phd:doctor-of-philosophy-in-computer-science-and-engineering,us:ipeds:157289:program:phd:doctor-of-philosophy-in-computer-science-and-engineering,us:ipeds:157289,University of Louisville,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",Doctor of Philosophy in Computer Science and Engineering,PhD,"Research doctorate with advanced coursework, qualifying milestones, original dissertation, and defense","J.B. Speed School of Engineering, Computer Science and Engineering",Current official graduate catalog and engineering graduate-funding pages checked 2026-09-11,"Yes — relevant bachelor's graduates may enter, with remedial work possible","Yes, subject to equivalent credentials, English, and immigration requirements",English,"Published minima include TOEFL 79, IELTS 6.5, or Duolingo 105; waiver treatment of the applicant's U.S. bachelor's must be confirmed",Typical 3.0 minimum for admission consideration,Applicant GPA 3.35 clears the published typical 3.0 reference,Relevant computing preparation is required; applicants from related fields may receive remedial requirements,Central graduate application followed by Computer Science and Engineering review; GRE is listed,No prior faculty commitment is published as mandatory; research alignment remains material,Fall 2027 program deadline not published,Current catalog checked 2026-09-11; reconfirm Fall 2027 timing,Amount not verified on the program-specific official pages checked,USD,Not verified,Not verified,Not verified,Full tuition remission is published for the cited doctoral fellowship route,Offer-specific fees outside tuition remission are not verified,"Competitive engineering doctoral fellowship with annual stipend, tuition remission, and health insurance",Qualified doctoral applicants may receive the fellowship and are automatically considered; the route is credible but no individual award is guaranteed,One-year award renewable for up to four years,"Selection, satisfactory academic progress, renewal, and any assigned fellowship conditions",No categorical international exclusion is published on the cited funding page,"USD 22,000 annually under the published fellowship",USD,Full tuition remission under the published fellowship,Not verified,Included under the published fellowship,"Annual wording is published, but summer appointment mechanics should be confirmed in writing",Speed School doctoral fellowship,No separate Fall 2027 fellowship deadline was verified,"Will the eventual written offer include this fellowship and clarify mandatory fees, summer timing, and renewal through completion?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://catalog.louisville.edu/graduate/programs-study/doctor-philosophy-computer-science-engineering/,stage3src:0cea1042d3afae4f2928|stage3src:d6232c986f42ee071514,stage3src:0cea1042d3afae4f2928|stage3src:a05a3f4d6e7ac83f4dd4|stage3src:d6232c986f42ee071514,stage3src:a05a3f4d6e7ac83f4dd4,high,data/processed/pass2/stage_02_reentry_14_candidates.csv|data/processed/pass2/stage_02_reentry_14_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_14.json,2026-09-11
2.0,us:ipeds:172644:program:phd:computer-science-ph-d,us:ipeds:172644:program:phd:computer-science-ph-d,us:ipeds:172644,Wayne State University,United States,us,advance_to_stage_3,monitor,"The applicant narrowly clears the published expected GPA and has a relevant degree, but no current official Computer Science source establishes a credible complete funding route.",Computer Science (Ph.D.),PhD,"Research doctorate with advanced coursework, examinations, original dissertation, and defense","College of Engineering, Department of Computer Science",Current official graduate bulletin and dissertation repository checked 2026-09-11,Yes — a bachelor's in Computer Science or a related field is eligible,"Yes, subject to credential, English, and immigration requirements",English,Graduate international English rules apply; exact U.S.-bachelor waiver treatment was not verified,3.3 expected undergraduate GPA,Applicant GPA 3.35 is slightly above the published 3.3 expectation; holistic review remains controlling,Adequate Computer Science preparation is expected and deficiencies may be assigned,Central graduate application followed by departmental review; GRE is listed,An adviser is selected during the first semester; no pre-admission commitment is published as mandatory,Not verified,No Fall 2027 program deadline verified as of 2026-09-11,Not verified,USD,Not verified,Not verified,Not verified,Not verified for Fall 2027,Not verified,"University-wide competitive scholarships and employment may exist, but no Computer Science program funding route was sufficiently verified",Unverified — no current official Computer Science funding commitment or sufficiently detailed competitive route was found,Not verified,Not verified,Not verified,Not verified,USD,Not verified,Not verified,Not verified,Not verified,No qualifying named Computer Science funding route verified,Not verified,"Does Computer Science offer incoming international PhD students a renewable package covering stipend, tuition, fees, insurance, and summers?",pass,pass,unverified,pass,pass,no,Monitor — Not Faculty-Review Ready,https://bulletins.wayne.edu/graduate/college-engineering/computer-science/computer-science-phd/index.html,stage3src:e4e22d6880973ffc0af9|stage3src:57e4b559a0ff5d9c5e50,stage3src:e4e22d6880973ffc0af9|stage3src:97dcf15e82f84989999f|stage3src:e5c2efc11e69d50e19da,stage3src:e5c2efc11e69d50e19da,high,data/processed/pass2/stage_02_reentry_14_candidates.csv|data/processed/pass2/stage_02_reentry_14_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_14.json,2026-09-11
2.0,us:ipeds:190044:program:phd:phd-in-computer-science,us:ipeds:190044:program:phd:phd-in-computer-science,us:ipeds:190044,Clarkson University,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",PhD in Computer Science,PhD,"Research doctorate with advanced coursework, original research portfolio, dissertation, and defense",Department of Electrical and Computer Engineering / Computer Science graduate program,"Current official program, graduate cost-and-aid, and 2025-26 assistantship tuition memo checked 2026-09-11",Yes — a bachelor's in Computer Science or a closely related field is eligible,"Yes, subject to credential and English requirements",English,"Published minima include TOEFL 80, IELTS 6.5, PTE 56, or Duolingo 115; whether the applicant's U.S. degree meets the country-based waiver must be confirmed",No numeric program minimum was verified on the current page,Applicant GPA 3.35 receives committee review; no conflicting program floor was found,A Computer Science or closely related foundation is required and reviewed by committee,Central graduate application followed by program committee review; GRE is listed with waiver pathways,No prior faculty commitment is published as mandatory; research fit matters for assistantship assignment,No fixed Fall 2027 deadline verified; current official FAQ describes rolling review,Current recurring guidance checked 2026-09-11; reconfirm before applying,Current official graduate FAQ states the application fee is waived,USD,Graduate application fee waived without a code under current guidance,Not verified,Not verified,A tuition scholarship of up to 15 credits per semester and 30 credits per academic year accompanies the cited assistantship framework,Published fees remain distinct and exact award treatment must be confirmed,Research and teaching assistantships with stipend and tuition scholarship,The PhD page states admitted doctoral students are eligible for full funding; the official memo specifies the assistantship floor and tuition scholarship,Appointment-specific; full degree duration is not guaranteed on the cited pages,"Appointment, assigned duties, enrollment limits, satisfactory progress, and renewal",International doctoral applicants are not categorically excluded; employment rules apply,"USD 29,900 minimum annual assistantship stipend for 2025-26",USD,Up to 15 credits per semester and 30 per academic year under the published memo,Not established; fees are listed separately,Not verified,Summer tuition and appointments follow separate terms and are not guaranteed,Graduate research assistantships and teaching assistantships,No separate Fall 2027 funding deadline verified,"Will Clarkson's written offer extend adequate stipend and tuition coverage through the full doctorate and specify fees, insurance, and summers?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://www.clarkson.edu/academics/majors-minors/computer-science-phd,stage3src:608ebfbc7bf297dce0c2,stage3src:608ebfbc7bf297dce0c2|stage3src:45677c58fa1238880501|stage3src:5c9f089310bcd2f389ce,stage3src:608ebfbc7bf297dce0c2|stage3src:45677c58fa1238880501|stage3src:5c9f089310bcd2f389ce,high,data/processed/pass2/stage_02_reentry_14_candidates.csv|data/processed/pass2/stage_02_reentry_14_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_14.json,2026-09-11
2.0,ca:dli:O19359011146:program:thesis-or-research-master-s:ma-trise-en-informatique-profil-m-moire,ca:dli:O19359011146:program:thesis-or-research-master-s:ma-trise-en-informatique-profil-m-moire,ca:dli:O19359011146,Université du Québec en Outaouais,Canada,canada,advance_to_stage_3,monitor,"The applicant's degree and GPA require formal equivalency and French-language confirmation, while the published awards and international fee exemptions are competitive and do not establish full living-cost funding.",Maîtrise en informatique (profil mémoire),Thesis or research master's,"Forty-five-credit research master's with supervised research, thesis, and defense/evaluation",Département d'informatique et d'ingénierie,"Current official program, scholarship, international exemption, and tuition pages checked 2026-09-11","Potentially — a bachelor's in Computer Science, Computer Engineering, or a related discipline is reviewed for equivalency","Yes, subject to credential equivalency, French, study permit, and financial requirements",French,Not applicable as the principal instructional-language gate is French,3.0 on 4.3; files from 2.8 to below 3.0 may receive exceptional review,Applicant GPA 3.35 is on a different scale; UQO must issue an equivalency decision rather than using an unsupported conversion,Relevant computing preparation is required and preparatory courses may be imposed,Central application followed by program and equivalency review,A research supervisor is practically material for thesis planning; no pre-admission commitment was verified as mandatory,Not published,"Current fall, winter, and recurring information checked 2026-09-11; reconfirm Fall 2027",Not verified,CAD,Not verified,Not verified,Not verified,International tuition and surcharge apply unless a competitive exemption is awarded; Fall 2027 amount not published,Additional institutional fees apply and are not established as covered,Competitive merit awards and quota-limited international tuition-surcharge exemptions,Partial and competitive; no full-cost funding commitment verified,Award-specific and not guaranteed,"Academic selection, program eligibility, quota, enrollment, and satisfactory progress",International research-master's students may be considered under stated quota and timing conditions,"A CAD 5,000 merit award is listed for 2025-26; no Fall 2027 amount is guaranteed",CAD,"Potential exemption from the international surcharge, not base tuition or living costs",Not verified,Not verified,Not verified,UQO merit award and international differential-fee exemption,Latest award cycles are not Fall 2027 commitments; reconfirm when calls open,"Will UQO confirm degree/GPA and French eligibility and provide a package covering tuition, fees, insurance, and living costs?",pass,resolvable_question,resolvable_inquiry,pass,pass,no,Monitor — Not Faculty-Review Ready,https://uqo.ca/programmes/3097,stage3src:211a47cecc17b54ef93c,stage3src:211a47cecc17b54ef93c|stage3src:c0fa487814225dc0c645|stage3src:554d97579b6f5af0e974,stage3src:c0fa487814225dc0c645|stage3src:554d97579b6f5af0e974,high,data/processed/pass2/stage_02_reentry_14_candidates.csv|data/processed/pass2/stage_02_reentry_14_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_14.json,2026-09-11
2.0,ca:dli:O19359011122:program:thesis-or-research-master-s:ma-trise-en-informatique-profil-recherche-m-moire,ca:dli:O19359011122:program:thesis-or-research-master-s:ma-trise-en-informatique-profil-recherche-m-moire,ca:dli:O19359011122,Université du Québec à Chicoutimi,Canada,canada,advance_to_stage_3,monitor,"The program is a research thesis route, but French and transcript equivalency require confirmation and the available exemption and scholarship paths are competitive rather than full-cost guarantees.",Maîtrise en informatique - profil recherche (mémoire),Thesis or research master's,"Forty-five-credit research profile with research methods, supervised thesis research, and mémoire",Département d'informatique et de mathématique,"Current official program, official description, application-fee, exemption, and scholarship pages checked 2026-09-11",Potentially — a relevant bachelor's is accepted subject to equivalency and program review,"Yes, subject to credential, language, immigration, and financial requirements",French,Not applicable as the unresolved instructional-language gate is French,3.0 on 4.3; the international reference also describes a 13/20 equivalency and 16 years of education,Applicant GPA 3.35 is on a different scale; formal UQAC equivalency is required,Relevant computing preparation is required and additional courses may be imposed,Central application followed by program and international credential review,Thesis supervision is required; no prior-supervisor rule was verified on the pages checked,Not published,Current recurring intake information checked 2026-09-11; reconfirm Fall 2027,CAD 30 nonrefundable application fee,CAD,Not verified,Not verified,Not verified,International tuition applies; a limited exemption may remove only the enhanced portion,Other tuition and institutional fees remain payable under the exemption,Quota-limited international differential-fee exemption and competitive external/internal scholarships,Partial and competitive; no verified full living-cost package,Exemption may renew for the published limited number of terms subject to conditions; not guaranteed,"Quota, academic selection, full-time enrollment, program eligibility, and satisfactory progress",International research-master's students are eligible for the cited exemption competition,No guaranteed program stipend verified,CAD,Potential enhanced-fee exemption only; base tuition and other charges remain,Not covered by the cited exemption,Not verified,Not verified,BEFM second-cycle differential-fee exemption and PBEEE competitions,Current calls are cycle-specific; no guaranteed Fall 2027 award deadline established,Will UQAC confirm equivalency/French eligibility and assemble funding beyond the tuition differential to cover total costs?,pass,resolvable_question,resolvable_inquiry,pass,pass,no,Monitor — Not Faculty-Review Ready,https://programmes.uqac.ca/3017,stage3src:80442aabfda9895d9863,stage3src:80442aabfda9895d9863|stage3src:93d76100f7b4e40b8b2a|stage3src:b5a166cb481d1590ab0d,stage3src:b5a166cb481d1590ab0d,high,data/processed/pass2/stage_02_reentry_14_candidates.csv|data/processed/pass2/stage_02_reentry_14_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_14.json,2026-09-11
2.0,ca:dli:O19359011172:program:thesis-or-research-master-s:ma-trise-en-math-matiques-et-informatique-appliqu-es-avec-m-moire,ca:dli:O19359011172:program:thesis-or-research-master-s:ma-trise-en-math-matiques-et-informatique-appliqu-es-avec-m-moire,ca:dli:O19359011172,Université du Québec à Trois-Rivières,Canada,canada,advance_to_stage_3,monitor,"The thesis route is relevant, but the applicant's GPA-scale equivalency and French requirement need a formal ruling and grant-dependent work or awards do not establish adequate full-cost funding.",Maîtrise en mathématiques et informatique appliquées (avec mémoire),Thesis or research master's,"Forty-five-credit research master's with methodology, supervised research, mémoire, and evaluation",Département de mathématiques et d'informatique,Current official program and international French/admission materials checked 2026-09-11,"Potentially — Computer Science, mathematics, or a related bachelor's is reviewed for equivalency","Yes — the program is marked available to full-time international students, subject to admission and immigration requirements",French,Not applicable as French is the controlling language requirement,3.2 on 4.3,Applicant GPA 3.35 uses a different scale; UQTR must issue an equivalency determination,Relevant mathematics and computing preparation is reviewed and additional requirements may be imposed,Central application followed by departmental and international credential review,A thesis supervisor is required for the research route; no prior commitment rule was verified,Not published,Current fall/winter/summer availability checked 2026-09-11; reconfirm Fall 2027,Not verified,CAD,Not verified,Not verified,Not verified,Fall 2027 international tuition not verified,Not verified as covered,Possible grant-dependent teaching/research work and competitive awards,Opportunities are described as possible rather than guaranteed; no complete funding package verified,Not guaranteed or verified,"Supervisor grants, selection, available work, enrollment, and satisfactory progress","No categorical exclusion found, but each appointment or award requires confirmation",Not verified,CAD,Not verified,Not verified,Not verified,Not verified,Program-listed awards and possible grant-funded teaching/research work,Not verified for Fall 2027,"Will UQTR confirm GPA/French eligibility and a supervisor-backed package adequate for tuition, fees, insurance, and living costs?",pass,resolvable_question,resolvable_inquiry,pass,pass,no,Monitor — Not Faculty-Review Ready,https://oraprdnt.uqtr.uquebec.ca/portail/triw082.afficher?owa_cd_pgm=3799&owa_version=1,stage3src:f934ec1c5148973cd648,stage3src:f934ec1c5148973cd648|stage3src:080c7b1097320a6b6c60|stage3src:549a8618128ee6216556,stage3src:f934ec1c5148973cd648,high,data/processed/pass2/stage_02_reentry_14_candidates.csv|data/processed/pass2/stage_02_reentry_14_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_14.json,2026-09-11
2.0,ror:006e5kg04:program:thesis-or-research-master-s:master-of-science-in-applied-sciences-and-engineering-computer-science-software-systems,ror:006e5kg04:program:thesis-or-research-master-s:master-of-science-in-applied-sciences-and-engineering-computer-science-software-systems,ror:006e5kg04,Vrije Universiteit Brussel,Belgium,europe,advance_to_stage_3,monitor,"The applicant has a relevant U.S. bachelor's but must pass case-by-case faculty screening and the non-EEA GRE requirement, while no full-cost scholarship or assistantship route was verified.",Master of Science in Applied Sciences and Engineering: Computer Science - Software Systems,Thesis or research master's,Two-year 120-ECTS master's with six ECTS research training and a 24-ECTS master's thesis,Faculty of Sciences and Bioengineering Sciences,"Current official program, admission, deadline, fee, tuition, and support pages checked 2026-09-11",Potentially — an academic bachelor's in Computer Science or equivalent is evaluated case by case,"Yes, subject to foreign-diploma screening, English, GRE for non-EEA qualifying degrees, visa, and financial requirements",English,Official English proficiency criteria apply; exact use of the applicant's U.S. bachelor's as proof must be confirmed,No numeric minimum published on the current program page,Applicant record undergoes case-by-case faculty screening; no automatic GPA conversion is used here,Solid academic Computer Science foundations are required and evaluated through faculty screening,"Central completeness review, time-limited faculty screening form, academic review, and GRE Quantitative Reasoning for non-EEA qualifying degrees",No prior supervisor commitment is published for master's admission,"Not published; latest non-EEA foreign-diploma deadline was March 31, 2026",Academic year 2026-27 deadline checked 2026-09-11; reconfirm 2027-28,EUR 90 nonrefundable fee per foreign-diploma application,EUR,"Waiver limited to recognized refugees, temporary protection, and other stated categories; no applicant waiver verified",Multiple program applications are permitted as separate applications,Yes — EUR 90 per individual application,"EUR 1,726.92 for the relevant non-EEA master's category in 2026-27; Fall 2027 rate not published",Other study and living costs remain outside tuition,Competitive external or VUB support options; no verified program-wide full scholarship,Unverified for full cost — published support does not establish tuition plus living coverage for this applicant,Not verified,"Award-specific nationality, academic, financial, and application conditions","Some support may be open to international students, but no qualifying complete route was verified",Not verified,EUR,Not verified,Not verified,Not verified,Not verified,VUB and Flemish support listings; no qualifying full-cost award verified,No Fall 2027 qualifying funding deadline verified,"Will faculty screening confirm equivalency and can the applicant secure funding for tuition, fees, insurance, and Brussels living costs?",pass,resolvable_question,unverified,pass,pass,no,Monitor — Not Faculty-Review Ready,https://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/master-applied-sciences-and-engineering-computer-science/program/master/master-software-systems,stage3src:ba6017cb5b149bf1e69b,stage3src:49efe316be8f00affa9b|stage3src:7771bdeee63b82196b9b,stage3src:7771bdeee63b82196b9b,high,data/processed/pass2/stage_02_reentry_14_candidates.csv|data/processed/pass2/stage_02_reentry_14_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_14.json,2026-09-11
