schema_version,source_id,institution_id,program_name,discovery_path,evidence_role,title,publisher,url,accessed_date,evidence_summary,limitations
2.0,reentry03:csu:program-fit,us:ipeds:126818,Computer Science PhD,official_program_or_department_signal,exact doctorate and research fit,Computer Science (Ph.D.),Colorado State University-Fort Collins,https://graduateschool.colostate.edu/programs/computer-science-phd/,2026-09-10,"Official Graduate School page identifies the Computer Science PhD and study areas spanning formal specification, software engineering and reliability, systems, languages, and security.",The page does not establish individual admission or advisor capacity.
2.0,reentry03:csu:admission-funding,us:ipeds:126818,Computer Science PhD,official_program_or_department_signal,entry route and preliminary funding,Apply to the Computer Science Graduate Program,Colorado State University-Fort Collins,https://compsci.colostate.edu/graduate-application/,2026-09-10,"Official department page describes bachelor's preparation, PhD research expectations, international English requirements, and limited competitive PhD support.",Support for many students is not a guarantee and Fall 2027 terms are not yet verified.
2.0,reentry03:ucf:program-fit,us:ipeds:132903,Computer Science PhD,official_program_or_department_signal,"exact doctorate, research fit, and preliminary funding",Computer Science (PhD) Degree,University of Central Florida,https://www.ucf.edu/degree/computer-science-phd/,2026-09-10,"Official degree page identifies the PhD, research areas including software engineering, systems and security, and possible graduate financial-assistance types.",Possible aid is not an individual award or program-wide funding guarantee.
2.0,reentry03:ucf:admissions,us:ipeds:132903,Computer Science PhD,official_program_or_department_signal,bachelor's and international entry route,2026 Application Deadlines and Requirements — Computer Science PhD,University of Central Florida,https://graduate.ucf.edu/application-deadlines-and-requirements/doctoral/2026/,2026-09-10,Official Graduate Studies page states that outstanding bachelor's graduates may apply directly and documents international transcript requirements.,This is the 2026 page; Fall 2027 dates and requirements require Stage 3 verification.
2.0,reentry03:uic:program-admission,us:ipeds:145600,PhD in Computer Science,official_program_or_department_signal,exact doctorate and direct-entry requirements,PhD in Computer Science,University of Illinois Chicago,https://catalog.uic.edu/gcat/colleges-schools/engineering/cs/phd/,2026-09-10,"Current official catalog documents the direct PhD route, research degree requirements, international testing, and the 3.50 final-60-hour GPA standard.",The applicant's final-60-hour GPA and any exception practice require Stage 3 review.
2.0,reentry03:uic:research,us:ipeds:145600,PhD in Computer Science,lab_or_center_signal,current research fit,Computer Science Research Areas,University of Illinois Chicago,https://cs.uic.edu/cs-research/research-areas-2/,2026-09-10,"Official department index lists current labs and faculty across software analysis, software engineering, security/privacy, and systems/networking.",Area presence does not establish a specific advisor's Fall 2027 capacity.
2.0,reentry03:uic:funding,us:ipeds:145600,PhD in Computer Science,underrepresented_route_search,preliminary doctoral funding,Financial Aid and Funding,University of Illinois Chicago,https://cs.uic.edu/graduate/admissions/financial-aid-and-funding/,2026-09-10,"Official department page describes fellowship, teaching-assistantship, and research-assistantship support for qualified doctoral students.","Qualification, duration, renewal conditions, and offer-specific coverage remain unverified."
2.0,reentry03:ku:program,us:ipeds:155317,Doctor of Philosophy in Computer Science,official_program_or_department_signal,exact doctorate and direct-entry route,Doctor of Philosophy in Computer Science,University of Kansas,https://degrees.ku.edu/graduate/doctoral/computer-science/,2026-09-10,Official KU degree page describes independent dissertation research and states that strong applicants may enter without a master's degree.,Detailed international and cycle-specific rules require Stage 3 verification.
2.0,reentry03:ku:fit,us:ipeds:155317,Doctor of Philosophy in Computer Science,current_faculty_topic_signal,formal methods and security fit,Cybersecurity,University of Kansas,https://eecs.ku.edu/cybersecurity,2026-09-10,"Official EECS page identifies current work in formal methods, verification, synthesis, trusted computing, specification languages, and systems security.",Faculty listing does not establish supervision availability or recruiting.
2.0,reentry03:ku:funding,us:ipeds:155317,Doctor of Philosophy in Computer Science,underrepresented_route_search,preliminary graduate funding,Graduate Funding,University of Kansas,https://eecs.ku.edu/graduate-funding,2026-09-10,Official EECS page documents graduate funding mechanisms and assistantship opportunities.,"An assistantship, its coverage, and its duration are not guaranteed at discovery stage."
